# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2022wbp
# CHANNEL = B+R
# EXPNUM = 22_275_032_002
# MJD-OBS = 59854.444925
# DATE-OBS = 2022-10-02T10:40:43
# EXPTIME = 1800.0s
# AIRMASS = 1.42
# FLUXCAL_RMS_B = 0.064 mag
# FLUXCAL_RMS_R = 0.048 mag
# RA = 21:47:15.00
# DEC = 24:55:20.99
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 2.305459e-16 5.441748e-17
3405.860000 1.158472e-16 5.506709e-17
3408.860000 1.214704e-16 4.989684e-17
3411.860000 1.690205e-16 4.661462e-17
3414.860000 1.795651e-16 5.103564e-17
3417.860000 2.128604e-16 5.204129e-17
3420.860000 1.357803e-16 4.577481e-17
3423.860000 1.161882e-16 4.400324e-17
3426.860000 1.449383e-16 4.945860e-17
3429.860000 1.203271e-16 4.942704e-17
3432.860000 1.337227e-16 4.295414e-17
3435.860000 1.065004e-16 4.273131e-17
3438.860000 7.094987e-17 4.769510e-17
3441.860000 6.683686e-17 4.700181e-17
3444.860000 1.463877e-16 4.132793e-17
3447.860000 1.814961e-16 4.202665e-17
3450.860000 9.490046e-17 4.538481e-17
3453.860000 5.300387e-17 4.257082e-17
3456.860000 1.185391e-16 3.883857e-17
3459.860000 1.050249e-16 4.046883e-17
3462.860000 1.173870e-16 4.342816e-17
3465.860000 9.656618e-17 4.022612e-17
3468.860000 1.117813e-16 3.650396e-17
3471.860000 7.908253e-17 3.912880e-17
3474.860000 9.350395e-17 4.149412e-17
3477.860000 1.547615e-16 3.845342e-17
3480.860000 1.364777e-16 3.623390e-17
3483.860000 1.061759e-16 4.036521e-17
3486.860000 1.776702e-16 4.230548e-17
3489.860000 2.389360e-16 3.811248e-17
3492.860000 2.067675e-16 3.659523e-17
3495.860000 2.020208e-16 4.092204e-17
3498.860000 2.736822e-16 4.151846e-17
3501.860000 1.470106e-16 3.540331e-17
3504.860000 1.576644e-16 3.497302e-17
3507.860000 2.095215e-16 3.923485e-17
3510.860000 1.772479e-16 3.859511e-17
3513.860000 1.978198e-16 3.417013e-17
3516.860000 1.958749e-16 3.503006e-17
3519.860000 1.331285e-16 3.785359e-17
3522.860000 1.314022e-16 3.664540e-17
3525.860000 2.071324e-16 3.346029e-17
3528.860000 2.013671e-16 3.484686e-17
3531.860000 9.692917e-17 3.678992e-17
3534.860000 1.495533e-16 3.563374e-17
3537.860000 7.980296e-17 3.202389e-17
3540.860000 1.497011e-16 3.509353e-17
3543.860000 1.521521e-16 3.704319e-17
3546.860000 9.423352e-17 3.416911e-17
3549.860000 1.390820e-16 3.271201e-17
3552.860000 1.625140e-16 3.592542e-17
3555.860000 2.262121e-16 3.758708e-17
3558.860000 1.901675e-16 3.371933e-17
3561.860000 1.503950e-16 3.214649e-17
3564.860000 1.571233e-16 3.592660e-17
3567.860000 1.788065e-16 3.649105e-17
3570.860000 1.876831e-16 3.224477e-17
3573.860000 1.640614e-16 3.157793e-17
3576.860000 1.747129e-16 3.630922e-17
3579.860000 1.893280e-16 3.572722e-17
3582.860000 2.039400e-16 3.163770e-17
3585.860000 2.268770e-16 3.210646e-17
3588.860000 2.136308e-16 3.529590e-17
3591.860000 2.122241e-16 3.439684e-17
3594.860000 1.902677e-16 3.050652e-17
3597.860000 1.589078e-16 3.178620e-17
3600.860000 1.444598e-16 3.456361e-17
3603.860000 1.591545e-16 3.253880e-17
3606.860000 1.585543e-16 2.961637e-17
3609.860000 1.703903e-16 3.151401e-17
3612.860000 2.028162e-16 3.319907e-17
3615.860000 2.197382e-16 3.112133e-17
3618.860000 1.616078e-16 2.858787e-17
3621.860000 1.573263e-16 3.163953e-17
3624.860000 2.342948e-16 3.298783e-17
3627.860000 2.157158e-16 3.005936e-17
3630.860000 1.459978e-16 2.829263e-17
3633.860000 1.756352e-16 3.197239e-17
3636.860000 1.848862e-16 3.234878e-17
3639.860000 2.000738e-16 2.898571e-17
3642.860000 1.546222e-16 2.844655e-17
3645.860000 1.477276e-16 3.219647e-17
3648.860000 1.270296e-16 3.153345e-17
3651.860000 1.236526e-16 2.736392e-17
3654.860000 1.696174e-16 2.774926e-17
3657.860000 1.637831e-16 3.111367e-17
3660.860000 1.561835e-16 3.020634e-17
3663.860000 1.644529e-16 2.691477e-17
3666.860000 1.506855e-16 2.814003e-17
3669.860000 1.896656e-16 3.065130e-17
3672.860000 1.340442e-16 2.867421e-17
3675.860000 1.272444e-16 2.571826e-17
3678.860000 1.632538e-16 2.759354e-17
3681.860000 1.686181e-16 2.895655e-17
3684.860000 1.564416e-16 2.673519e-17
3687.860000 1.486588e-16 2.456990e-17
3690.860000 1.526258e-16 2.689321e-17
3693.860000 1.747770e-16 2.800372e-17
3696.860000 1.557305e-16 2.531921e-17
3699.860000 1.586894e-16 2.404555e-17
3702.860000 1.692482e-16 2.703521e-17
3705.860000 1.958373e-16 2.786960e-17
3708.860000 1.976436e-16 2.512108e-17
3711.860000 1.792830e-16 2.456087e-17
3714.860000 1.496668e-16 2.789166e-17
3717.860000 1.682275e-16 2.793050e-17
3720.860000 1.688180e-16 2.415893e-17
3723.860000 2.140260e-16 2.454962e-17
3726.860000 2.108302e-16 2.757356e-17
3729.860000 1.875343e-16 2.726054e-17
3732.860000 2.094862e-16 2.464693e-17
3735.860000 1.764301e-16 2.541558e-17
3738.860000 1.792227e-16 2.814152e-17
3741.860000 2.034855e-16 2.758383e-17
3744.860000 1.407830e-16 2.468029e-17
3747.860000 1.165636e-16 2.596674e-17
3750.860000 1.804555e-16 2.831076e-17
3753.860000 1.790553e-16 2.649507e-17
3756.860000 2.065771e-16 2.482650e-17
3759.860000 1.869720e-16 2.669328e-17
3762.860000 1.518614e-16 2.778820e-17
3765.860000 1.499912e-16 2.566225e-17
3768.860000 2.082497e-16 2.455266e-17
3771.860000 2.012644e-16 2.719754e-17
3774.860000 1.647425e-16 2.758332e-17
3777.860000 1.799212e-16 2.502814e-17
3780.860000 1.944244e-16 2.458908e-17
3783.860000 1.836013e-16 2.769960e-17
3786.860000 1.722222e-16 2.720691e-17
3789.860000 1.865361e-16 2.390755e-17
3792.860000 1.740048e-16 2.392081e-17
3795.860000 1.660722e-16 2.673959e-17
3798.860000 2.000994e-16 2.658399e-17
3801.860000 2.071270e-16 2.349983e-17
3804.860000 1.776093e-16 2.364126e-17
3807.860000 1.852585e-16 2.563007e-17
3810.860000 1.799912e-16 2.466517e-17
3813.860000 1.892468e-16 2.216512e-17
3816.860000 1.912065e-16 2.324692e-17
3819.860000 1.691928e-16 2.471996e-17
3822.860000 1.960977e-16 2.350151e-17
3825.860000 1.947739e-16 2.161447e-17
3828.860000 1.805902e-16 2.315355e-17
3831.860000 1.738828e-16 2.422263e-17
3834.860000 1.716502e-16 2.264298e-17
3837.860000 1.673635e-16 2.132553e-17
3840.860000 1.554347e-16 2.315141e-17
3843.860000 2.093262e-16 2.424924e-17
3846.860000 2.034449e-16 2.175918e-17
3849.860000 1.447788e-16 2.060331e-17
3852.860000 1.677836e-16 2.338709e-17
3855.860000 1.831824e-16 2.370515e-17
3858.860000 2.093827e-16 2.087389e-17
3861.860000 2.021983e-16 2.056830e-17
3864.860000 1.899688e-16 2.313190e-17
3867.860000 1.836120e-16 2.297144e-17
3870.860000 1.839266e-16 2.036580e-17
