# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = ATLAS22bjgg
# CHANNEL = B+R
# EXPNUM = 22_295_018_003
# MJD-OBS = 59874.389091
# DATE-OBS = 2022-10-22T09:20:19
# EXPTIME = 1800.0s
# AIRMASS = 1.38
# FLUXCAL_RMS_B = 0.064 mag
# FLUXCAL_RMS_R = 0.048 mag
# RA = 22:40:04.42
# DEC = -06:38:28.39
# wl fl err
# [A] [erg/s/cm2/A]
3567.860000 5.572276e-17 3.984041e-17
3570.860000 9.106219e-17 3.519582e-17
3573.860000 9.909555e-17 3.464364e-17
3576.860000 8.494442e-17 3.901890e-17
3579.860000 3.911839e-17 3.817117e-17
3582.860000 1.000703e-16 3.354103e-17
3585.860000 1.328238e-16 3.470818e-17
3588.860000 1.363718e-16 3.857208e-17
3591.860000 9.564456e-17 3.717140e-17
3594.860000 1.085635e-16 3.318665e-17
3597.860000 1.755424e-16 3.532825e-17
3600.860000 1.195301e-16 3.800815e-17
3603.860000 7.130199e-17 3.546156e-17
3606.860000 1.471068e-16 3.301117e-17
3609.860000 1.270714e-16 3.535495e-17
3612.860000 8.388159e-17 3.683428e-17
3615.860000 1.233360e-16 3.450957e-17
3618.860000 5.828796e-17 3.208664e-17
3621.860000 5.707018e-17 3.490460e-17
3624.860000 1.076501e-16 3.656893e-17
3627.860000 1.725227e-16 3.358610e-17
3630.860000 1.212844e-16 3.169773e-17
3633.860000 8.003644e-17 3.522757e-17
3636.860000 9.977186e-17 3.577742e-17
3639.860000 9.963804e-17 3.187957e-17
3642.860000 1.132081e-16 3.148884e-17
3645.860000 6.968349e-17 3.529987e-17
3648.860000 7.944226e-17 3.505485e-17
3651.860000 1.410047e-16 3.088227e-17
3654.860000 1.673038e-16 3.125036e-17
3657.860000 1.084924e-16 3.396876e-17
3660.860000 1.074805e-16 3.309160e-17
3663.860000 1.498277e-16 2.974031e-17
3666.860000 1.808234e-16 3.120820e-17
3669.860000 2.037438e-16 3.417361e-17
3672.860000 1.891391e-16 3.255737e-17
3675.860000 1.991622e-16 2.923191e-17
3678.860000 1.604674e-16 3.077749e-17
3681.860000 1.680000e-16 3.273604e-17
3684.860000 1.719784e-16 3.062990e-17
3687.860000 1.720183e-16 2.837106e-17
3690.860000 1.424700e-16 3.056942e-17
3693.860000 1.613413e-16 3.201651e-17
3696.860000 1.944886e-16 2.942331e-17
3699.860000 2.017234e-16 2.792873e-17
3702.860000 1.932497e-16 3.112722e-17
3705.860000 2.243589e-16 3.209447e-17
3708.860000 1.921939e-16 2.844023e-17
3711.860000 1.548944e-16 2.729951e-17
3714.860000 1.801200e-16 3.128094e-17
3717.860000 1.851719e-16 3.143598e-17
3720.860000 2.109591e-16 2.743789e-17
3723.860000 2.309289e-16 2.774507e-17
3726.860000 1.997309e-16 3.098881e-17
3729.860000 2.087121e-16 3.041318e-17
3732.860000 2.005403e-16 2.704941e-17
3735.860000 2.162292e-16 2.845865e-17
3738.860000 2.491794e-16 3.150452e-17
3741.860000 2.592049e-16 3.043379e-17
3744.860000 2.128647e-16 2.739036e-17
3747.860000 1.862519e-16 2.884847e-17
3750.860000 2.263340e-16 3.096116e-17
3753.860000 2.200751e-16 2.912459e-17
3756.860000 2.261221e-16 2.721024e-17
3759.860000 2.659651e-16 3.004068e-17
3762.860000 2.897378e-16 3.139042e-17
3765.860000 2.698168e-16 2.871522e-17
3768.860000 1.851580e-16 2.675607e-17
3771.860000 1.610611e-16 2.949035e-17
3774.860000 1.769239e-16 3.035819e-17
3777.860000 1.465799e-16 2.741075e-17
3780.860000 1.688206e-16 2.691014e-17
3783.860000 2.224673e-16 3.066511e-17
3786.860000 1.986847e-16 3.038612e-17
3789.860000 1.931799e-16 2.650730e-17
3792.860000 2.588858e-16 2.681025e-17
3795.860000 2.181048e-16 2.989548e-17
3798.860000 1.702625e-16 2.876928e-17
3801.860000 2.062930e-16 2.554256e-17
3804.860000 2.444952e-16 2.642484e-17
3807.860000 2.196663e-16 2.871658e-17
3810.860000 2.251349e-16 2.764808e-17
3813.860000 2.062415e-16 2.476730e-17
3816.860000 1.903371e-16 2.599479e-17
3819.860000 2.339053e-16 2.796887e-17
3822.860000 2.219256e-16 2.659944e-17
3825.860000 1.619710e-16 2.397339e-17
3828.860000 1.941995e-16 2.591216e-17
3831.860000 1.752416e-16 2.696980e-17
3834.860000 1.403095e-16 2.468498e-17
3837.860000 1.501758e-16 2.326656e-17
3840.860000 1.766123e-16 2.579234e-17
3843.860000 1.537366e-16 2.634507e-17
3846.860000 1.662254e-16 2.375795e-17
3849.860000 1.541495e-16 2.286482e-17
3852.860000 1.629135e-16 2.562595e-17
3855.860000 1.383162e-16 2.557588e-17
3858.860000 1.862062e-16 2.266229e-17
3861.860000 1.963364e-16 2.268883e-17
3864.860000 1.253309e-16 2.468574e-17
3867.860000 1.393336e-16 2.459926e-17
3870.860000 1.271619e-16 2.169844e-17
3873.860000 1.343219e-16 2.213321e-17
3876.860000 1.221792e-16 2.434600e-17
3879.860000 1.341275e-16 2.383907e-17
3882.860000 1.208631e-16 2.128852e-17
3885.860000 9.009131e-17 2.215117e-17
3888.860000 1.038283e-16 2.401263e-17
3891.860000 9.315789e-17 2.268563e-17
3894.860000 1.061013e-16 2.088336e-17
3897.860000 1.380552e-16 2.255452e-17
3900.860000 1.133085e-16 2.364471e-17
3903.860000 8.671398e-17 2.188593e-17
3906.860000 6.175793e-17 2.042694e-17
3909.860000 3.388210e-17 2.238931e-17
3912.860000 2.966484e-17 2.309625e-17
3915.860000 4.461420e-17 2.123532e-17
3918.860000 8.625882e-17 2.076600e-17
3921.860000 1.066551e-16 2.360695e-17
3924.860000 5.684504e-17 2.369262e-17
3927.860000 1.929625e-18 2.053740e-17
3930.860000 2.441398e-17 2.053171e-17
3933.860000 5.405088e-17 2.339037e-17
3936.860000 7.111550e-17 2.331007e-17
3939.860000 8.824113e-18 1.995590e-17
3942.860000 2.521005e-17 2.031007e-17
3945.860000 4.356322e-17 2.307636e-17
3948.860000 6.437740e-17 2.263362e-17
3951.860000 3.840822e-17 1.985990e-17
3954.860000 7.546225e-17 2.122453e-17
3957.860000 3.476400e-17 2.219065e-17
3960.860000 5.738809e-17 2.119171e-17
3963.860000 6.992915e-17 1.961469e-17
3966.860000 5.959249e-17 2.080199e-17
3969.860000 4.354522e-17 2.184258e-17
3972.860000 4.511433e-17 2.047234e-17
3975.860000 4.920915e-17 1.952929e-17
3978.860000 4.821628e-17 2.177905e-17
3981.860000 2.245564e-17 2.260715e-17
3984.860000 8.960745e-17 2.139956e-17
3987.860000 9.071563e-17 2.077377e-17
3990.860000 1.070958e-16 2.377265e-17
3993.860000 1.527911e-16 2.445620e-17
3996.860000 1.278107e-16 2.168891e-17
3999.860000 9.598564e-17 2.127886e-17
4002.860000 8.372943e-17 2.413037e-17
4005.860000 7.398134e-17 2.398186e-17
4008.860000 1.273468e-16 2.132899e-17
4011.860000 1.144054e-16 2.109056e-17
4014.860000 1.081129e-16 2.341311e-17
4017.860000 1.476835e-16 2.290238e-17
4020.860000 1.355375e-16 2.003181e-17
4023.860000 1.375871e-16 2.052148e-17
4026.860000 1.214240e-16 2.191154e-17
4029.860000 1.327316e-16 2.099536e-17
4032.860000 1.086881e-16 1.888893e-17
4035.860000 1.302108e-16 2.047358e-17
4038.860000 9.695586e-17 2.161819e-17
4041.860000 1.097591e-16 2.054872e-17
4044.860000 1.499703e-16 1.974428e-17
4047.860000 1.418910e-16 2.175477e-17
4050.860000 1.464284e-16 2.302453e-17
4053.860000 1.411806e-16 2.112473e-17
4056.860000 1.274461e-16 1.997566e-17
4059.860000 1.045829e-16 2.219291e-17
4062.860000 1.057820e-16 2.229189e-17
4065.860000 1.206455e-16 2.005512e-17
4068.860000 1.149513e-16 1.942357e-17
4071.860000 1.182881e-16 2.184531e-17
4074.860000 1.596046e-16 2.191368e-17
4077.860000 1.602143e-16 1.894122e-17
4080.860000 1.610645e-16 1.902530e-17
4083.860000 1.892913e-16 2.149155e-17
4086.860000 2.015683e-16 2.126138e-17
4089.860000 1.605676e-16 1.879615e-17
4092.860000 1.523680e-16 1.950085e-17
4095.860000 1.527640e-16 2.136783e-17
4098.860000 1.730438e-16 2.075044e-17
4101.860000 1.922677e-16 1.900489e-17
4104.860000 1.724327e-16 1.999475e-17
4107.860000 1.660351e-16 2.134432e-17
4110.860000 1.958711e-16 2.019540e-17
4113.860000 2.203240e-16 1.875180e-17
4116.860000 2.229273e-16 2.040277e-17
4119.860000 2.093673e-16 2.139454e-17
4122.860000 1.888188e-16 1.950392e-17
4125.860000 1.897410e-16 1.842637e-17
4128.860000 1.912922e-16 2.049045e-17
4131.860000 2.168961e-16 2.107951e-17
4134.860000 2.107665e-16 1.900417e-17
4137.860000 1.940566e-16 1.854077e-17
4140.860000 1.629141e-16 2.093836e-17
4143.860000 1.533079e-16 2.101782e-17
4146.860000 1.805506e-16 1.877223e-17
4149.860000 1.868984e-16 1.895017e-17
4152.860000 1.599258e-16 2.102950e-17
4155.860000 1.889536e-16 2.090395e-17
4158.860000 2.023785e-16 1.847895e-17
4161.860000 1.998146e-16 1.899111e-17
4164.860000 2.059483e-16 2.070929e-17
4167.860000 1.746873e-16 1.956731e-17
4170.860000 2.066687e-16 1.795440e-17
4173.860000 2.436202e-16 1.921226e-17
4176.860000 2.361254e-16 2.027124e-17
4179.860000 1.790930e-16 1.878262e-17
4182.860000 1.880454e-16 1.744140e-17
4185.860000 1.896292e-16 1.869329e-17
4188.860000 2.083648e-16 1.950605e-17
4191.860000 2.313702e-16 1.813767e-17
4194.860000 2.494953e-16 1.727565e-17
4197.860000 2.589328e-16 1.916995e-17
4200.860000 2.682262e-16 1.973588e-17
4203.860000 2.584989e-16 1.758851e-17
4206.860000 2.453817e-16 1.699678e-17
4209.860000 2.681698e-16 1.951796e-17
4212.860000 2.667027e-16 1.965544e-17
4215.860000 2.622456e-16 1.726408e-17
4218.860000 2.243321e-16 1.699233e-17
4221.860000 2.184170e-16 1.911725e-17
4224.860000 2.226195e-16 1.890130e-17
4227.860000 2.590528e-16 1.697239e-17
4230.860000 2.556463e-16 1.736007e-17
4233.860000 2.305280e-16 1.887064e-17
4236.860000 2.351962e-16 1.832147e-17
4239.860000 2.304765e-16 1.651695e-17
4242.860000 2.378787e-16 1.743934e-17
4245.860000 2.166443e-16 1.869082e-17
4248.860000 2.297131e-16 1.790077e-17
4251.860000 2.463326e-16 1.659673e-17
4254.860000 2.395537e-16 1.789721e-17
4257.860000 2.354307e-16 1.869708e-17
4260.860000 2.250545e-16 1.746608e-17
4263.860000 2.377674e-16 1.639247e-17
4266.860000 2.115761e-16 1.805416e-17
4269.860000 2.214008e-16 1.874879e-17
4272.860000 2.401560e-16 1.689572e-17
4275.860000 2.284254e-16 1.631896e-17
4278.860000 2.149111e-16 1.839638e-17
4281.860000 2.253016e-16 1.875809e-17
4284.860000 1.974043e-16 1.652026e-17
4287.860000 1.883668e-16 1.630593e-17
4290.860000 2.180479e-16 1.864120e-17
4293.860000 2.191639e-16 1.852115e-17
4296.860000 2.145080e-16 1.622050e-17
4299.860000 2.092665e-16 1.648881e-17
4302.860000 2.286401e-16 1.826882e-17
4305.860000 2.364272e-16 1.795162e-17
4308.860000 2.711135e-16 1.619255e-17
4311.860000 2.574377e-16 1.683111e-17
4314.860000 2.556332e-16 1.841633e-17
4317.860000 2.476541e-16 1.752254e-17
4320.860000 2.234427e-16 1.601338e-17
4323.860000 2.165929e-16 1.730060e-17
4326.860000 2.385769e-16 1.842431e-17
4329.860000 2.558590e-16 1.707001e-17
4332.860000 2.491842e-16 1.596263e-17
4335.860000 2.492943e-16 1.767268e-17
4338.860000 2.488551e-16 1.836226e-17
4341.860000 2.623392e-16 1.687012e-17
4344.860000 2.422712e-16 1.603797e-17
4347.860000 2.327271e-16 1.783245e-17
4350.860000 2.512255e-16 1.831901e-17
4353.860000 2.572742e-16 1.639760e-17
4356.860000 2.610248e-16 1.632150e-17
4359.860000 2.234534e-16 1.837988e-17
4362.860000 2.226146e-16 1.840402e-17
4365.860000 2.320507e-16 1.623135e-17
4368.860000 2.156245e-16 1.644219e-17
4371.860000 2.304513e-16 1.828407e-17
4374.860000 2.283645e-16 1.779368e-17
4377.860000 2.467807e-16 1.599827e-17
4380.860000 2.468416e-16 1.668328e-17
4383.860000 2.614841e-16 1.839050e-17
4386.860000 2.589352e-16 1.769154e-17
4389.860000 2.359596e-16 1.592801e-17
4392.860000 2.162952e-16 1.689412e-17
4395.860000 2.437262e-16 1.808101e-17
4398.860000 2.676852e-16 1.720124e-17
4401.860000 2.535183e-16 1.604200e-17
4404.860000 2.374433e-16 1.735586e-17
4407.860000 2.094609e-16 1.806872e-17
4410.860000 2.153497e-16 1.663429e-17
4413.860000 2.014032e-16 1.586628e-17
4416.860000 2.255407e-16 1.788298e-17
4419.860000 2.344992e-16 1.827557e-17
4422.860000 2.384944e-16 1.636823e-17
4425.860000 2.205276e-16 1.602711e-17
4428.860000 2.059556e-16 1.813222e-17
4431.860000 2.083903e-16 1.802522e-17
4434.860000 2.080729e-16 1.581492e-17
4437.860000 2.001804e-16 1.585014e-17
4440.860000 2.215442e-16 1.793264e-17
4443.860000 2.545465e-16 1.776216e-17
4446.860000 2.394006e-16 1.578670e-17
4449.860000 2.108509e-16 1.608293e-17
4452.860000 1.962007e-16 1.751368e-17
4455.860000 2.026239e-16 1.698875e-17
4458.860000 1.985636e-16 1.530336e-17
4461.860000 1.665706e-16 1.606165e-17
4464.860000 1.635857e-16 1.714229e-17
4467.860000 1.567045e-16 1.603014e-17
4470.860000 1.868587e-16 1.512973e-17
4473.860000 1.936889e-16 1.657251e-17
4476.860000 1.918938e-16 1.732149e-17
4479.860000 1.841947e-16 1.586440e-17
4482.860000 1.652376e-16 1.492239e-17
4485.860000 1.495185e-16 1.661324e-17
4488.860000 1.764767e-16 1.722434e-17
4491.860000 1.558170e-16 1.535276e-17
4494.860000 1.431253e-16 1.481489e-17
4497.860000 1.459329e-16 1.698951e-17
4500.860000 1.552474e-16 1.718789e-17
4503.860000 1.470760e-16 1.513018e-17
4506.860000 1.530614e-16 1.519319e-17
4509.860000 1.596292e-16 1.711579e-17
4512.860000 1.582123e-16 1.673197e-17
4515.860000 1.546165e-16 1.482528e-17
4518.860000 1.361139e-16 1.511701e-17
4521.860000 1.526508e-16 1.677922e-17
4524.860000 1.730666e-16 1.634864e-17
4527.860000 1.436219e-16 1.464112e-17
4530.860000 1.379325e-16 1.550430e-17
4533.860000 1.634326e-16 1.669829e-17
4536.860000 1.801712e-16 1.592347e-17
4539.860000 1.626648e-16 1.460518e-17
4542.860000 1.513096e-16 1.580327e-17
4545.860000 1.352295e-16 1.651608e-17
4548.860000 1.299337e-16 1.528045e-17
4551.860000 1.267920e-16 1.439699e-17
4554.860000 1.201236e-16 1.601136e-17
4557.860000 1.369586e-16 1.654123e-17
4560.860000 1.347597e-16 1.490918e-17
4563.860000 1.330239e-16 1.446336e-17
4566.860000 1.461005e-16 1.651858e-17
4569.860000 1.236015e-16 1.643777e-17
4572.860000 1.193402e-16 1.449026e-17
4575.860000 1.302331e-16 1.450850e-17
4578.860000 1.480220e-16 1.654069e-17
4581.860000 1.120269e-16 1.613601e-17
4584.860000 9.952182e-17 1.415226e-17
4587.860000 9.345374e-17 1.440639e-17
4590.860000 8.664066e-17 1.590653e-17
4593.860000 1.193125e-16 1.558096e-17
4596.860000 1.442557e-16 1.428804e-17
4599.860000 1.368227e-16 1.498456e-17
4602.860000 1.277748e-16 1.605222e-17
4605.860000 1.258808e-16 1.523518e-17
4608.860000 1.283711e-16 1.409245e-17
4611.860000 1.149106e-16 1.523365e-17
4614.860000 1.027647e-16 1.597308e-17
4617.860000 1.164692e-16 1.483159e-17
4620.860000 1.054793e-16 1.394147e-17
4623.860000 1.251937e-16 1.558117e-17
4626.860000 1.214571e-16 1.606579e-17
4629.860000 1.306353e-16 1.458571e-17
4632.860000 1.426939e-16 1.415034e-17
4635.860000 1.466228e-16 1.603821e-17
4638.860000 1.330650e-16 1.614613e-17
4641.860000 1.077598e-16 1.407884e-17
4644.860000 1.132037e-16 1.399811e-17
4647.860000 1.371037e-16 1.605686e-17
4650.860000 1.240021e-16 1.577690e-17
4653.860000 1.355877e-16 1.399365e-17
4656.860000 1.345130e-16 1.431202e-17
4659.860000 1.388930e-16 1.598597e-17
4662.860000 1.485652e-16 1.564512e-17
4665.860000 1.362910e-16 1.391443e-17
4668.860000 1.492842e-16 1.471522e-17
4671.860000 1.636921e-16 1.594632e-17
4674.860000 1.559453e-16 1.518339e-17
4677.860000 1.501076e-16 1.396495e-17
4680.860000 1.467071e-16 1.499471e-17
4683.860000 1.337255e-16 1.588025e-17
4686.860000 1.482438e-16 1.490562e-17
4689.860000 1.460853e-16 1.399045e-17
4692.860000 1.606213e-16 1.537880e-17
4695.860000 1.734135e-16 1.607059e-17
4698.860000 1.560089e-16 1.464060e-17
4701.860000 1.513961e-16 1.412391e-17
4704.860000 1.597228e-16 1.576447e-17
4707.860000 1.619658e-16 1.584623e-17
4710.860000 1.417240e-16 1.418151e-17
4713.860000 1.277658e-16 1.393288e-17
4716.860000 1.134859e-16 1.586558e-17
4719.860000 1.160791e-16 1.576033e-17
4722.860000 1.045708e-16 1.384358e-17
4725.860000 1.140334e-16 1.405702e-17
4728.860000 9.872904e-17 1.551634e-17
4731.860000 1.161424e-16 1.520875e-17
4734.860000 1.366986e-16 1.375264e-17
4737.860000 1.293053e-16 1.433151e-17
4740.860000 1.278581e-16 1.570577e-17
4743.860000 1.331289e-16 1.507391e-17
4746.860000 1.164749e-16 1.365486e-17
4749.860000 1.303010e-16 1.461929e-17
4752.860000 1.373928e-16 1.561649e-17
4755.860000 1.193975e-16 1.455997e-17
4758.860000 1.497164e-16 1.376201e-17
4761.860000 1.450375e-16 1.517581e-17
4764.860000 1.396247e-16 1.563281e-17
4767.860000 1.441132e-16 1.424676e-17
4770.860000 1.646221e-16 1.375885e-17
4773.860000 1.767068e-16 1.555558e-17
4776.860000 1.583436e-16 1.565250e-17
4779.860000 1.323655e-16 1.396658e-17
4782.860000 1.339567e-16 1.373246e-17
4785.860000 1.452991e-16 1.567824e-17
4788.860000 1.628797e-16 1.587357e-17
4791.860000 1.443033e-16 1.389762e-17
4794.860000 1.342472e-16 1.390868e-17
4797.860000 1.543717e-16 1.576341e-17
4800.860000 1.589867e-16 1.551340e-17
4803.860000 1.512465e-16 1.378694e-17
4806.860000 1.439364e-16 1.418287e-17
4809.860000 1.306974e-16 1.553738e-17
4812.860000 1.331184e-16 1.490915e-17
4815.860000 1.138523e-16 1.348931e-17
4818.860000 1.323188e-16 1.455781e-17
4821.860000 1.474912e-16 1.566733e-17
4824.860000 1.653520e-16 1.486694e-17
4827.860000 1.692426e-16 1.390731e-17
4830.860000 1.461515e-16 1.494467e-17
4833.860000 1.276071e-16 1.561183e-17
4836.860000 1.579840e-16 1.455117e-17
4839.860000 1.532540e-16 1.391499e-17
4842.860000 1.410306e-16 1.554520e-17
4845.860000 1.570698e-16 1.612394e-17
4848.860000 1.661177e-16 1.443571e-17
4851.860000 1.553969e-16 1.389257e-17
4854.860000 1.306407e-16 1.562125e-17
4857.860000 1.333355e-16 1.571337e-17
4860.860000 1.255446e-16 1.376794e-17
4863.860000 1.476944e-16 1.402881e-17
4866.860000 1.765521e-16 1.596478e-17
4869.860000 1.712804e-16 1.568446e-17
4872.860000 1.424196e-16 1.373147e-17
4875.860000 1.334364e-16 1.420489e-17
4878.860000 1.555478e-16 1.577673e-17
4881.860000 1.675487e-16 1.521849e-17
4884.860000 1.675003e-16 1.387881e-17
4887.860000 1.423348e-16 1.465437e-17
4890.860000 1.286439e-16 1.572613e-17
4893.860000 1.445522e-16 1.496948e-17
4896.860000 1.367230e-16 1.389061e-17
4899.860000 1.119661e-16 1.498656e-17
4902.860000 1.447508e-16 1.597942e-17
4905.860000 1.450852e-16 1.477982e-17
4908.860000 1.497487e-16 1.398759e-17
4911.860000 1.879876e-16 1.589754e-17
4914.860000 1.724300e-16 1.611020e-17
4917.860000 1.959538e-16 1.480300e-17
4920.860000 1.880785e-16 1.447436e-17
5400.860000 8.117202e-17 1.257090e-17
5403.860000 8.105378e-17 1.228658e-17
5406.860000 7.435410e-17 1.187878e-17
5409.860000 7.993875e-17 1.166533e-17
5412.860000 8.348888e-17 1.154732e-17
5415.860000 7.524116e-17 1.137480e-17
5418.860000 8.062483e-17 1.122079e-17
5421.860000 8.581705e-17 1.108469e-17
5424.860000 7.436856e-17 1.090971e-17
5427.860000 7.557280e-17 1.098749e-17
5430.860000 7.494932e-17 1.100678e-17
5433.860000 8.409670e-17 1.096337e-17
5436.860000 1.074833e-16 1.104125e-17
5439.860000 1.019966e-16 1.106636e-17
5442.860000 8.430102e-17 1.100358e-17
5445.860000 8.476092e-17 1.109500e-17
5448.860000 9.033376e-17 1.124614e-17
5451.860000 7.294860e-17 1.115337e-17
5454.860000 6.919752e-17 1.127224e-17
5457.860000 7.533029e-17 1.150463e-17
5460.860000 8.268174e-17 1.171579e-17
5463.860000 8.344078e-17 1.197039e-17
5466.860000 9.237259e-17 1.217828e-17
5469.860000 8.226369e-17 1.219290e-17
5472.860000 9.423881e-17 1.250717e-17
5475.860000 9.803247e-17 1.280624e-17
5478.860000 9.366324e-17 1.295941e-17
5481.860000 9.356321e-17 1.314954e-17
5484.860000 8.750652e-17 1.354587e-17
5487.860000 9.525704e-17 1.399849e-17
5490.860000 7.904917e-17 1.363374e-17
5493.860000 1.061061e-16 1.361723e-17
5496.860000 1.072593e-16 1.333327e-17
5499.860000 9.494701e-17 1.267221e-17
5502.860000 9.648629e-17 1.223783e-17
5505.860000 9.710775e-17 1.205523e-17
5508.860000 1.026203e-16 1.194349e-17
5511.860000 8.978483e-17 1.154594e-17
5514.860000 8.344983e-17 1.117962e-17
5517.860000 9.974627e-17 1.103081e-17
5520.860000 1.041226e-16 1.093091e-17
5523.860000 8.168218e-17 1.050326e-17
5526.860000 8.213977e-17 1.026527e-17
