# TELESCOPE = Liverpool Telescope
# INSTRUMENT = SPRAT
# PROPOSAL = PL22B16
# OBJECT = 2022ytx
# RA = 23:0:46.56
# DEC = 13:37:5.60
# DATE-OBS = 2022-11-24T21:34:22.007
# MJD-OBS = 59907.898866
# EXPTIME-OBS = 2400.0s
# AIRMASS-OBS = 1.120673
# SEEING-OBS = 1.335052
# wl fl
# [A] [Normalised]
4066.000000 1.04165
4075.200000 0.844701
4084.400000 0.877304
4093.600000 1.13425
4102.800000 0.713613
4112.000000 0.850878
4121.200000 1.06878
4130.400000 0.783419
4139.600000 1.07001
4148.800000 0.880326
4158.000000 0.974646
4167.200000 0.722847
4176.400000 0.738729
4185.600000 0.792757
4194.800000 0.595852
4204.000000 0.545827
4213.200000 0.828321
4222.400000 0.852831
4231.600000 0.754405
4240.800000 0.604132
4250.000000 0.568987
4259.200000 0.866772
4268.400000 0.883943
4277.600000 0.712015
4286.800000 0.970139
4296.000000 0.850512
4305.200000 0.906635
4314.400000 0.730751
4323.600000 0.67231
4332.800000 0.74543
4342.000000 0.775545
4351.200000 0.9011
4360.400000 0.920678
4369.600000 0.814074
4378.800000 0.789859
4388.000000 0.839769
4397.200000 0.852817
4406.400000 0.537203
4415.600000 0.743782
4424.800000 0.716496
4434.000000 0.876173
4443.200000 0.683909
4452.400000 0.738745
4461.600000 0.825592
4470.800000 0.922389
4480.000000 0.854565
4489.200000 0.747464
4498.400000 0.770667
4507.600000 0.841829
4516.800000 0.976898
4526.000000 0.872286
4535.200000 0.876684
4544.400000 0.985773
4553.600000 1.00019
4562.800000 0.902609
4572.000000 0.898043
4581.200000 0.954339
4590.400000 1.0333
4599.600000 1.11349
4608.800000 1.05317
4618.000000 1.05967
4627.200000 1.02879
4636.400000 1.07899
4645.600000 1.0979
4654.800000 0.962121
4664.000000 0.943167
4673.200000 0.88705
4682.400000 0.927038
4691.600000 0.97172
4700.800000 0.939824
4710.000000 0.994468
4719.200000 0.801982
4728.400000 0.995649
4737.600000 0.917121
4746.800000 0.940304
4756.000000 0.925277
4765.200000 0.875359
4774.400000 0.941618
4783.600000 0.874572
4792.800000 0.883996
4802.000000 0.910308
4811.200000 0.88855
4820.400000 0.894373
4829.600000 0.867457
4838.800000 0.877572
4848.000000 0.898304
4857.200000 0.903085
4866.400000 0.947984
4875.600000 0.977692
4884.800000 0.958287
4894.000000 0.903886
4903.200000 0.957999
4912.400000 0.98216
4921.600000 0.918572
4930.800000 0.865551
4940.000000 0.9485
4949.200000 0.93227
4958.400000 0.963363
4967.600000 0.961972
4976.800000 1.01754
4986.000000 1.0316
4995.200000 1.06145
5004.400000 0.980466
5013.600000 1.019
5022.800000 1.02357
5032.000000 1.02651
5041.200000 0.894321
5050.400000 0.936416
5059.600000 0.896417
5068.800000 0.948373
5078.000000 0.870364
5087.200000 1.07227
5096.400000 0.943172
5105.600000 0.953872
5114.800000 0.903752
5124.000000 0.908532
5133.200000 0.913124
5142.400000 0.903589
5151.600000 0.942332
5160.800000 0.96046
5170.000000 0.852778
5179.200000 0.90788
5188.400000 0.945794
5197.600000 0.910315
5206.800000 0.891269
5216.000000 0.990782
5225.200000 0.946083
5234.400000 0.962091
5243.600000 0.932506
5252.800000 1.02792
5262.000000 1.02154
5271.200000 0.965158
5280.400000 1.00466
5289.600000 1.08172
5298.800000 1.04022
5308.000000 1.04675
5317.200000 1.01113
5326.400000 1.06563
5335.600000 1.03159
5344.800000 1.09318
5354.000000 1.01704
5363.200000 1.04553
5372.400000 1.02172
5381.600000 1.0301
5390.800000 1.08917
5400.000000 0.993938
5409.200000 1.01863
5418.400000 1.04095
5427.600000 1.08527
5436.800000 1.05253
5446.000000 1.08959
5455.200000 1.09263
5464.400000 1.04269
5473.600000 1.05848
5482.800000 1.07732
5492.000000 0.976679
5501.200000 1.01513
5510.400000 1.08388
5519.600000 1.06918
5528.800000 0.984957
5538.000000 1.01929
5547.200000 1.05518
5556.400000 1.00116
5565.600000 0.978258
5574.800000 1.08181
5584.000000 1.06818
5593.200000 1.04958
5602.400000 1.03805
5611.600000 1.08396
5620.800000 1.03035
5630.000000 1.10453
5639.200000 1.08182
5648.400000 0.985923
5657.600000 1.02332
5666.800000 1.04505
5676.000000 1.04889
5685.200000 1.1183
5694.400000 0.965551
5703.600000 1.02612
5712.800000 1.02354
5722.000000 0.956396
5731.200000 0.965794
5740.400000 0.933605
5749.600000 0.964859
5758.800000 0.974936
5768.000000 0.984685
5777.200000 0.899461
5786.400000 0.909593
5795.600000 0.981955
5804.800000 0.875876
5814.000000 0.9633
5823.200000 0.893322
5832.400000 0.97877
5841.600000 1.02737
5850.800000 1.06683
5860.000000 1.07124
5869.200000 1.0166
5878.400000 1.02568
5887.600000 1.08224
5896.800000 1.00664
5906.000000 1.01446
5915.200000 0.986406
5924.400000 0.998854
5933.600000 1.09048
5942.800000 0.980388
5952.000000 0.981369
5961.200000 1.05965
5970.400000 1.01547
5979.600000 1.08864
5988.800000 1.12453
5998.000000 0.966352
6007.200000 1.11639
6016.400000 1.058
6025.600000 1.00561
6034.800000 0.958914
6044.000000 0.915178
6053.200000 0.953458
6062.400000 1.01108
6071.600000 0.942003
6080.800000 0.998318
6090.000000 0.976545
6099.200000 1.01848
6108.400000 1.0288
6117.600000 0.905335
6126.800000 0.939317
6136.000000 0.939361
6145.200000 0.99776
6154.400000 0.964013
6163.600000 0.963628
6172.800000 1.01382
6182.000000 0.937076
6191.200000 0.993539
6200.400000 1.04073
6209.600000 0.991019
6218.800000 1.04855
6228.000000 1.02981
6237.200000 0.963515
6246.400000 0.943612
6255.600000 0.904596
6264.800000 0.900845
6274.000000 0.902508
6283.200000 0.914754
6292.400000 0.917317
6301.600000 0.970075
6310.800000 0.942753
6320.000000 0.900162
6329.200000 0.95611
6338.400000 0.893498
6347.600000 0.907761
6356.800000 0.831824
6366.000000 0.916091
6375.200000 0.804354
6384.400000 0.853987
6393.600000 0.827134
6402.800000 0.869715
6412.000000 0.822528
6421.200000 0.817644
6430.400000 0.903064
6439.600000 0.887759
6448.800000 0.918936
6458.000000 0.912693
6467.200000 0.800946
6476.400000 0.868253
6485.600000 0.777298
6494.800000 0.898332
6504.000000 0.829696
6513.200000 0.924147
6522.400000 0.965737
6531.600000 1.00747
6540.800000 0.98673
6550.000000 0.928794
6559.200000 0.983568
6568.400000 0.988947
6577.600000 1.02271
6586.800000 0.981093
6596.000000 1.01617
6605.200000 0.991101
6614.400000 1.0046
6623.600000 1.07624
6632.800000 1.06633
6642.000000 1.05051
6651.200000 1.07846
6660.400000 1.034739
6669.600000 1.09988
6678.800000 1.03374
6688.000000 1.04442
6697.200000 1.02236
6706.400000 1.07316
6715.600000 1.29952
6724.800000 1.57117
6734.000000 1.36145
6743.200000 1.28867
6752.400000 1.11505
6761.600000 1.07597
6770.800000 1.12166
6780.000000 1.04916
6789.200000 1.03794
6798.400000 1.00578
6807.600000 1.02061
6816.800000 1.0667
6826.000000 1.00934
6835.200000 1.04158
6844.400000 0.995713
6853.600000 1.00243
6862.800000 0.89704
6872.000000 0.871108
6881.200000 0.89255
6890.400000 0.981838
6899.600000 0.954807
6908.800000 0.906351
6918.000000 0.890391
6927.200000 0.972879
6936.400000 0.924349
6945.600000 0.984956
6954.800000 1.023684
