# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2023agw
# CHANNEL = B+R
# EXPNUM = 23_025_044_003
# MJD-OBS = 59969.558339
# DATE-OBS = 2023-01-25T13:24:02
# EXPTIME = 2400.0s
# AIRMASS = 1.07
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 11:58:52.03
# DEC = 01:43:45.54
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 5.185272e-17 3.883855e-17
3405.860000 2.140890e-17 3.954972e-17
3408.860000 2.991817e-17 3.576445e-17
3411.860000 3.660213e-17 3.342635e-17
3414.860000 -2.108471e-17 3.651200e-17
3417.860000 1.025564e-18 3.690494e-17
3420.860000 8.410046e-17 3.385621e-17
3423.860000 -1.983774e-17 3.292396e-17
3426.860000 -9.616332e-17 3.700489e-17
3429.860000 -4.067625e-17 3.654231e-17
3432.860000 -4.307052e-17 3.210745e-17
3435.860000 -3.326559e-17 3.231926e-17
3438.860000 -8.467073e-18 3.684059e-17
3441.860000 -2.910152e-17 3.575644e-17
3444.860000 -2.206464e-17 3.146043e-17
3447.860000 -1.283910e-17 3.176639e-17
3450.860000 -4.176332e-17 3.442552e-17
3453.860000 1.676954e-17 3.344746e-17
3456.860000 6.446070e-17 3.070993e-17
3459.860000 5.273219e-17 3.240671e-17
3462.860000 -2.224441e-17 3.430628e-17
3465.860000 -3.769246e-18 3.242059e-17
3468.860000 1.100968e-17 2.921880e-17
3471.860000 5.673820e-19 3.096160e-17
3474.860000 -6.240947e-17 3.218910e-17
3477.860000 -3.454772e-18 3.042740e-17
3480.860000 5.669903e-17 2.929485e-17
3483.860000 2.490728e-17 3.248815e-17
3486.860000 5.243558e-17 3.358680e-17
3489.860000 5.084435e-17 3.091617e-17
3492.860000 1.262515e-17 2.885216e-17
3495.860000 8.675875e-18 3.195916e-17
3498.860000 1.766347e-17 3.214673e-17
3501.860000 3.026097e-17 2.811126e-17
3504.860000 7.977608e-18 2.786337e-17
3507.860000 -1.754700e-17 3.145280e-17
3510.860000 -7.501850e-18 3.081688e-17
3513.860000 3.559694e-17 2.736158e-17
3516.860000 8.986623e-17 2.854618e-17
3519.860000 1.253820e-17 3.129046e-17
3522.860000 7.454668e-18 3.086263e-17
3525.860000 1.603306e-17 2.660083e-17
3528.860000 5.337294e-18 2.789657e-17
3531.860000 1.044139e-17 3.039535e-17
3534.860000 -3.646715e-18 2.866122e-17
3537.860000 6.295132e-18 2.955758e-17
3540.860000 8.014986e-18 3.388487e-17
3543.860000 3.012630e-17 3.229663e-17
3546.860000 6.099253e-17 3.150075e-17
3549.860000 -3.109622e-17 2.631691e-17
3552.860000 -4.967470e-17 2.836961e-17
3555.860000 -1.088448e-17 2.927298e-17
3558.860000 1.089970e-17 2.689454e-17
3561.860000 -8.283227e-18 2.587494e-17
3564.860000 1.829685e-17 2.823581e-17
3567.860000 5.498034e-17 2.847396e-17
3570.860000 5.438699e-17 2.526697e-17
3573.860000 8.847807e-17 2.504086e-17
3576.860000 6.622020e-17 2.859499e-17
3579.860000 -2.591962e-17 2.850326e-17
3582.860000 -5.992688e-17 2.472913e-17
3585.860000 -5.567824e-17 2.470900e-17
3588.860000 -9.328312e-18 2.769201e-17
3591.860000 1.925720e-17 2.728877e-17
3594.860000 7.227382e-18 2.413933e-17
3597.860000 -3.610233e-17 2.499322e-17
3600.860000 -3.871430e-17 2.705551e-17
3603.860000 -4.976945e-17 2.533298e-17
3606.860000 -3.755381e-17 2.345853e-17
3609.860000 -1.745833e-17 2.547708e-17
3612.860000 1.694497e-17 2.725528e-17
3615.860000 2.213053e-17 2.499251e-17
3618.860000 -6.873631e-19 2.306341e-17
3621.860000 -5.223265e-18 2.527380e-17
3624.860000 6.020772e-18 2.618874e-17
3627.860000 2.142703e-17 2.378044e-17
3630.860000 3.370994e-17 2.265678e-17
3633.860000 3.783070e-17 2.494439e-17
3636.860000 4.411473e-17 2.553329e-17
3639.860000 3.297649e-17 2.241271e-17
3642.860000 3.997165e-17 2.206211e-17
3645.860000 3.403185e-17 2.510144e-17
3648.860000 3.048171e-17 2.481978e-17
3651.860000 2.275192e-17 2.152561e-17
3654.860000 -1.204815e-17 2.152622e-17
3657.860000 -1.215103e-17 2.386706e-17
3660.860000 1.378022e-17 2.316762e-17
3663.860000 1.098217e-17 2.087575e-17
3666.860000 1.142776e-17 2.183343e-17
3669.860000 2.428431e-17 2.350836e-17
3672.860000 3.148051e-17 2.244168e-17
3675.860000 1.197209e-17 2.047582e-17
3678.860000 -9.044892e-18 2.189894e-17
3681.860000 3.019107e-17 2.302013e-17
3684.860000 5.917106e-17 2.180155e-17
3687.860000 5.592830e-18 1.998479e-17
3690.860000 6.925643e-18 2.146764e-17
3693.860000 -1.046819e-17 2.195527e-17
3696.860000 7.207841e-18 2.016106e-17
3699.860000 5.413013e-17 1.943851e-17
3702.860000 6.835645e-17 2.152690e-17
3705.860000 4.814276e-17 2.215468e-17
3708.860000 4.781571e-17 1.966065e-17
3711.860000 1.566108e-17 1.891000e-17
3714.860000 -5.768446e-18 2.151238e-17
3717.860000 9.024324e-18 2.139667e-17
3720.860000 2.274154e-17 1.904069e-17
3723.860000 -3.818609e-18 1.865547e-17
3726.860000 1.615549e-17 2.080914e-17
3729.860000 3.600282e-17 2.068133e-17
3732.860000 3.625842e-17 1.855252e-17
3735.860000 1.781622e-17 1.896400e-17
3738.860000 4.986924e-18 2.060272e-17
3741.860000 8.634182e-18 1.989168e-17
3744.860000 3.468976e-17 1.840457e-17
3747.860000 2.314591e-17 1.930030e-17
3750.860000 2.475348e-17 2.082751e-17
3753.860000 9.386652e-18 1.943065e-17
3756.860000 1.743431e-17 1.801023e-17
3759.860000 -1.693076e-17 1.945202e-17
3762.860000 2.825788e-18 2.051457e-17
3765.860000 3.598041e-18 1.885722e-17
3768.860000 1.866270e-17 1.775094e-17
3771.860000 1.053734e-17 1.965807e-17
3774.860000 4.255391e-17 2.039429e-17
3777.860000 3.282307e-17 1.832031e-17
3780.860000 4.333563e-17 1.808727e-17
3783.860000 5.512268e-17 2.066555e-17
3786.860000 7.129373e-17 2.070418e-17
3789.860000 5.245983e-17 1.819646e-17
3792.860000 1.860335e-17 1.793879e-17
3795.860000 3.727189e-17 2.022931e-17
3798.860000 5.507706e-17 2.001972e-17
3801.860000 8.190104e-17 1.804251e-17
3804.860000 4.744039e-17 1.836794e-17
3807.860000 5.110256e-17 2.217548e-17
3810.860000 6.956380e-17 2.215590e-17
3813.860000 3.962426e-17 1.804051e-17
3816.860000 3.167231e-17 1.823963e-17
3819.860000 6.592654e-17 1.957572e-17
3822.860000 4.861233e-17 1.831449e-17
3825.860000 3.848272e-17 1.680878e-17
3828.860000 4.923333e-17 1.828486e-17
3831.860000 4.736404e-17 1.974879e-17
3834.860000 6.592845e-17 1.795378e-17
3837.860000 6.473789e-17 1.669400e-17
3840.860000 6.509454e-17 1.836501e-17
3843.860000 5.381718e-17 1.857885e-17
3846.860000 9.687190e-17 1.692694e-17
3849.860000 7.622165e-17 1.621306e-17
3852.860000 4.595250e-17 1.806569e-17
3855.860000 3.480804e-17 1.808424e-17
3858.860000 6.493153e-17 1.600899e-17
3861.860000 6.296554e-17 1.581117e-17
3864.860000 3.898434e-17 1.747306e-17
3867.860000 5.762903e-17 1.761635e-17
3870.860000 4.642489e-17 1.564129e-17
3873.860000 2.963269e-17 1.579639e-17
3876.860000 2.390692e-17 1.752588e-17
3879.860000 5.090140e-17 1.688755e-17
3882.860000 8.030260e-17 1.530918e-17
3885.860000 7.128103e-17 1.612849e-17
3888.860000 6.395661e-17 1.732283e-17
3891.860000 2.589512e-17 1.645069e-17
3894.860000 3.683196e-17 1.522338e-17
3897.860000 7.169863e-17 1.658521e-17
3900.860000 5.893795e-17 1.749690e-17
3903.860000 4.945267e-17 1.621419e-17
3906.860000 4.808382e-17 1.530810e-17
3909.860000 4.437204e-17 1.710990e-17
3912.860000 -5.885379e-18 1.738692e-17
3915.860000 3.488647e-17 1.600797e-17
3918.860000 6.363253e-17 1.580314e-17
3921.860000 5.942102e-17 1.761942e-17
3924.860000 6.100842e-17 1.771083e-17
3927.860000 1.028066e-16 1.596437e-17
3930.860000 7.783785e-17 1.558091e-17
3933.860000 5.111472e-17 1.728156e-17
3936.860000 6.816450e-17 1.730701e-17
3939.860000 3.929979e-17 1.562857e-17
3942.860000 2.538635e-17 1.535493e-17
3945.860000 9.338611e-17 1.742267e-17
3948.860000 9.893024e-17 1.696271e-17
3951.860000 5.652325e-17 1.488003e-17
3954.860000 8.708927e-17 1.574493e-17
3957.860000 1.116031e-16 1.725047e-17
3960.860000 5.420342e-17 1.604875e-17
3963.860000 3.713442e-17 1.469717e-17
3966.860000 4.643595e-17 1.577061e-17
3969.860000 8.347286e-17 1.680267e-17
3972.860000 8.112251e-17 1.572063e-17
3975.860000 5.174651e-17 1.446650e-17
3978.860000 7.411127e-17 1.621936e-17
3981.860000 8.999859e-17 1.703023e-17
3984.860000 7.688840e-17 1.545647e-17
3987.860000 5.112433e-17 1.508367e-17
3990.860000 3.803965e-17 1.656779e-17
3993.860000 1.077360e-16 1.703212e-17
3996.860000 6.074208e-17 1.505262e-17
3999.860000 5.213310e-17 1.452407e-17
4002.860000 5.159663e-17 1.657857e-17
4005.860000 4.956056e-17 1.654775e-17
4008.860000 4.601080e-17 1.444386e-17
4011.860000 6.911662e-17 1.483943e-17
4014.860000 6.065349e-17 1.670069e-17
4017.860000 5.904819e-17 1.618780e-17
4020.860000 5.925310e-17 1.445182e-17
4023.860000 4.416728e-17 1.511972e-17
4026.860000 4.009258e-17 1.652466e-17
4029.860000 6.879534e-17 1.620264e-17
4032.860000 5.888730e-17 1.509144e-17
4035.860000 6.170722e-17 1.618385e-17
4038.860000 3.141917e-17 1.712655e-17
4041.860000 3.685662e-17 1.622388e-17
4044.860000 4.359879e-17 1.518379e-17
4047.860000 4.123006e-17 1.658578e-17
4050.860000 3.305167e-17 1.699000e-17
4053.860000 4.689041e-17 1.553866e-17
4056.860000 5.809294e-17 1.468708e-17
4059.860000 1.905219e-17 1.604822e-17
4062.860000 -2.822639e-18 1.648126e-17
4065.860000 2.141014e-17 1.433121e-17
4068.860000 2.990208e-17 1.359930e-17
4071.860000 1.603311e-17 1.546995e-17
4074.860000 3.491212e-17 1.540641e-17
4077.860000 6.293122e-17 1.351290e-17
4080.860000 6.332222e-17 1.357466e-17
4083.860000 5.795149e-17 1.526777e-17
4086.860000 1.783277e-17 1.482637e-17
4089.860000 4.125737e-17 1.312299e-17
4092.860000 4.503013e-17 1.339148e-17
4095.860000 1.204878e-17 1.434453e-17
4098.860000 2.073786e-17 1.408004e-17
4101.860000 4.044167e-17 1.285370e-17
4104.860000 3.416281e-17 1.358716e-17
4107.860000 3.041565e-17 1.452555e-17
4110.860000 1.911258e-17 1.353429e-17
4113.860000 1.748743e-17 1.276288e-17
4116.860000 4.257079e-17 1.405697e-17
4119.860000 2.883935e-17 1.468080e-17
4122.860000 2.763978e-17 1.368522e-17
4125.860000 2.849882e-17 1.296169e-17
4128.860000 4.199506e-17 1.471695e-17
4131.860000 8.677926e-17 1.541613e-17
4134.860000 8.324279e-17 1.396436e-17
4137.860000 4.765984e-17 1.367192e-17
4140.860000 3.698231e-17 1.538236e-17
4143.860000 5.941566e-18 1.532742e-17
4146.860000 1.505617e-17 1.347268e-17
4149.860000 4.229605e-17 1.347782e-17
4152.860000 6.689247e-17 1.533876e-17
4155.860000 8.438586e-17 1.525474e-17
4158.860000 8.381005e-17 1.350056e-17
4161.860000 7.673737e-17 1.376882e-17
4164.860000 6.494028e-17 1.496279e-17
4167.860000 9.241721e-17 1.436993e-17
4170.860000 7.699482e-17 1.287151e-17
4173.860000 6.699657e-17 1.363015e-17
4176.860000 7.464093e-17 1.465222e-17
4179.860000 6.776332e-17 1.354369e-17
4182.860000 9.142386e-17 1.263716e-17
4185.860000 1.114557e-16 1.377429e-17
4188.860000 1.038559e-16 1.423057e-17
4191.860000 1.073975e-16 1.320856e-17
4194.860000 9.928230e-17 1.254003e-17
4197.860000 1.105180e-16 1.401829e-17
4200.860000 1.063267e-16 1.435677e-17
