# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2023amb
# CHANNEL = B+R
# EXPNUM = 23_025_046_003
# MJD-OBS = 59969.592992
# DATE-OBS = 2023-01-25T14:13:56
# EXPTIME = 2400.0s
# AIRMASS = 1.14
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 12:38:37.99
# DEC = -07:21:00.05
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 -2.382679e-17 4.386017e-17
3405.860000 3.086678e-18 4.271652e-17
3408.860000 1.852934e-17 3.667663e-17
3411.860000 2.760047e-17 3.456531e-17
3414.860000 9.647846e-17 3.798800e-17
3417.860000 5.660121e-17 3.820496e-17
3420.860000 6.665692e-18 3.376445e-17
3423.860000 1.348811e-17 3.287283e-17
3426.860000 3.832617e-17 3.710038e-17
3429.860000 3.042218e-17 3.711222e-17
3432.860000 3.032107e-17 3.255105e-17
3435.860000 -2.604167e-17 3.320217e-17
3438.860000 -4.305664e-17 3.870464e-17
3441.860000 -1.616161e-17 3.661111e-17
3444.860000 -3.073725e-18 3.209625e-17
3447.860000 4.920894e-18 3.234306e-17
3450.860000 -2.177024e-17 3.510731e-17
3453.860000 3.661848e-17 3.383423e-17
3456.860000 6.138173e-17 3.063642e-17
3459.860000 -2.235003e-17 3.149368e-17
3462.860000 -1.698899e-17 3.336301e-17
3465.860000 -6.780690e-18 3.143549e-17
3468.860000 -1.914490e-18 2.856423e-17
3471.860000 2.013215e-17 3.134741e-17
3474.860000 2.877709e-17 3.271215e-17
3477.860000 7.170925e-17 3.044325e-17
3480.860000 5.528208e-17 2.893633e-17
3483.860000 1.293243e-17 3.269131e-17
3486.860000 2.755206e-17 3.372351e-17
3489.860000 -1.087939e-17 3.213877e-17
3492.860000 -2.083880e-17 3.015935e-17
3495.860000 -7.157257e-18 3.207749e-17
3498.860000 -1.684424e-17 3.189527e-17
3501.860000 -5.412380e-17 2.758881e-17
3504.860000 -2.237029e-17 2.748097e-17
3507.860000 5.623647e-18 3.106032e-17
3510.860000 2.550619e-17 3.072534e-17
3513.860000 3.207552e-17 2.718228e-17
3516.860000 1.896726e-17 2.787443e-17
3519.860000 -1.322243e-17 3.042902e-17
3522.860000 -2.721714e-17 2.925546e-17
3525.860000 3.509379e-18 2.630450e-17
3528.860000 5.207042e-18 2.808088e-17
3531.860000 -1.965559e-17 3.014988e-17
3534.860000 -9.834793e-18 2.891212e-17
3537.860000 -1.535037e-17 2.625755e-17
3540.860000 -2.928685e-17 2.821799e-17
3543.860000 -6.379277e-18 2.975737e-17
3546.860000 -9.346895e-18 2.791382e-17
3549.860000 3.781221e-17 2.669031e-17
3552.860000 -7.492192e-18 2.812772e-17
3555.860000 2.282939e-17 2.910433e-17
3558.860000 3.660755e-17 2.657378e-17
3561.860000 1.249368e-17 2.518225e-17
3564.860000 2.584614e-17 2.832662e-17
3567.860000 3.801124e-17 2.883670e-17
3570.860000 5.381116e-18 2.501614e-17
3573.860000 2.021868e-17 2.487509e-17
3576.860000 -2.524256e-17 2.758274e-17
3579.860000 9.974055e-18 2.753689e-17
3582.860000 1.946453e-17 2.420186e-17
3585.860000 1.958356e-17 2.512451e-17
3588.860000 3.195598e-17 2.860440e-17
3591.860000 -1.568723e-17 3.710695e-17
3594.860000 1.513732e-17 3.022841e-17
3597.860000 4.788670e-17 2.629044e-17
3600.860000 9.039718e-17 2.799818e-17
3603.860000 8.473403e-17 2.641007e-17
3606.860000 6.111643e-17 2.401184e-17
3609.860000 -5.932175e-18 2.524867e-17
3612.860000 3.268922e-17 2.723368e-17
3615.860000 -1.235704e-17 2.473403e-17
3618.860000 -1.865641e-17 2.279573e-17
3621.860000 6.204775e-17 2.564121e-17
3624.860000 4.344135e-17 2.638576e-17
3627.860000 2.269307e-17 2.473397e-17
3630.860000 7.799324e-17 2.438050e-17
3633.860000 3.486167e-17 2.538296e-17
3636.860000 4.704434e-17 2.573602e-17
3639.860000 2.558474e-17 2.258917e-17
3642.860000 2.770840e-17 2.214560e-17
3645.860000 3.517843e-17 2.495184e-17
3648.860000 3.288062e-17 2.470910e-17
3651.860000 1.427958e-17 2.131838e-17
3654.860000 4.511943e-17 2.174011e-17
3657.860000 6.797597e-17 2.471338e-17
3660.860000 2.471693e-17 2.374639e-17
3663.860000 3.109604e-17 2.110680e-17
3666.860000 7.132393e-17 2.225678e-17
3669.860000 3.936980e-17 2.410767e-17
3672.860000 4.712855e-17 2.292628e-17
3675.860000 2.419339e-17 2.056071e-17
3678.860000 2.806887e-18 2.132651e-17
3681.860000 6.475916e-17 2.292444e-17
3684.860000 3.982005e-17 2.109952e-17
3687.860000 3.780034e-17 1.962479e-17
3690.860000 6.697780e-17 2.172084e-17
3693.860000 4.306474e-17 2.244103e-17
3696.860000 2.358364e-17 2.014231e-17
3699.860000 4.603101e-17 1.916264e-17
3702.860000 7.109797e-17 2.170617e-17
3705.860000 3.750224e-17 2.185367e-17
3708.860000 2.945398e-17 1.939627e-17
3711.860000 4.462399e-17 1.922163e-17
3714.860000 2.052176e-18 2.170019e-17
3717.860000 6.141925e-18 2.150552e-17
3720.860000 4.703024e-17 1.893046e-17
3723.860000 5.020582e-17 1.880122e-17
3726.860000 8.133027e-17 2.143953e-17
3729.860000 5.863913e-17 2.078779e-17
3732.860000 6.125678e-17 1.864406e-17
3735.860000 7.878096e-17 1.950467e-17
3738.860000 3.182545e-17 2.084371e-17
3741.860000 3.233085e-17 2.014762e-17
3744.860000 3.161161e-17 1.849353e-17
3747.860000 2.082879e-17 1.952284e-17
3750.860000 5.150464e-18 2.103746e-17
3753.860000 4.705725e-17 1.994691e-17
3756.860000 5.475998e-17 1.850232e-17
3759.860000 5.174690e-17 1.997680e-17
3762.860000 5.970495e-17 2.083381e-17
3765.860000 2.619085e-17 1.935488e-17
3768.860000 4.263887e-17 1.844371e-17
3771.860000 7.667813e-17 2.035380e-17
3774.860000 4.341436e-17 2.041171e-17
3777.860000 1.255669e-17 1.832371e-17
3780.860000 1.399979e-17 1.788868e-17
3783.860000 3.352327e-17 2.027770e-17
3786.860000 5.025571e-17 2.021450e-17
3789.860000 4.320502e-17 1.755452e-17
3792.860000 1.129013e-17 1.755059e-17
3795.860000 3.670193e-17 1.999618e-17
3798.860000 6.498250e-17 1.979997e-17
3801.860000 1.610260e-17 1.713673e-17
3804.860000 2.739620e-17 1.749604e-17
3807.860000 9.320645e-18 1.929161e-17
3810.860000 5.297504e-18 1.876691e-17
3813.860000 2.364641e-17 1.795108e-17
3816.860000 5.712056e-17 1.883946e-17
3819.860000 4.286398e-17 1.947000e-17
3822.860000 2.451497e-17 1.787529e-17
3825.860000 1.234081e-17 1.613361e-17
3828.860000 1.546781e-17 1.781016e-17
3831.860000 3.645439e-17 1.887041e-17
3834.860000 4.954749e-17 1.755961e-17
3837.860000 -4.178523e-18 1.759472e-17
3840.860000 -1.757739e-17 1.862909e-17
3843.860000 1.326838e-17 1.826931e-17
3846.860000 1.482984e-17 1.623480e-17
3849.860000 5.713552e-17 1.590439e-17
3852.860000 3.201348e-17 1.798035e-17
3855.860000 1.868970e-17 1.804131e-17
3858.860000 3.918234e-17 1.587689e-17
3861.860000 2.910726e-17 1.561527e-17
3864.860000 2.403469e-17 1.750328e-17
3867.860000 9.899539e-18 1.719166e-17
3870.860000 2.935435e-17 1.542877e-17
3873.860000 2.507042e-17 1.596625e-17
3876.860000 3.716545e-17 1.822686e-17
3879.860000 7.409471e-17 1.737859e-17
3882.860000 5.027443e-17 1.541699e-17
3885.860000 4.325224e-17 1.632958e-17
3888.860000 5.192604e-17 1.772642e-17
3891.860000 5.192945e-17 1.680935e-17
3894.860000 6.901671e-17 1.525457e-17
3897.860000 4.070898e-17 1.627239e-17
3900.860000 3.796246e-17 1.741544e-17
3903.860000 3.049759e-17 1.620058e-17
3906.860000 4.656875e-17 1.551107e-17
3909.860000 3.949610e-17 1.718686e-17
3912.860000 3.216749e-17 1.771215e-17
3915.860000 3.069054e-17 1.612938e-17
3918.860000 1.930717e-17 1.552134e-17
3921.860000 1.783136e-17 1.730537e-17
3924.860000 1.681439e-17 1.742474e-17
3927.860000 3.360316e-17 1.546322e-17
3930.860000 4.929603e-17 1.522169e-17
3933.860000 4.219131e-17 1.721984e-17
3936.860000 4.019855e-17 1.709722e-17
