# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 23dyw
# CHANNEL = B+R
# EXPNUM = 23_088_048_003
# MJD-OBS = 60032.554306
# DATE-OBS = 2023-03-29T13:18:12
# EXPTIME = 2400.0s
# AIRMASS = 1.02
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 14:47:25.32
# DEC = 29:54:48.30
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 1.165776e-17 3.030025e-17
3403.480000 -4.494524e-18 3.134455e-17
3406.480000 5.450862e-18 2.840697e-17
3409.480000 4.961338e-17 2.744781e-17
3412.480000 -1.950028e-17 2.963685e-17
3415.480000 -4.225010e-17 2.990145e-17
3418.480000 -1.091546e-17 2.722121e-17
3421.480000 5.832870e-17 2.727987e-17
3424.480000 1.453189e-17 3.046189e-17
3427.480000 -3.746943e-18 3.032855e-17
3430.480000 2.110730e-17 2.661071e-17
3433.480000 3.014667e-17 2.664970e-17
3436.480000 6.235015e-18 2.937326e-17
3439.480000 2.320843e-17 2.922411e-17
3442.480000 1.542958e-17 2.555309e-17
3445.480000 3.155895e-17 2.613455e-17
3448.480000 2.204904e-17 2.842780e-17
3451.480000 2.801689e-17 2.757994e-17
3454.480000 1.807762e-17 2.497346e-17
3457.480000 1.385236e-17 2.601492e-17
3460.480000 5.521922e-18 2.762417e-17
3463.480000 -8.305398e-19 2.673573e-17
3466.480000 4.112043e-17 2.505123e-17
3469.480000 3.594454e-17 2.671267e-17
3472.480000 3.651613e-17 2.779040e-17
3475.480000 1.293853e-17 2.515411e-17
3478.480000 7.064437e-17 2.450386e-17
3481.480000 5.725314e-17 2.797749e-17
3484.480000 5.490475e-17 2.866596e-17
3487.480000 3.560674e-17 2.526471e-17
3490.480000 4.753731e-18 2.392849e-17
3493.480000 4.773720e-17 2.744625e-17
3496.480000 4.496765e-17 2.719614e-17
3499.480000 3.068603e-18 2.352433e-17
3502.480000 2.478145e-18 2.353363e-17
3505.480000 1.212236e-17 2.634133e-17
3508.480000 -4.444706e-18 2.572135e-17
3511.480000 1.706746e-17 2.298560e-17
3514.480000 4.279965e-17 2.389800e-17
3517.480000 2.993947e-17 2.624309e-17
3520.480000 -5.666514e-18 2.548527e-17
3523.480000 1.874567e-17 2.279770e-17
3526.480000 9.617684e-18 2.388000e-17
3529.480000 3.502471e-17 2.568948e-17
3532.480000 3.085329e-17 2.424930e-17
3535.480000 3.384610e-17 2.217872e-17
3538.480000 2.300724e-17 2.396870e-17
3541.480000 3.127682e-17 2.498942e-17
3544.480000 2.932183e-17 2.339446e-17
3547.480000 3.272717e-17 2.223398e-17
3550.480000 1.685468e-17 2.414075e-17
3553.480000 1.749524e-17 2.486801e-17
3556.480000 4.243319e-17 2.256796e-17
3559.480000 5.175339e-17 2.173326e-17
3562.480000 4.278014e-17 2.448651e-17
3565.480000 3.973601e-17 2.469138e-17
3568.480000 6.686170e-17 2.217320e-17
3571.480000 7.602523e-17 2.236951e-17
3574.480000 7.680999e-17 2.531113e-17
3577.480000 4.967215e-17 2.422665e-17
3580.480000 2.015813e-17 2.119687e-17
3583.480000 2.824213e-17 2.162967e-17
3586.480000 3.454694e-17 2.396890e-17
3589.480000 3.114273e-17 2.331301e-17
3592.480000 2.452078e-17 2.076486e-17
3595.480000 1.920218e-17 2.156871e-17
3598.480000 1.905187e-17 2.325281e-17
3601.480000 3.064577e-17 2.224858e-17
3604.480000 2.700548e-17 1.999335e-17
3607.480000 1.996789e-17 2.118213e-17
