# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 23exn
# CHANNEL = B+R
# EXPNUM = 23_111_028_003
# MJD-OBS = 60055.428935
# DATE-OBS = 2023-04-21T10:17:41
# EXPTIME = 1500.0s
# AIRMASS = 1.03
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 14:47:28.88
# DEC = 18:23:51.24
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 2.018456e-17 5.351842e-17
3403.480000 -1.329364e-16 5.455707e-17
3406.480000 -4.511591e-17 5.046949e-17
3409.480000 -2.345963e-17 4.873316e-17
3412.480000 3.653066e-18 5.367220e-17
3415.480000 2.029446e-17 5.503150e-17
3418.480000 -1.235997e-17 4.938038e-17
3421.480000 6.018523e-18 4.768007e-17
3424.480000 5.723988e-17 5.462826e-17
3427.480000 -2.753183e-17 5.395558e-17
3430.480000 -6.185514e-17 4.666426e-17
3433.480000 -6.824634e-17 4.732784e-17
3436.480000 -3.302728e-17 5.342271e-17
3439.480000 5.399307e-17 5.200499e-17
3442.480000 5.723223e-17 4.575537e-17
3445.480000 2.191911e-17 4.597963e-17
3448.480000 3.755564e-17 5.036969e-17
3451.480000 3.558971e-17 4.911056e-17
3454.480000 1.019611e-17 4.371802e-17
3457.480000 -2.119037e-17 4.551059e-17
3460.480000 -2.352405e-17 4.891514e-17
3463.480000 -2.986935e-18 4.622120e-17
3466.480000 -4.023405e-17 4.219472e-17
3469.480000 -1.026311e-17 4.564164e-17
3472.480000 -2.000839e-17 4.744839e-17
3475.480000 2.645404e-17 4.457490e-17
3478.480000 4.759030e-17 4.282542e-17
3481.480000 8.661961e-17 4.791099e-17
3484.480000 9.431161e-17 4.880868e-17
3487.480000 6.401910e-17 4.386117e-17
3490.480000 -9.333950e-18 4.156102e-17
3493.480000 1.399254e-18 4.613541e-17
3496.480000 -1.612367e-18 4.597302e-17
3499.480000 -2.298848e-17 4.037416e-17
3502.480000 2.878832e-17 4.068133e-17
3505.480000 8.461318e-17 4.676786e-17
3508.480000 9.441068e-17 4.606534e-17
3511.480000 6.083838e-17 4.098885e-17
3514.480000 5.208871e-17 4.198906e-17
3517.480000 1.873482e-17 4.549594e-17
3520.480000 3.745541e-18 4.359874e-17
3523.480000 5.330950e-17 3.915541e-17
3526.480000 6.920974e-17 4.138589e-17
3529.480000 4.110151e-18 4.397117e-17
3532.480000 5.314501e-17 4.141487e-17
3535.480000 5.391555e-17 3.852744e-17
