# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = PS23bsc
# CHANNEL = B+R
# EXPNUM = 23_106_037_003
# MJD-OBS = 60050.503501
# DATE-OBS = 2023-04-16T12:05:04
# EXPTIME = 2400.0s
# AIRMASS = 1.20
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 12:56:52.19
# DEC = 17:27:58.29
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 -4.283307e-17 3.782420e-17
3403.480000 -2.308286e-17 3.909301e-17
3406.480000 4.287004e-17 3.614710e-17
3409.480000 3.980914e-17 3.419574e-17
3412.480000 -5.474952e-18 3.751339e-17
3415.480000 1.207937e-17 3.868333e-17
3418.480000 -7.946806e-18 3.563921e-17
3421.480000 -3.817844e-17 3.343100e-17
3424.480000 -2.064433e-17 3.791365e-17
3427.480000 8.635948e-18 3.796188e-17
3430.480000 1.228852e-17 3.350160e-17
3433.480000 2.997848e-17 3.418913e-17
3436.480000 4.250687e-17 3.848275e-17
3439.480000 5.553977e-17 3.686643e-17
3442.480000 6.998683e-17 3.228170e-17
3445.480000 5.225824e-17 3.326493e-17
3448.480000 1.397942e-17 3.898932e-17
3451.480000 1.807916e-17 3.881430e-17
3454.480000 9.985133e-18 3.104377e-17
3457.480000 8.028551e-18 3.269144e-17
3460.480000 5.612352e-17 3.541341e-17
3463.480000 7.949591e-17 3.303409e-17
3466.480000 3.694924e-17 3.039909e-17
3469.480000 1.815876e-17 3.250037e-17
3472.480000 3.019911e-17 3.412570e-17
3475.480000 8.897104e-17 3.184792e-17
3478.480000 1.201288e-17 2.990106e-17
3481.480000 2.851902e-17 3.376925e-17
3484.480000 8.493144e-17 3.488849e-17
3487.480000 4.962583e-17 3.106180e-17
3490.480000 5.543049e-17 2.997347e-17
3493.480000 5.266625e-17 3.351757e-17
3496.480000 3.745854e-17 3.330888e-17
3499.480000 2.973354e-17 2.932611e-17
3502.480000 3.594947e-18 2.875605e-17
3505.480000 -9.035987e-18 3.233774e-17
3508.480000 2.251616e-17 3.220213e-17
3511.480000 3.829931e-17 2.825884e-17
3514.480000 1.138031e-16 2.957704e-17
3517.480000 9.761767e-17 3.254806e-17
3520.480000 6.488174e-17 3.148051e-17
3523.480000 5.712423e-17 2.816813e-17
3526.480000 3.633081e-17 2.938828e-17
3529.480000 2.728111e-17 3.162306e-17
3532.480000 2.756415e-17 2.962683e-17
3535.480000 5.424945e-17 2.720459e-17
3538.480000 2.278595e-17 2.953792e-17
3541.480000 1.210355e-17 3.090770e-17
3544.480000 2.074244e-17 2.950766e-17
3547.480000 6.149293e-17 2.819110e-17
3550.480000 5.220184e-17 3.070424e-17
3553.480000 2.386151e-17 3.116043e-17
3556.480000 2.975169e-17 2.832967e-17
3559.480000 7.353591e-17 2.746310e-17
3562.480000 5.999374e-17 3.057586e-17
3565.480000 5.371085e-17 3.085015e-17
3568.480000 2.690101e-17 2.712937e-17
3571.480000 -6.384327e-18 2.649409e-17
3574.480000 4.050013e-17 2.988997e-17
3577.480000 4.033111e-17 2.947887e-17
3580.480000 4.274915e-17 2.622834e-17
3583.480000 4.699502e-17 2.686629e-17
3586.480000 7.778321e-17 2.981771e-17
3589.480000 8.421971e-17 2.916652e-17
3592.480000 1.313644e-18 2.547333e-17
3595.480000 -3.295259e-17 2.632067e-17
3598.480000 2.958934e-18 2.840277e-17
3601.480000 1.082437e-17 2.685027e-17
3604.480000 1.568455e-17 2.469867e-17
3607.480000 3.679131e-17 2.652048e-17
3610.480000 2.300839e-17 2.762561e-17
3613.480000 -4.787192e-18 2.544002e-17
3616.480000 1.895347e-17 2.396402e-17
3619.480000 3.129101e-17 2.670181e-17
3622.480000 1.518733e-17 2.736299e-17
3625.480000 1.164845e-17 2.464200e-17
3628.480000 2.666949e-17 2.350059e-17
3631.480000 3.545829e-17 2.648634e-17
3634.480000 1.649749e-17 2.663512e-17
3637.480000 1.734352e-18 2.367243e-17
3640.480000 1.439442e-17 2.318463e-17
3643.480000 -2.425343e-18 2.626413e-17
3646.480000 2.554150e-17 2.613560e-17
3649.480000 5.297436e-18 2.261002e-17
3652.480000 7.758348e-19 2.291578e-17
3655.480000 3.729078e-18 2.595973e-17
3658.480000 -2.007158e-18 2.491924e-17
3661.480000 1.638474e-17 2.209255e-17
3664.480000 2.532492e-17 2.277329e-17
3667.480000 4.037429e-17 2.480716e-17
3670.480000 1.883286e-17 2.353955e-17
3673.480000 1.159531e-17 2.100021e-17
3676.480000 3.347075e-17 2.245183e-17
3679.480000 4.379903e-17 2.360969e-17
3682.480000 2.747822e-17 2.170892e-17
3685.480000 8.112600e-18 1.997365e-17
3688.480000 6.604146e-18 2.185034e-17
3691.480000 2.161901e-17 2.273621e-17
3694.480000 -2.030370e-19 2.081341e-17
3697.480000 2.645937e-18 1.987868e-17
3700.480000 7.855594e-18 2.262779e-17
3703.480000 -2.712272e-17 2.474911e-17
3706.480000 5.836625e-18 2.115236e-17
3709.480000 1.573307e-17 1.993578e-17
3712.480000 2.859894e-17 2.275829e-17
3715.480000 5.791041e-17 2.289955e-17
3718.480000 2.762360e-17 1.970079e-17
3721.480000 4.254241e-17 2.011189e-17
3724.480000 3.181090e-17 2.228357e-17
3727.480000 7.991325e-18 2.145049e-17
3730.480000 3.545266e-17 1.946788e-17
3733.480000 4.507884e-17 2.024562e-17
3736.480000 4.066488e-17 2.251115e-17
3739.480000 4.652398e-17 2.190667e-17
3742.480000 6.752082e-17 1.998505e-17
3745.480000 3.888622e-17 2.091393e-17
3748.480000 4.914097e-17 2.227106e-17
3751.480000 3.595400e-17 2.067158e-17
3754.480000 4.967123e-17 1.923007e-17
3757.480000 4.855411e-17 2.084499e-17
3760.480000 7.015279e-17 2.189301e-17
3763.480000 3.964148e-17 1.983425e-17
3766.480000 4.525932e-17 1.871571e-17
3769.480000 2.888710e-17 2.063079e-17
3772.480000 3.374208e-17 2.142015e-17
3775.480000 3.284293e-17 1.911574e-17
3778.480000 4.667514e-17 1.867073e-17
3781.480000 6.947288e-17 2.109457e-17
3784.480000 6.817052e-17 2.102732e-17
3787.480000 4.483485e-17 1.830183e-17
3790.480000 4.867567e-17 1.833364e-17
