# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2023fwb
# CHANNEL = B+R
# EXPNUM = 23_114_054_003
# MJD-OBS = 60058.609601
# DATE-OBS = 2023-04-24T14:37:51
# EXPTIME = 1500.0s
# AIRMASS = 1.37
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 21:23:39.42
# DEC = 39:34:50.98
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 4.194180e-18 6.351495e-17
3403.480000 1.241891e-16 6.672505e-17
3406.480000 1.088119e-16 6.038221e-17
3409.480000 7.191638e-17 5.676518e-17
3412.480000 -2.263778e-18 6.250119e-17
3415.480000 9.375248e-17 6.435200e-17
3418.480000 8.014913e-17 5.792848e-17
3421.480000 1.157944e-16 5.754949e-17
3424.480000 7.139808e-17 6.489234e-17
3427.480000 1.740836e-17 6.417130e-17
3430.480000 3.728263e-17 5.588366e-17
3433.480000 -2.373795e-18 5.580171e-17
3436.480000 1.849896e-17 6.322441e-17
3439.480000 4.155576e-17 6.130918e-17
3442.480000 1.271745e-16 5.389410e-17
3445.480000 9.529925e-17 5.444623e-17
3448.480000 5.769820e-17 5.860315e-17
3451.480000 2.410034e-17 5.634029e-17
3454.480000 8.583372e-17 5.161509e-17
3457.480000 7.455803e-17 5.470118e-17
3460.480000 9.465415e-17 5.830553e-17
3463.480000 1.543305e-16 5.515683e-17
3466.480000 6.064590e-17 5.081654e-17
3469.480000 1.202528e-16 5.549136e-17
3472.480000 1.269797e-16 5.750112e-17
3475.480000 1.395713e-16 5.280486e-17
3478.480000 6.900795e-17 4.954604e-17
3481.480000 1.037832e-16 5.554173e-17
3484.480000 8.626684e-17 5.721955e-17
3487.480000 1.209565e-16 5.125578e-17
3490.480000 2.084922e-16 4.999673e-17
3493.480000 1.114718e-16 5.518633e-17
3496.480000 6.586329e-17 5.511088e-17
3499.480000 2.003777e-18 4.873460e-17
3502.480000 7.922409e-17 4.892694e-17
3505.480000 1.405061e-16 5.530969e-17
3508.480000 1.418643e-16 5.475988e-17
3511.480000 1.941004e-16 4.823724e-17
3514.480000 1.540752e-16 4.918319e-17
3517.480000 1.035614e-16 5.375662e-17
3520.480000 7.574655e-17 5.268810e-17
3523.480000 8.436672e-17 4.705885e-17
3526.480000 3.267469e-17 4.855504e-17
3529.480000 1.935675e-17 5.199666e-17
3532.480000 9.602601e-17 4.982124e-17
