# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2023gbt
# CHANNEL = B+R
# EXPNUM = 23_114_042_003
# MJD-OBS = 60058.470584
# DATE-OBS = 2023-04-24T11:17:40
# EXPTIME = 1800.0s
# AIRMASS = 1.27
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 13:35:54.15
# DEC = 54:15:48.21
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 8.239258e-17 4.301249e-17
3403.480000 9.366994e-17 4.466017e-17
3406.480000 1.480337e-16 4.063059e-17
3409.480000 1.068751e-16 3.865406e-17
3412.480000 9.762160e-17 4.290376e-17
3415.480000 8.000216e-17 4.313421e-17
3418.480000 1.014175e-16 3.874004e-17
3421.480000 1.461229e-16 3.792921e-17
3424.480000 8.751380e-17 4.264268e-17
3427.480000 6.541869e-17 4.258259e-17
3430.480000 6.858195e-17 3.716953e-17
3433.480000 2.635719e-17 3.688909e-17
3436.480000 2.311376e-17 4.087294e-17
3439.480000 1.032117e-16 4.118274e-17
3442.480000 1.072157e-16 3.609713e-17
3445.480000 1.075012e-16 3.675432e-17
3448.480000 1.666980e-16 4.062669e-17
3451.480000 1.115547e-16 3.862401e-17
3454.480000 1.016828e-16 3.527144e-17
3457.480000 9.124835e-17 3.741376e-17
3460.480000 6.138353e-17 3.975885e-17
3463.480000 1.045897e-16 3.731321e-17
3466.480000 1.300609e-16 3.438806e-17
3469.480000 1.064271e-16 3.685849e-17
3472.480000 1.053005e-16 3.856376e-17
3475.480000 1.000699e-16 3.515439e-17
3478.480000 1.533723e-16 3.386816e-17
3481.480000 1.900728e-16 3.819642e-17
3484.480000 1.893722e-16 3.961857e-17
3487.480000 1.385945e-16 3.528559e-17
3490.480000 1.724754e-16 3.413609e-17
3493.480000 1.772859e-16 3.862071e-17
3496.480000 1.293031e-16 3.797001e-17
3499.480000 1.600509e-16 3.392146e-17
3502.480000 1.834045e-16 3.385786e-17
3505.480000 1.954291e-16 3.788536e-17
3508.480000 1.324686e-16 3.757092e-17
3511.480000 1.407239e-16 3.356667e-17
3514.480000 1.668217e-16 3.430569e-17
3517.480000 1.641049e-16 3.741617e-17
3520.480000 9.473395e-17 3.558400e-17
3523.480000 1.247955e-16 3.173057e-17
3526.480000 1.350387e-16 3.333886e-17
3529.480000 1.222374e-16 3.511334e-17
3532.480000 1.305893e-16 3.330862e-17
3535.480000 1.075489e-16 3.048107e-17
3538.480000 1.047780e-16 3.251399e-17
3541.480000 1.679656e-16 3.530059e-17
3544.480000 1.393419e-16 3.311862e-17
3547.480000 1.624414e-16 3.237997e-17
3550.480000 1.861536e-16 3.703272e-17
3553.480000 1.863068e-16 3.634882e-17
3556.480000 1.729924e-16 3.271358e-17
3559.480000 1.262545e-16 3.127834e-17
3562.480000 1.663776e-16 3.634793e-17
3565.480000 1.819707e-16 3.703585e-17
3568.480000 1.237466e-16 3.158444e-17
3571.480000 1.022603e-16 3.079183e-17
3574.480000 1.194428e-16 3.495542e-17
3577.480000 1.235084e-16 3.447067e-17
3580.480000 1.474828e-16 3.052665e-17
3583.480000 1.416134e-16 3.127867e-17
3586.480000 1.101807e-16 3.331889e-17
3589.480000 1.755216e-16 3.342042e-17
3592.480000 1.731383e-16 3.069550e-17
3595.480000 1.540694e-16 3.097827e-17
3598.480000 1.330574e-16 3.292113e-17
3601.480000 1.355094e-16 3.047805e-17
3604.480000 1.813470e-16 2.799560e-17
3607.480000 1.838237e-16 2.998073e-17
3610.480000 1.524708e-16 3.129958e-17
3613.480000 1.440508e-16 2.894634e-17
3616.480000 1.617522e-16 2.713220e-17
3619.480000 1.554979e-16 3.015944e-17
3622.480000 1.667870e-16 3.139888e-17
3625.480000 2.252998e-16 3.009837e-17
3628.480000 2.266701e-16 2.799419e-17
3631.480000 2.258511e-16 3.149144e-17
3634.480000 1.907714e-16 3.484925e-17
3637.480000 2.163392e-16 3.166755e-17
3640.480000 2.123085e-16 2.831971e-17
3643.480000 1.914721e-16 3.125369e-17
3646.480000 1.639482e-16 3.094062e-17
3649.480000 1.879937e-16 2.714126e-17
3652.480000 1.900642e-16 2.720631e-17
3655.480000 1.886752e-16 3.053845e-17
3658.480000 2.016169e-16 3.114560e-17
3661.480000 1.961436e-16 2.624963e-17
3664.480000 1.736229e-16 2.673260e-17
3667.480000 1.956262e-16 2.911713e-17
3670.480000 1.798917e-16 2.715525e-17
