# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = AT2023jda
# CHANNEL = B+R
# EXPNUM = 23_143_061_003
# MJD-OBS = 60087.571939
# DATE-OBS = 2023-05-23T13:43:37
# EXPTIME = 1800.0s
# AIRMASS = 1.10
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 19:47:23.38
# DEC = 43:51:54.16
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 4.191335e-17 5.497688e-17
3403.480000 9.671202e-17 5.875625e-17
3406.480000 3.813018e-17 5.161572e-17
3409.480000 5.823657e-17 4.935174e-17
3412.480000 7.652298e-17 5.490961e-17
3415.480000 1.419993e-16 5.839983e-17
3418.480000 1.714083e-16 4.968805e-17
3421.480000 8.166606e-17 4.765498e-17
3424.480000 1.025873e-16 5.368859e-17
3427.480000 8.829140e-17 5.483231e-17
3430.480000 1.387824e-16 4.665436e-17
3433.480000 1.423202e-16 4.662594e-17
3436.480000 1.136666e-16 5.207911e-17
3439.480000 1.040110e-16 5.151233e-17
3442.480000 1.398931e-16 4.561742e-17
3445.480000 9.827526e-17 4.713803e-17
3448.480000 6.310575e-17 5.043667e-17
3451.480000 1.772708e-16 4.928378e-17
3454.480000 1.848044e-16 4.496817e-17
3457.480000 9.609795e-17 4.631261e-17
3460.480000 8.235508e-17 5.004314e-17
3463.480000 1.220676e-16 4.644926e-17
3466.480000 1.493686e-16 4.240701e-17
3469.480000 1.511424e-16 4.617387e-17
3472.480000 1.835269e-16 4.840166e-17
3475.480000 1.578481e-16 4.386021e-17
3478.480000 1.639254e-16 4.144329e-17
3481.480000 1.282660e-16 4.562502e-17
3484.480000 1.410772e-16 4.734642e-17
3487.480000 1.349736e-16 4.284681e-17
3490.480000 9.110863e-17 4.159937e-17
3493.480000 1.373711e-16 4.629898e-17
3496.480000 1.563740e-16 4.627894e-17
3499.480000 1.135632e-16 4.123014e-17
3502.480000 1.031471e-16 4.084295e-17
3505.480000 1.328783e-16 4.714488e-17
3508.480000 1.074559e-16 4.466543e-17
3511.480000 1.793370e-16 3.980346e-17
3514.480000 2.198617e-16 4.068940e-17
3517.480000 1.277147e-16 4.366594e-17
3520.480000 2.116448e-16 4.281304e-17
3523.480000 1.586975e-16 3.858503e-17
3526.480000 1.575110e-16 3.987932e-17
3529.480000 2.046222e-16 4.373235e-17
3532.480000 1.769475e-16 4.105978e-17
3535.480000 1.870678e-16 3.785948e-17
3538.480000 2.203609e-16 4.111488e-17
3541.480000 1.281123e-16 4.285429e-17
3544.480000 1.453557e-16 4.097344e-17
3547.480000 1.131347e-16 3.816487e-17
3550.480000 1.013095e-16 4.194726e-17
3553.480000 1.682884e-16 4.355238e-17
3556.480000 1.274076e-16 3.898037e-17
3559.480000 1.342697e-16 3.696313e-17
3562.480000 1.705878e-16 4.151912e-17
3565.480000 9.474933e-17 4.182817e-17
3568.480000 1.565228e-16 3.708736e-17
3571.480000 1.516766e-16 3.623027e-17
3574.480000 1.771533e-16 4.077646e-17
3577.480000 1.231132e-16 3.981045e-17
3580.480000 1.233500e-16 3.478570e-17
3583.480000 1.581361e-16 3.544753e-17
3586.480000 1.553688e-16 3.933349e-17
3589.480000 2.006079e-16 3.897540e-17
3592.480000 2.028903e-16 3.502756e-17
3595.480000 2.103307e-16 3.649358e-17
3598.480000 2.155740e-16 3.968647e-17
3601.480000 1.158834e-16 3.696060e-17
3604.480000 1.493111e-16 3.425397e-17
3607.480000 1.859800e-16 3.705307e-17
3610.480000 1.580018e-16 3.931353e-17
3613.480000 1.347703e-16 3.594746e-17
3616.480000 1.791455e-16 3.382180e-17
3619.480000 1.535468e-16 3.723953e-17
3622.480000 1.697179e-16 3.850148e-17
3625.480000 2.018294e-16 3.487284e-17
3628.480000 1.869382e-16 3.330850e-17
3631.480000 1.747918e-16 3.676459e-17
3634.480000 1.372544e-16 3.697878e-17
3637.480000 1.460694e-16 3.276566e-17
3640.480000 1.437551e-16 3.209887e-17
3643.480000 1.484775e-16 3.635060e-17
3646.480000 1.273960e-16 3.603924e-17
3649.480000 1.388478e-16 3.128669e-17
3652.480000 1.470002e-16 3.146668e-17
3655.480000 1.608128e-16 3.561219e-17
3658.480000 1.425056e-16 3.469725e-17
3661.480000 1.663949e-16 3.103131e-17
3664.480000 1.410601e-16 3.205529e-17
3667.480000 1.407306e-16 3.402067e-17
3670.480000 9.600762e-17 3.217884e-17
3673.480000 1.067711e-16 3.050904e-17
3676.480000 1.377891e-16 3.371038e-17
3679.480000 1.805208e-16 3.370934e-17
3682.480000 1.679093e-16 3.117234e-17
3685.480000 1.470203e-16 2.877614e-17
3688.480000 1.428640e-16 3.109003e-17
3691.480000 1.261918e-16 3.204182e-17
3694.480000 9.629593e-17 2.905657e-17
3697.480000 1.148548e-16 2.799553e-17
3700.480000 1.572473e-16 3.144283e-17
3703.480000 1.326426e-16 3.180899e-17
3706.480000 1.483306e-16 2.846632e-17
3709.480000 1.245173e-16 2.737740e-17
3712.480000 1.420358e-16 3.072688e-17
3715.480000 1.373155e-16 3.072984e-17
3718.480000 1.606308e-16 2.689239e-17
3721.480000 1.259449e-16 2.661230e-17
3724.480000 1.310763e-16 2.988393e-17
3727.480000 1.507680e-16 2.998101e-17
3730.480000 1.439136e-16 2.694479e-17
3733.480000 1.598587e-16 2.788563e-17
3736.480000 1.538065e-16 3.017678e-17
3739.480000 1.555867e-16 2.890703e-17
3742.480000 1.493241e-16 2.646169e-17
3745.480000 1.287495e-16 2.800352e-17
3748.480000 1.264771e-16 2.965145e-17
3751.480000 1.469119e-16 2.765760e-17
3754.480000 1.737564e-16 2.584850e-17
3757.480000 1.574875e-16 2.797008e-17
3760.480000 1.060242e-16 2.912101e-17
3763.480000 1.234447e-16 2.677589e-17
3766.480000 1.356858e-16 2.574284e-17
3769.480000 1.074612e-16 2.829601e-17
3772.480000 1.973032e-16 2.965142e-17
3775.480000 1.594803e-16 2.660518e-17
3778.480000 1.566995e-16 2.596731e-17
3781.480000 2.068707e-16 2.969887e-17
3784.480000 2.081360e-16 2.961167e-17
3787.480000 1.482950e-16 2.555915e-17
3790.480000 1.338096e-16 2.547293e-17
3793.480000 1.660066e-16 2.863563e-17
3796.480000 1.830369e-16 2.835759e-17
3799.480000 1.938293e-16 2.507989e-17
3802.480000 1.838131e-16 2.550120e-17
3805.480000 1.996386e-16 2.803692e-17
3808.480000 2.251544e-16 2.713762e-17
3811.480000 1.822357e-16 2.441454e-17
3814.480000 1.237895e-16 2.546706e-17
3817.480000 1.576063e-16 2.736465e-17
3820.480000 1.945715e-16 2.598649e-17
3823.480000 1.398795e-16 2.381287e-17
3826.480000 1.358844e-16 2.556306e-17
3829.480000 1.585777e-16 2.771681e-17
3832.480000 1.603730e-16 2.479032e-17
3835.480000 1.476563e-16 2.331679e-17
3838.480000 1.432737e-16 2.552171e-17
3841.480000 1.125164e-16 2.608876e-17
3844.480000 1.267551e-16 2.378135e-17
