# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = AT2023ke
# CHANNEL = B+R
# EXPNUM = 23_018_044_002
# MJD-OBS = 59962.557917
# DATE-OBS = 2023-01-18T13:23:25
# EXPTIME = 1800.0s
# AIRMASS = 1.16
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 12:58:18.00
# DEC = 29:07:44.00
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 5.872631e-16 5.609115e-17
3405.860000 6.673711e-16 5.876475e-17
3408.860000 7.349788e-16 5.405867e-17
3411.860000 6.209106e-16 5.055372e-17
3414.860000 6.203487e-16 5.564766e-17
3417.860000 5.034841e-16 5.592598e-17
3420.860000 6.431952e-16 5.141318e-17
3423.860000 7.778573e-16 5.061468e-17
3426.860000 6.785954e-16 5.629745e-17
3429.860000 6.524751e-16 5.613236e-17
3432.860000 7.121380e-16 4.923141e-17
3435.860000 7.477631e-16 4.923152e-17
3438.860000 7.866436e-16 5.515920e-17
3441.860000 7.088826e-16 5.350838e-17
3444.860000 7.151606e-16 4.728040e-17
3447.860000 7.243232e-16 4.844717e-17
3450.860000 6.968122e-16 5.272545e-17
3453.860000 6.737659e-16 5.027220e-17
3456.860000 7.466297e-16 4.579222e-17
3459.860000 7.554070e-16 4.857693e-17
3462.860000 7.131371e-16 5.219991e-17
3465.860000 6.450617e-16 4.839354e-17
3468.860000 7.442431e-16 4.518988e-17
3471.860000 7.749948e-16 4.894357e-17
3474.860000 7.190646e-16 5.084225e-17
3477.860000 6.836291e-16 4.650980e-17
3480.860000 7.133728e-16 4.425369e-17
3483.860000 7.650655e-16 4.930964e-17
3486.860000 7.544095e-16 5.039912e-17
3489.860000 7.723581e-16 4.552250e-17
3492.860000 8.699039e-16 4.451640e-17
3495.860000 8.464728e-16 5.011690e-17
3498.860000 8.789984e-16 5.048160e-17
3501.860000 8.879200e-16 4.446131e-17
3504.860000 8.822061e-16 4.459114e-17
3507.860000 8.206069e-16 4.999428e-17
3510.860000 8.932645e-16 4.940023e-17
3513.860000 8.231485e-16 4.356738e-17
3516.860000 8.905445e-16 4.466734e-17
3519.860000 8.880031e-16 4.876669e-17
3522.860000 8.786909e-16 4.762157e-17
3525.860000 9.188314e-16 4.266980e-17
3528.860000 8.699711e-16 4.415645e-17
3531.860000 8.525721e-16 4.700924e-17
3534.860000 8.886888e-16 4.457027e-17
3537.860000 8.944100e-16 4.141637e-17
3540.860000 8.335020e-16 4.436032e-17
3543.860000 8.854209e-16 4.709164e-17
3546.860000 8.485765e-16 4.392155e-17
3549.860000 8.142592e-16 4.158976e-17
3552.860000 8.162881e-16 4.467577e-17
3555.860000 8.423639e-16 4.609980e-17
3558.860000 8.518336e-16 4.193023e-17
3561.860000 8.274699e-16 4.060715e-17
3564.860000 8.461494e-16 4.563433e-17
3567.860000 9.309741e-16 4.686579e-17
3570.860000 1.015211e-15 4.234573e-17
3573.860000 9.597190e-16 4.164350e-17
3576.860000 9.624481e-16 4.721192e-17
3579.860000 1.022540e-15 4.682230e-17
3582.860000 1.067304e-15 4.136185e-17
3585.860000 1.072972e-15 4.178167e-17
3588.860000 9.988647e-16 4.547744e-17
3591.860000 1.067335e-15 4.428918e-17
3594.860000 1.069957e-15 3.982229e-17
3597.860000 1.098621e-15 4.208847e-17
3600.860000 1.189681e-15 4.591424e-17
3603.860000 1.205499e-15 4.364517e-17
3606.860000 1.206696e-15 3.942171e-17
3609.860000 1.218888e-15 4.169221e-17
3612.860000 1.197154e-15 4.426143e-17
3615.860000 1.239911e-15 4.146766e-17
3618.860000 1.263694e-15 3.905815e-17
3621.860000 1.334281e-15 4.303983e-17
3624.860000 1.331463e-15 4.462231e-17
3627.860000 1.279118e-15 4.045955e-17
3630.860000 1.327141e-15 3.888551e-17
3633.860000 1.343972e-15 4.350983e-17
3636.860000 1.391419e-15 4.442566e-17
3639.860000 1.376112e-15 3.962435e-17
3642.860000 1.345647e-15 3.890204e-17
3645.860000 1.343577e-15 4.425804e-17
3648.860000 1.381845e-15 4.476518e-17
3651.860000 1.313756e-15 3.915766e-17
3654.860000 1.333734e-15 4.015925e-17
3657.860000 1.364308e-15 4.455980e-17
3660.860000 1.391814e-15 4.255380e-17
3663.860000 1.418521e-15 3.750892e-17
3666.860000 1.442269e-15 3.875034e-17
3669.860000 1.458813e-15 4.218598e-17
3672.860000 1.467103e-15 4.008811e-17
3675.860000 1.473330e-15 3.638241e-17
3678.860000 1.483152e-15 3.871217e-17
3681.860000 1.444563e-15 4.069565e-17
3684.860000 1.399220e-15 3.767932e-17
3687.860000 1.417316e-15 3.523718e-17
3690.860000 1.429033e-15 3.844441e-17
3693.860000 1.464497e-15 4.009178e-17
3696.860000 1.527240e-15 3.685959e-17
3699.860000 1.461184e-15 3.487427e-17
3702.860000 1.428807e-15 3.891037e-17
3705.860000 1.421399e-15 3.964521e-17
3708.860000 1.417643e-15 3.529272e-17
3711.860000 1.491363e-15 3.516429e-17
3714.860000 1.500334e-15 4.007131e-17
3717.860000 1.414071e-15 3.965391e-17
3720.860000 1.469892e-15 3.492495e-17
3723.860000 1.515785e-15 3.551070e-17
3726.860000 1.467295e-15 3.951406e-17
3729.860000 1.457292e-15 3.876461e-17
3732.860000 1.502224e-15 3.482983e-17
3735.860000 1.542712e-15 3.636959e-17
3738.860000 1.551813e-15 3.986038e-17
3741.860000 1.673382e-15 3.895393e-17
3744.860000 1.783739e-15 3.611583e-17
3747.860000 1.817458e-15 3.860844e-17
3750.860000 1.827283e-15 4.118417e-17
3753.860000 1.891063e-15 3.914428e-17
3756.860000 1.957945e-15 3.661493e-17
3759.860000 1.971892e-15 4.002576e-17
3762.860000 2.050498e-15 4.217655e-17
3765.860000 2.068988e-15 3.880086e-17
3768.860000 2.006925e-15 3.649952e-17
3771.860000 2.091792e-15 4.107459e-17
3774.860000 2.229682e-15 4.266561e-17
3777.860000 2.200554e-15 3.823676e-17
3780.860000 2.129826e-15 3.679062e-17
3783.860000 2.046384e-15 4.125750e-17
3786.860000 2.016881e-15 4.139901e-17
