# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 23kmj
# CHANNEL = B+R
# EXPNUM = 23_167_099_003
# MJD-OBS = 60111.468015
# DATE-OBS = 2023-06-16T11:13:58
# EXPTIME = 1800.0s
# AIRMASS = 1.63
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 15:00:27.64
# DEC = 06:27:16.40
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 2.063251e-16 4.720753e-17
3403.480000 1.776380e-16 4.972778e-17
3406.480000 1.958069e-16 4.507883e-17
3409.480000 2.495932e-16 4.230442e-17
3412.480000 1.914968e-16 4.720846e-17
3415.480000 2.855001e-16 4.862857e-17
3418.480000 3.693424e-16 4.367076e-17
3421.480000 4.218819e-16 4.340023e-17
3424.480000 4.199243e-16 4.916287e-17
3427.480000 4.134071e-16 4.909365e-17
3430.480000 3.534422e-16 4.283828e-17
3433.480000 2.986235e-16 4.259504e-17
3436.480000 3.294238e-16 4.771855e-17
3439.480000 2.708194e-16 4.556878e-17
3442.480000 3.538539e-16 4.096452e-17
3445.480000 3.383384e-16 4.149442e-17
3448.480000 3.707781e-16 4.557410e-17
3451.480000 3.374397e-16 4.388232e-17
3454.480000 2.953363e-16 3.938641e-17
3457.480000 3.336741e-16 4.199776e-17
3460.480000 3.237125e-16 4.501583e-17
3463.480000 3.313266e-16 4.271859e-17
3466.480000 2.825498e-16 3.895136e-17
3469.480000 3.410966e-16 4.251285e-17
3472.480000 3.254070e-16 4.420907e-17
3475.480000 3.844463e-16 4.116650e-17
3478.480000 3.447663e-16 3.850113e-17
3481.480000 2.533832e-16 4.228983e-17
3484.480000 2.606467e-16 4.349842e-17
3487.480000 3.009492e-16 3.950919e-17
3490.480000 3.203906e-16 3.843387e-17
3493.480000 3.030672e-16 4.275911e-17
3496.480000 2.923978e-16 4.306893e-17
3499.480000 2.901334e-16 3.787927e-17
3502.480000 4.051671e-16 3.823404e-17
3505.480000 4.229322e-16 4.334613e-17
3508.480000 3.690768e-16 4.236809e-17
3511.480000 3.417140e-16 3.728506e-17
3514.480000 4.163916e-16 3.861057e-17
3517.480000 4.287486e-16 4.229392e-17
3520.480000 4.127592e-16 4.085761e-17
3523.480000 4.160150e-16 3.692013e-17
3526.480000 4.145819e-16 3.863909e-17
3529.480000 3.839587e-16 4.069356e-17
3532.480000 4.316398e-16 3.867753e-17
3535.480000 4.301382e-16 3.555484e-17
3538.480000 4.359224e-16 3.820816e-17
3541.480000 3.847058e-16 4.006357e-17
3544.480000 3.662462e-16 3.709574e-17
3547.480000 3.541618e-16 3.517682e-17
3550.480000 3.883075e-16 3.899314e-17
3553.480000 3.039317e-16 3.974843e-17
3556.480000 3.031735e-16 3.622311e-17
3559.480000 3.787141e-16 3.534608e-17
3562.480000 3.886433e-16 3.964278e-17
3565.480000 4.011047e-16 4.036446e-17
3568.480000 3.856387e-16 3.564729e-17
3571.480000 3.921491e-16 3.522243e-17
3574.480000 3.991724e-16 3.997069e-17
3577.480000 3.469377e-16 3.916218e-17
3580.480000 3.148573e-16 3.425198e-17
3583.480000 3.362184e-16 3.470456e-17
3586.480000 4.223004e-16 3.912627e-17
3589.480000 3.697252e-16 3.752110e-17
3592.480000 3.427190e-16 3.323513e-17
3595.480000 3.872811e-16 3.578093e-17
3598.480000 4.014000e-16 3.845867e-17
3601.480000 4.174240e-16 3.590833e-17
3604.480000 3.924820e-16 3.283515e-17
3607.480000 3.627116e-16 3.456107e-17
3610.480000 3.780976e-16 3.630535e-17
3613.480000 3.559278e-16 3.419137e-17
3616.480000 3.823614e-16 3.120533e-17
3619.480000 3.562916e-16 3.388731e-17
3622.480000 3.590321e-16 3.524384e-17
3625.480000 3.687476e-16 3.229801e-17
3628.480000 3.892098e-16 3.132720e-17
3631.480000 3.862774e-16 3.479871e-17
3634.480000 4.395291e-16 3.525903e-17
3637.480000 4.095810e-16 3.165176e-17
