# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = PS23egq
# CHANNEL = B+R
# EXPNUM = 23_183_023_003
# MJD-OBS = 60127.525770
# DATE-OBS = 2023-07-02T12:37:08
# EXPTIME = 2000.0s
# AIRMASS = 1.11
# FLUXCAL_RMS_B = 0.069 mag
# FLUXCAL_RMS_R = 0.073 mag
# RA = 20:02:46.70
# DEC = -02:34:30.29
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 -1.004537e-16 6.130062e-17
3403.480000 1.294073e-17 6.328898e-17
3406.480000 1.094211e-16 5.768130e-17
3409.480000 2.021232e-17 5.291773e-17
3412.480000 4.543844e-18 5.844798e-17
3415.480000 -8.248489e-17 5.859884e-17
3418.480000 -6.174061e-17 5.319628e-17
3421.480000 3.193042e-17 5.308465e-17
3424.480000 2.706829e-17 5.963309e-17
3427.480000 3.215564e-18 6.010994e-17
3430.480000 -1.153113e-17 5.251140e-17
3433.480000 7.660448e-17 5.204824e-17
3436.480000 1.270833e-16 5.812417e-17
3439.480000 1.403246e-17 5.460532e-17
3442.480000 -4.920107e-17 4.587382e-17
3445.480000 -1.307219e-16 4.699116e-17
3448.480000 -6.850525e-17 5.520639e-17
3451.480000 5.318702e-17 5.427155e-17
3454.480000 6.351969e-17 4.823132e-17
3457.480000 -6.871789e-18 4.883380e-17
3460.480000 -1.076269e-16 5.029777e-17
3463.480000 -3.533184e-17 4.838245e-17
3466.480000 -2.242340e-17 4.585222e-17
3469.480000 5.729719e-17 5.060726e-17
3472.480000 5.541266e-17 5.316184e-17
3475.480000 7.894181e-17 4.702461e-17
3478.480000 -5.982375e-17 4.347654e-17
3481.480000 -6.945880e-17 4.857079e-17
3484.480000 3.910899e-17 5.042876e-17
3487.480000 5.714564e-17 4.537537e-17
3490.480000 5.524445e-17 4.291405e-17
3493.480000 6.152174e-18 4.756192e-17
3496.480000 7.387459e-17 4.851131e-17
3499.480000 1.062090e-16 4.403441e-17
3502.480000 1.461947e-16 4.507747e-17
3505.480000 1.100334e-16 5.086058e-17
3508.480000 3.063481e-17 4.926337e-17
3511.480000 8.682856e-17 4.314593e-17
3514.480000 2.369824e-17 4.334526e-17
3517.480000 1.987935e-17 4.862690e-17
3520.480000 6.112580e-17 4.680248e-17
3523.480000 4.703719e-17 4.078154e-17
3526.480000 6.776478e-17 4.270393e-17
3529.480000 6.931586e-17 4.682414e-17
3532.480000 2.661145e-17 4.481064e-17
3535.480000 -1.470466e-17 4.063140e-17
3538.480000 4.651100e-17 4.472111e-17
3541.480000 3.354859e-17 4.676735e-17
3544.480000 1.405742e-17 4.353076e-17
3547.480000 3.590437e-17 4.103546e-17
3550.480000 4.464416e-17 4.496551e-17
3553.480000 3.464785e-17 4.601708e-17
3556.480000 6.856035e-17 4.154113e-17
3559.480000 4.006121e-17 3.972814e-17
3562.480000 6.366454e-17 4.478875e-17
3565.480000 1.046143e-16 4.460821e-17
3568.480000 6.854539e-17 3.797555e-17
3571.480000 -1.005415e-17 3.700114e-17
3574.480000 -7.283564e-18 4.230506e-17
3577.480000 1.289447e-16 4.317730e-17
3580.480000 1.649138e-16 3.718884e-17
3583.480000 1.543224e-16 3.645065e-17
3586.480000 7.180744e-17 3.981199e-17
3589.480000 -3.729372e-17 3.903884e-17
3592.480000 9.122514e-19 3.685855e-17
3595.480000 5.531616e-17 4.010542e-17
3598.480000 6.551862e-17 4.398066e-17
3601.480000 1.408098e-16 4.168839e-17
3604.480000 1.213609e-16 3.683303e-17
3607.480000 5.112135e-17 3.767860e-17
3610.480000 2.623719e-17 3.920023e-17
3613.480000 1.056851e-16 3.746088e-17
3616.480000 1.875669e-16 3.588631e-17
3619.480000 1.013329e-16 3.780917e-17
3622.480000 6.106716e-17 3.958526e-17
3625.480000 1.076103e-16 3.753701e-17
3628.480000 1.666555e-16 3.689399e-17
3631.480000 1.670244e-16 4.016760e-17
3634.480000 3.761285e-17 3.948007e-17
3637.480000 2.793331e-17 3.576742e-17
3640.480000 5.947237e-17 3.603178e-17
3643.480000 1.102340e-16 4.096553e-17
3646.480000 1.050688e-16 3.991160e-17
3649.480000 6.700602e-17 3.467258e-17
3652.480000 1.085088e-16 3.644892e-17
3655.480000 8.710044e-17 4.140860e-17
3658.480000 2.787783e-17 4.061607e-17
3661.480000 3.963710e-17 3.616512e-17
3664.480000 1.179272e-16 3.777471e-17
3667.480000 1.443902e-16 4.080806e-17
3670.480000 9.787671e-17 3.836873e-17
3673.480000 1.350207e-16 3.495266e-17
3676.480000 1.088787e-16 3.671209e-17
3679.480000 1.061680e-16 3.834141e-17
3682.480000 8.154997e-17 3.527877e-17
3685.480000 9.823172e-17 3.274689e-17
3688.480000 1.265699e-16 3.599136e-17
3691.480000 6.636967e-17 3.767644e-17
3694.480000 6.962109e-17 3.501253e-17
3697.480000 7.287536e-17 3.376195e-17
3700.480000 1.632211e-16 3.826038e-17
3703.480000 2.091666e-16 3.864424e-17
3706.480000 8.577247e-17 3.259904e-17
3709.480000 5.221759e-17 3.196575e-17
3712.480000 1.221664e-16 3.842969e-17
3715.480000 2.082827e-16 3.940756e-17
3718.480000 2.408645e-16 3.359369e-17
3721.480000 2.051289e-16 3.189120e-17
3724.480000 1.305677e-16 3.552296e-17
3727.480000 1.796713e-16 3.637487e-17
3730.480000 2.023023e-16 3.229705e-17
3733.480000 1.821415e-16 3.197564e-17
3736.480000 1.087551e-16 3.347056e-17
3739.480000 9.619654e-17 3.309377e-17
3742.480000 1.524235e-16 3.114004e-17
3745.480000 2.145121e-16 3.267053e-17
3748.480000 1.698127e-16 3.363256e-17
3751.480000 3.172809e-17 3.189491e-17
3754.480000 7.410266e-17 3.148371e-17
3757.480000 1.441118e-16 3.450703e-17
3760.480000 1.271184e-16 3.515930e-17
3763.480000 1.436811e-16 3.221761e-17
3766.480000 1.407730e-16 3.072217e-17
3769.480000 9.618439e-17 3.408300e-17
3772.480000 1.016282e-16 3.580741e-17
3775.480000 1.308268e-16 3.327061e-17
3778.480000 1.609847e-16 3.302888e-17
3781.480000 1.782758e-16 3.803114e-17
3784.480000 2.246507e-16 3.831438e-17
3787.480000 2.443649e-16 3.257194e-17
3790.480000 2.191377e-16 3.150372e-17
3793.480000 1.841505e-16 3.445919e-17
3796.480000 1.764378e-16 3.336783e-17
3799.480000 1.483196e-16 2.922072e-17
3802.480000 1.149607e-16 3.103350e-17
3805.480000 1.460124e-16 3.530660e-17
3808.480000 1.968450e-16 3.395621e-17
3811.480000 2.058393e-16 3.028948e-17
3814.480000 2.196135e-16 3.089233e-17
3817.480000 1.770680e-16 3.162696e-17
3820.480000 2.201641e-16 2.948619e-17
3823.480000 2.353338e-16 2.666997e-17
3826.480000 2.385357e-16 2.810999e-17
3829.480000 2.100408e-16 2.904622e-17
3832.480000 1.707741e-16 2.641658e-17
3835.480000 1.378841e-16 2.458039e-17
3838.480000 1.199081e-16 2.704590e-17
3841.480000 1.154690e-16 2.850565e-17
3844.480000 8.027044e-17 2.678276e-17
3847.480000 1.205372e-16 2.694674e-17
3850.480000 1.040064e-16 3.015349e-17
3853.480000 1.248261e-16 3.009997e-17
3856.480000 1.726027e-16 2.636461e-17
3859.480000 1.245717e-16 2.541878e-17
3862.480000 7.392251e-17 2.885161e-17
3865.480000 9.576039e-17 2.945230e-17
3868.480000 1.202645e-16 2.584472e-17
3871.480000 1.474266e-16 2.602509e-17
3874.480000 1.453424e-16 2.902407e-17
3877.480000 1.426368e-16 2.832946e-17
3880.480000 1.335127e-16 2.523040e-17
3883.480000 1.039010e-16 2.612197e-17
3886.480000 8.351033e-17 2.807079e-17
3889.480000 7.351467e-17 2.701185e-17
3892.480000 8.701530e-17 2.594148e-17
3895.480000 1.318856e-16 2.905540e-17
3898.480000 9.341547e-17 3.070070e-17
3901.480000 1.154402e-16 2.838330e-17
3904.480000 8.539914e-17 2.625243e-17
3907.480000 8.411259e-17 2.916774e-17
3910.480000 6.797169e-17 3.081193e-17
3913.480000 8.860420e-17 2.832546e-17
3916.480000 9.221674e-17 2.699012e-17
3919.480000 1.295944e-16 2.955430e-17
3922.480000 1.437883e-16 2.904585e-17
3925.480000 1.525217e-16 2.507894e-17
3928.480000 1.482512e-16 2.320096e-17
3931.480000 1.333429e-16 2.402285e-17
3934.480000 3.825208e-17 2.232318e-17
3937.480000 1.751086e-17 2.031099e-17
3940.480000 3.574139e-17 2.278279e-17
3943.480000 4.786795e-17 2.687479e-17
3946.480000 3.555117e-17 2.691350e-17
3949.480000 8.541763e-17 2.510707e-17
3952.480000 1.392441e-16 2.705137e-17
3955.480000 1.156743e-16 2.935686e-17
3958.480000 9.292676e-17 2.730923e-17
3961.480000 1.395602e-16 2.404668e-17
3964.480000 1.729923e-16 2.408047e-17
3967.480000 1.367330e-16 2.368167e-17
3970.480000 5.619268e-17 2.126126e-17
3973.480000 7.978940e-18 2.126349e-17
3976.480000 -1.807224e-17 2.549169e-17
3979.480000 6.195123e-18 2.797514e-17
3982.480000 1.067692e-16 2.679109e-17
3985.480000 9.935604e-17 2.601378e-17
3988.480000 8.922284e-17 2.956952e-17
3991.480000 1.040716e-16 3.037247e-17
3994.480000 1.006455e-16 2.726411e-17
3997.480000 8.986884e-17 2.682794e-17
4000.480000 9.655261e-17 3.081720e-17
4003.480000 1.289569e-16 3.136171e-17
4006.480000 1.110545e-16 2.760854e-17
4009.480000 6.224441e-17 2.823415e-17
4012.480000 4.519384e-17 3.201956e-17
4015.480000 4.152421e-17 3.157200e-17
4018.480000 3.210576e-17 2.821575e-17
4021.480000 3.290703e-17 2.953821e-17
4024.480000 6.096609e-17 3.209527e-17
4027.480000 9.319584e-17 3.048335e-17
4030.480000 1.935151e-16 2.750581e-17
4033.480000 1.821315e-16 2.838776e-17
4036.480000 1.246225e-16 2.985337e-17
4039.480000 2.020403e-16 2.863922e-17
4042.480000 1.904320e-16 2.624952e-17
4045.480000 1.925264e-16 2.780544e-17
4048.480000 1.081019e-16 2.843060e-17
4051.480000 1.803787e-16 2.675921e-17
4054.480000 2.129282e-16 2.572606e-17
4057.480000 2.136669e-16 2.833709e-17
4060.480000 2.186031e-16 2.871064e-17
4063.480000 2.044089e-16 2.542353e-17
4066.480000 1.766402e-16 2.475223e-17
4069.480000 1.809691e-16 2.850146e-17
4072.480000 1.458204e-16 2.844103e-17
4075.480000 1.923630e-16 2.509673e-17
4078.480000 1.970135e-16 2.532903e-17
4081.480000 1.928694e-16 2.863329e-17
4084.480000 1.770653e-16 2.826814e-17
4087.480000 1.676602e-16 2.531912e-17
4090.480000 1.896264e-16 2.659523e-17
4093.480000 1.940706e-16 2.896359e-17
4096.480000 1.919857e-16 2.734224e-17
4099.480000 2.203636e-16 2.440934e-17
4102.480000 2.077557e-16 2.543551e-17
4105.480000 1.795462e-16 2.755707e-17
4108.480000 2.376844e-16 2.714193e-17
4111.480000 2.064550e-16 2.561910e-17
4114.480000 1.721742e-16 2.811994e-17
4117.480000 1.996917e-16 2.993480e-17
4120.480000 1.914213e-16 2.753146e-17
4123.480000 1.999715e-16 2.597359e-17
4126.480000 2.213493e-16 2.885857e-17
4129.480000 1.759664e-16 2.906494e-17
4132.480000 2.120591e-16 2.584489e-17
4135.480000 1.995039e-16 2.518365e-17
4138.480000 2.301230e-16 2.899813e-17
4141.480000 2.224610e-16 2.897669e-17
4144.480000 2.219069e-16 2.503969e-17
4147.480000 2.293203e-16 2.498929e-17
4150.480000 2.145508e-16 2.782360e-17
4153.480000 2.065381e-16 2.727107e-17
4156.480000 1.875284e-16 2.392253e-17
4159.480000 1.439300e-16 2.466773e-17
4162.480000 1.224133e-16 2.725619e-17
4165.480000 1.618965e-16 2.661460e-17
4168.480000 1.818558e-16 2.386166e-17
4171.480000 1.712683e-16 2.468203e-17
4174.480000 1.751602e-16 2.619563e-17
4177.480000 1.946466e-16 2.483912e-17
4180.480000 2.172759e-16 2.323788e-17
4183.480000 2.192326e-16 2.510414e-17
4186.480000 1.706524e-16 2.597423e-17
4189.480000 1.768896e-16 2.408976e-17
4192.480000 1.930970e-16 2.308452e-17
4195.480000 2.225398e-16 2.551550e-17
4198.480000 1.835087e-16 2.571055e-17
4201.480000 1.772433e-16 2.311014e-17
4204.480000 1.588732e-16 2.259737e-17
4207.480000 1.949935e-16 2.623363e-17
4210.480000 2.368165e-16 2.671222e-17
4213.480000 2.095796e-16 2.347487e-17
4216.480000 2.046176e-16 2.326950e-17
4219.480000 1.909972e-16 2.621827e-17
4222.480000 2.735887e-16 2.618298e-17
4225.480000 2.680223e-16 2.247119e-17
4228.480000 2.216578e-16 2.253526e-17
4231.480000 2.122035e-16 2.535763e-17
4234.480000 2.895938e-16 2.521167e-17
4237.480000 2.328957e-16 2.222804e-17
4240.480000 2.149832e-16 2.325405e-17
4243.480000 2.349948e-16 2.554727e-17
4246.480000 2.561247e-16 2.432348e-17
4249.480000 2.394139e-16 2.206232e-17
4252.480000 2.151174e-16 2.352461e-17
4255.480000 2.487547e-16 2.524681e-17
4258.480000 2.417807e-16 2.334034e-17
4261.480000 2.339665e-16 2.176065e-17
4264.480000 1.997641e-16 2.402559e-17
4267.480000 2.336738e-16 2.512684e-17
4270.480000 2.494062e-16 2.244402e-17
4273.480000 1.980039e-16 2.100150e-17
4276.480000 1.666807e-16 2.371608e-17
4279.480000 1.763108e-16 2.449682e-17
4282.480000 2.304698e-16 2.197427e-17
4285.480000 2.533854e-16 2.175676e-17
4288.480000 2.252510e-16 2.410247e-17
4291.480000 1.897760e-16 2.359656e-17
4294.480000 1.841514e-16 2.066118e-17
4297.480000 2.009470e-16 2.072623e-17
4300.480000 1.591974e-16 2.200797e-17
4303.480000 2.040936e-16 2.134871e-17
4306.480000 2.151032e-16 1.909462e-17
4309.480000 2.000857e-16 2.002461e-17
4312.480000 1.619006e-16 2.211906e-17
4315.480000 1.409927e-16 2.217519e-17
4318.480000 1.814510e-16 2.142958e-17
4321.480000 2.278909e-16 2.323791e-17
4324.480000 2.317724e-16 2.389609e-17
4327.480000 1.547825e-16 2.165210e-17
4330.480000 1.428386e-16 2.079916e-17
4333.480000 2.085182e-16 2.356448e-17
4336.480000 2.084981e-16 2.405566e-17
4339.480000 1.946040e-16 2.113692e-17
4342.480000 1.579747e-16 1.992504e-17
4345.480000 1.686072e-16 2.307115e-17
4348.480000 1.880248e-16 2.400145e-17
4351.480000 1.965776e-16 2.138252e-17
4354.480000 2.120015e-16 2.110171e-17
4357.480000 1.742116e-16 2.409951e-17
4360.480000 1.824046e-16 2.431457e-17
4363.480000 1.942339e-16 2.151841e-17
4366.480000 1.952319e-16 2.186600e-17
4369.480000 1.733447e-16 2.411397e-17
4372.480000 1.630643e-16 2.317588e-17
4375.480000 1.613013e-16 2.057845e-17
4378.480000 1.789522e-16 2.151869e-17
4381.480000 1.953900e-16 2.331486e-17
4384.480000 2.182929e-16 2.187736e-17
4387.480000 1.616264e-16 1.966071e-17
4390.480000 1.716678e-16 2.152059e-17
4393.480000 1.598111e-16 2.307273e-17
4396.480000 1.624736e-16 2.183528e-17
4399.480000 1.556730e-16 2.037236e-17
4402.480000 1.788043e-16 2.219413e-17
4405.480000 1.839338e-16 2.303134e-17
4408.480000 1.839261e-16 2.118776e-17
4411.480000 1.782355e-16 2.062614e-17
4414.480000 1.716402e-16 2.319202e-17
4417.480000 1.902231e-16 2.370308e-17
4420.480000 1.658163e-16 2.131093e-17
4423.480000 1.336534e-16 2.079723e-17
4426.480000 1.497096e-16 2.377973e-17
4429.480000 1.744206e-16 2.388503e-17
4432.480000 1.523330e-16 2.078132e-17
4435.480000 1.364451e-16 2.091211e-17
4438.480000 1.288413e-16 2.340789e-17
4441.480000 1.396876e-16 2.310878e-17
4444.480000 1.380553e-16 2.053211e-17
4447.480000 1.292052e-16 2.123539e-17
4450.480000 1.564022e-16 2.332649e-17
4453.480000 1.571061e-16 2.215994e-17
4456.480000 1.326474e-16 1.962473e-17
4459.480000 1.244035e-16 2.071353e-17
4462.480000 1.228743e-16 2.243816e-17
4465.480000 1.300307e-16 2.129962e-17
4468.480000 1.540295e-16 1.998549e-17
4471.480000 1.251662e-16 2.182282e-17
4474.480000 1.216439e-16 2.306758e-17
4477.480000 1.510898e-16 2.140147e-17
4480.480000 1.555186e-16 2.027313e-17
4483.480000 1.286285e-16 2.233701e-17
4486.480000 8.355712e-17 2.273291e-17
4489.480000 8.817083e-17 2.052390e-17
4492.480000 1.074322e-16 2.001305e-17
4495.480000 1.218356e-16 2.287031e-17
4498.480000 1.415767e-16 2.344039e-17
4501.480000 1.521477e-16 2.061769e-17
4504.480000 1.430163e-16 2.081187e-17
4507.480000 1.170799e-16 2.337275e-17
4510.480000 1.117820e-16 2.294448e-17
4513.480000 1.314734e-16 2.030388e-17
4516.480000 1.541258e-16 2.090432e-17
4519.480000 1.485439e-16 2.299361e-17
4522.480000 1.291141e-16 2.200707e-17
4525.480000 1.577094e-16 1.980305e-17
4528.480000 1.750261e-16 2.065956e-17
4531.480000 1.592865e-16 2.190426e-17
4534.480000 1.296146e-16 2.080297e-17
4537.480000 1.037989e-16 1.933920e-17
4540.480000 1.246645e-16 2.125253e-17
4543.480000 1.081193e-16 2.228801e-17
4546.480000 1.014756e-16 2.043972e-17
4549.480000 1.156420e-16 1.932897e-17
4552.480000 1.296150e-16 2.140449e-17
4555.480000 1.664160e-16 2.232606e-17
4558.480000 1.454832e-16 2.025058e-17
4561.480000 1.363014e-16 1.977402e-17
4564.480000 1.318124e-16 2.226148e-17
4567.480000 1.785358e-16 2.267815e-17
4570.480000 1.780522e-16 2.019165e-17
4573.480000 1.669057e-16 2.011585e-17
4576.480000 1.372861e-16 2.249507e-17
4579.480000 1.494138e-16 2.211686e-17
4582.480000 1.577640e-16 1.942496e-17
4585.480000 1.502261e-16 1.984268e-17
4588.480000 1.287810e-16 2.183907e-17
4591.480000 1.786246e-16 2.142918e-17
4594.480000 1.981536e-16 1.931875e-17
4597.480000 1.975087e-16 2.025438e-17
4600.480000 1.827384e-16 2.186818e-17
4603.480000 1.623229e-16 2.078145e-17
4606.480000 1.484366e-16 1.914492e-17
4609.480000 1.798619e-16 2.104857e-17
4612.480000 1.817340e-16 2.222388e-17
4615.480000 1.796986e-16 2.056858e-17
4618.480000 1.784904e-16 1.944458e-17
