# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 23mkb
# CHANNEL = B+R
# EXPNUM = 23_189_061_003
# MJD-OBS = 60133.429196
# DATE-OBS = 2023-07-08T10:18:04
# EXPTIME = 1200.0s
# AIRMASS = 1.04
# FLUXCAL_RMS_B = 0.069 mag
# FLUXCAL_RMS_R = 0.073 mag
# RA = 18:00:27.19
# DEC = 28:00:11.31
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 4.635958e-17 8.332302e-17
3403.480000 1.382177e-17 8.458528e-17
3406.480000 -1.759582e-17 7.762607e-17
3409.480000 4.758477e-17 7.265435e-17
3412.480000 6.155659e-17 8.031515e-17
3415.480000 -1.754898e-17 8.099618e-17
3418.480000 -1.420103e-18 7.226494e-17
3421.480000 2.895252e-17 7.082979e-17
3424.480000 2.129264e-16 8.063682e-17
3427.480000 6.707624e-18 7.881348e-17
3430.480000 8.673280e-17 6.926817e-17
3433.480000 -1.762145e-17 6.768912e-17
3436.480000 -6.688432e-17 7.617359e-17
3439.480000 7.329751e-17 7.468318e-17
3442.480000 4.652716e-17 6.552461e-17
3445.480000 6.595036e-17 6.556211e-17
3448.480000 9.377509e-17 7.301906e-17
3451.480000 5.926201e-17 6.975331e-17
3454.480000 1.118021e-16 6.230989e-17
3457.480000 1.309009e-17 6.511487e-17
3460.480000 1.888753e-16 7.140659e-17
3463.480000 1.155092e-16 6.586054e-17
3466.480000 1.922932e-16 6.088567e-17
3469.480000 1.176529e-16 6.588264e-17
3472.480000 1.676460e-16 8.320111e-17
3475.480000 8.375479e-17 7.431264e-17
3478.480000 1.430415e-17 5.990845e-17
3481.480000 -2.834333e-17 6.506824e-17
3484.480000 1.000515e-17 6.554050e-17
3487.480000 8.258976e-17 6.002520e-17
3490.480000 9.229572e-17 5.822654e-17
3493.480000 5.618090e-18 6.478978e-17
3496.480000 4.518642e-17 6.417325e-17
3499.480000 3.741036e-17 5.670635e-17
3502.480000 5.207721e-17 5.609478e-17
3505.480000 -1.628478e-17 6.287500e-17
3508.480000 4.270369e-17 6.353377e-17
3511.480000 6.616363e-17 5.668536e-17
3514.480000 6.123624e-17 5.841038e-17
3517.480000 1.018128e-16 6.329688e-17
3520.480000 -2.083595e-17 6.037359e-17
3523.480000 1.765671e-17 5.360587e-17
3526.480000 4.843390e-17 5.621793e-17
3529.480000 -8.757293e-18 6.021934e-17
3532.480000 -4.191741e-17 5.510020e-17
3535.480000 7.812950e-17 5.117121e-17
3538.480000 8.015749e-17 5.517140e-17
3541.480000 -2.769258e-17 5.669334e-17
3544.480000 -2.454077e-17 5.404574e-17
3547.480000 -1.182264e-17 5.159155e-17
3550.480000 2.852428e-17 5.684558e-17
3553.480000 -1.076494e-17 5.782642e-17
3556.480000 -6.131290e-18 5.170085e-17
3559.480000 -1.238666e-17 5.018653e-17
3562.480000 2.154084e-17 5.622481e-17
3565.480000 1.249442e-16 5.734764e-17
3568.480000 1.626611e-16 5.136489e-17
3571.480000 2.656861e-17 5.021091e-17
3574.480000 1.178514e-17 5.724244e-17
3577.480000 -1.380532e-17 5.617548e-17
3580.480000 7.390746e-17 4.955195e-17
3583.480000 7.833697e-17 5.005342e-17
3586.480000 -1.867916e-17 5.438213e-17
3589.480000 -1.627432e-17 5.260418e-17
3592.480000 5.606432e-17 4.719539e-17
3595.480000 8.944300e-17 4.969074e-17
3598.480000 9.899761e-17 5.371849e-17
3601.480000 1.288592e-16 5.109991e-17
3604.480000 6.351705e-17 4.583627e-17
3607.480000 1.276993e-16 4.986438e-17
3610.480000 6.439201e-17 5.267140e-17
3613.480000 4.297874e-17 4.818303e-17
3616.480000 9.389088e-18 4.463499e-17
3619.480000 5.226731e-17 4.937590e-17
3622.480000 5.245903e-17 5.153598e-17
3625.480000 -1.323004e-17 4.612775e-17
3628.480000 -3.261407e-17 4.379782e-17
3631.480000 7.326713e-17 5.042564e-17
3634.480000 1.164351e-16 5.159834e-17
3637.480000 8.019732e-17 4.545773e-17
3640.480000 4.634086e-17 4.428389e-17
3643.480000 6.933029e-18 5.015856e-17
3646.480000 8.845824e-17 5.060492e-17
3649.480000 -1.002303e-17 4.348477e-17
3652.480000 5.504287e-18 4.384253e-17
3655.480000 -4.661919e-18 4.889922e-17
3658.480000 5.579422e-17 4.803070e-17
3661.480000 8.023731e-17 4.283847e-17
3664.480000 -4.966501e-17 4.403729e-17
3667.480000 4.213663e-18 4.767110e-17
3670.480000 7.844939e-18 4.514510e-17
3673.480000 5.775618e-17 4.091040e-17
3676.480000 3.132685e-17 4.335737e-17
3679.480000 3.473985e-17 4.602591e-17
3682.480000 2.859807e-17 4.208549e-17
3685.480000 3.287759e-17 3.916157e-17
3688.480000 5.313688e-17 4.239875e-17
3691.480000 6.036704e-17 4.428577e-17
3694.480000 6.895015e-17 4.078067e-17
3697.480000 2.819289e-17 3.883746e-17
3700.480000 5.376332e-17 4.583344e-17
3703.480000 9.249466e-17 4.593461e-17
3706.480000 8.484781e-17 3.992982e-17
3709.480000 8.252689e-17 3.889283e-17
3712.480000 1.984075e-17 4.392989e-17
3715.480000 3.436510e-17 4.359156e-17
3718.480000 6.868273e-17 3.846765e-17
3721.480000 5.786437e-17 3.850817e-17
3724.480000 4.841559e-17 4.247097e-17
3727.480000 8.973663e-17 4.218743e-17
3730.480000 1.094615e-16 3.778061e-17
3733.480000 1.191102e-16 3.923116e-17
3736.480000 6.479149e-17 4.302359e-17
3739.480000 1.014418e-16 4.141201e-17
3742.480000 9.126241e-17 3.797851e-17
3745.480000 4.305726e-17 4.023849e-17
3748.480000 3.648277e-17 4.261147e-17
3751.480000 8.711696e-17 3.998848e-17
3754.480000 2.891160e-17 3.701545e-17
3757.480000 5.838482e-17 4.041228e-17
3760.480000 1.464537e-16 4.229293e-17
3763.480000 6.696281e-17 3.838966e-17
3766.480000 6.531543e-17 3.633931e-17
3769.480000 3.753599e-17 4.035084e-17
3772.480000 5.671485e-17 4.145939e-17
3775.480000 4.364642e-17 3.728468e-17
3778.480000 1.828772e-17 3.673154e-17
3781.480000 4.431467e-17 4.161739e-17
3784.480000 1.744647e-17 4.144659e-17
3787.480000 3.884515e-17 3.632584e-17
3790.480000 1.550010e-17 3.631426e-17
3793.480000 3.712051e-17 4.061743e-17
3796.480000 7.199825e-17 4.019600e-17
3799.480000 1.092239e-16 3.580439e-17
3802.480000 9.609148e-17 3.683754e-17
3805.480000 7.603048e-17 4.050591e-17
3808.480000 7.833742e-17 3.857188e-17
3811.480000 1.179241e-16 3.472560e-17
3814.480000 1.142379e-16 3.628165e-17
3817.480000 9.492048e-17 3.852408e-17
3820.480000 9.324633e-17 3.613210e-17
3823.480000 1.209827e-16 3.299969e-17
3826.480000 1.307393e-16 3.549111e-17
3829.480000 1.047428e-16 3.695642e-17
3832.480000 1.080442e-16 3.412495e-17
3835.480000 1.588869e-16 3.253430e-17
3838.480000 1.367033e-16 3.585306e-17
3841.480000 1.189109e-16 3.627111e-17
3844.480000 9.941985e-17 3.257824e-17
3847.480000 8.902236e-17 3.199291e-17
3850.480000 6.416708e-17 3.613687e-17
3853.480000 1.382339e-16 3.659718e-17
3856.480000 1.225531e-16 3.212164e-17
3859.480000 8.624485e-17 3.166938e-17
3862.480000 8.850460e-17 3.565344e-17
3865.480000 1.206969e-16 3.534438e-17
3868.480000 1.003288e-16 3.130830e-17
3871.480000 1.148710e-16 3.185650e-17
3874.480000 1.305229e-16 3.508950e-17
3877.480000 8.219538e-17 3.399000e-17
3880.480000 6.350988e-17 3.060215e-17
3883.480000 8.353820e-17 3.245492e-17
3886.480000 4.648685e-17 3.525539e-17
3889.480000 3.746438e-17 3.330188e-17
3892.480000 5.329795e-17 3.065627e-17
3895.480000 7.826064e-17 3.324452e-17
3898.480000 6.126344e-17 3.526827e-17
3901.480000 1.048070e-16 3.304713e-17
3904.480000 1.107401e-16 3.130186e-17
3907.480000 7.574301e-17 3.393311e-17
3910.480000 1.352063e-16 3.539762e-17
3913.480000 1.331516e-16 3.211282e-17
3916.480000 1.111219e-16 3.087493e-17
3919.480000 9.113058e-17 3.455732e-17
3922.480000 7.080536e-17 3.444895e-17
3925.480000 8.152633e-17 3.020041e-17
3928.480000 1.061682e-16 2.974591e-17
3931.480000 7.548900e-17 3.347801e-17
3934.480000 1.195330e-16 3.302793e-17
3937.480000 1.519126e-16 2.905173e-17
3940.480000 1.038583e-16 2.918636e-17
3943.480000 9.541827e-17 3.271115e-17
3946.480000 7.847068e-17 3.225083e-17
3949.480000 6.471810e-17 2.897986e-17
3952.480000 6.437194e-17 3.062631e-17
3955.480000 6.601053e-17 3.277243e-17
3958.480000 3.919093e-17 3.110933e-17
3961.480000 7.269828e-17 2.867144e-17
3964.480000 1.178216e-16 3.111301e-17
3967.480000 1.095282e-16 3.242292e-17
3970.480000 8.110522e-17 3.011891e-17
3973.480000 7.520281e-17 2.798385e-17
3976.480000 6.411263e-17 3.021593e-17
3979.480000 1.169716e-16 3.223980e-17
3982.480000 1.358083e-16 2.989997e-17
3985.480000 1.307415e-16 2.901438e-17
3988.480000 1.197592e-16 3.289412e-17
3991.480000 1.393393e-16 3.347208e-17
3994.480000 7.926282e-17 2.963549e-17
3997.480000 7.373906e-17 2.961129e-17
4000.480000 1.085302e-16 3.418260e-17
4003.480000 1.461861e-16 3.467142e-17
4006.480000 1.157019e-16 3.056638e-17
4009.480000 1.312886e-16 3.168214e-17
4012.480000 8.708582e-17 3.515273e-17
4015.480000 8.995775e-17 3.416016e-17
4018.480000 8.835282e-17 3.085393e-17
