# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2023nls
# CHANNEL = B+R
# EXPNUM = 23_203_066_002
# MJD-OBS = 60147.427448
# DATE-OBS = 2023-07-22T10:15:33
# EXPTIME = 1800.0s
# AIRMASS = 1.73
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 22:11:15.00
# DEC = -23:02:11.00
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 nan nan
3403.480000 nan nan
3406.480000 nan nan
3409.480000 nan nan
3412.480000 nan nan
3415.480000 nan nan
3418.480000 nan nan
3421.480000 nan nan
3424.480000 nan nan
3427.480000 nan nan
3430.480000 nan nan
3433.480000 nan nan
3436.480000 nan nan
3439.480000 nan nan
3442.480000 nan nan
3445.480000 nan nan
3448.480000 nan nan
3451.480000 nan nan
3454.480000 nan nan
3457.480000 nan nan
3460.480000 nan nan
3463.480000 nan nan
3466.480000 nan nan
3469.480000 nan nan
3472.480000 nan nan
3475.480000 nan nan
3478.480000 nan nan
3481.480000 nan nan
3484.480000 nan nan
3487.480000 nan nan
3490.480000 nan nan
3493.480000 nan nan
3496.480000 nan nan
3499.480000 nan nan
3502.480000 nan nan
3505.480000 nan nan
3508.480000 nan nan
3511.480000 nan nan
3514.480000 nan nan
3517.480000 nan nan
3520.480000 nan nan
3523.480000 nan nan
3526.480000 nan nan
3529.480000 nan nan
3532.480000 nan nan
3535.480000 nan nan
3538.480000 nan nan
3541.480000 nan nan
3544.480000 nan nan
3547.480000 nan nan
3550.480000 nan nan
3553.480000 nan nan
3556.480000 nan nan
3559.480000 nan nan
3562.480000 nan nan
3565.480000 nan nan
3568.480000 nan nan
3571.480000 nan nan
3574.480000 nan nan
3577.480000 nan nan
3580.480000 nan nan
3583.480000 nan nan
3586.480000 nan nan
3589.480000 nan nan
3592.480000 nan nan
3595.480000 nan nan
3598.480000 nan nan
3601.480000 nan nan
3604.480000 nan nan
3607.480000 nan nan
3610.480000 nan nan
3613.480000 nan nan
3616.480000 nan nan
3619.480000 nan nan
3622.480000 nan nan
3625.480000 nan nan
3628.480000 nan nan
3631.480000 nan nan
3634.480000 nan nan
3637.480000 nan nan
3640.480000 nan nan
3643.480000 nan nan
3646.480000 nan nan
3649.480000 nan nan
3652.480000 nan nan
3655.480000 nan nan
3658.480000 nan nan
3661.480000 nan nan
3664.480000 nan nan
3667.480000 nan nan
3670.480000 nan nan
3673.480000 nan nan
3676.480000 nan nan
3679.480000 nan nan
3682.480000 nan nan
3685.480000 nan nan
3688.480000 nan nan
3691.480000 8.365499e-17 2.875106e-17
3694.480000 1.525398e-16 2.669754e-17
3697.480000 1.571783e-16 2.569793e-17
3700.480000 1.356701e-16 2.859942e-17
3703.480000 1.212657e-16 2.930014e-17
3706.480000 1.180652e-16 2.606503e-17
3709.480000 1.369215e-16 2.577538e-17
3712.480000 1.341839e-16 2.920146e-17
3715.480000 1.380088e-16 2.904131e-17
3718.480000 1.480975e-16 2.536777e-17
3721.480000 1.561601e-16 2.560135e-17
3724.480000 1.583613e-16 2.874193e-17
3727.480000 1.433564e-16 2.825637e-17
3730.480000 1.115928e-16 2.493057e-17
3733.480000 1.085858e-16 2.615355e-17
3736.480000 1.248808e-16 2.858500e-17
3739.480000 7.401942e-17 2.725843e-17
3742.480000 1.215460e-16 2.518354e-17
3745.480000 1.370707e-16 2.680480e-17
3748.480000 1.781866e-16 2.850046e-17
3751.480000 2.085302e-16 2.677734e-17
3754.480000 2.044465e-16 2.488234e-17
3757.480000 1.419419e-16 2.638707e-17
3760.480000 1.422031e-16 2.764085e-17
3763.480000 1.571950e-16 2.542521e-17
3766.480000 1.502176e-16 2.406100e-17
3769.480000 1.452293e-16 2.639729e-17
