# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2023un
# CHANNEL = B+R
# EXPNUM = 23_018_051_002
# MJD-OBS = 59962.625990
# DATE-OBS = 2023-01-18T15:01:27
# EXPTIME = 1500.0s
# AIRMASS = 1.44
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 12:04:05.00
# DEC = -25:38:20.00
# wl fl err
# [A] [erg/s/cm2/A]
3402.860000 2.004312e-17 6.195806e-17
3405.860000 9.614056e-19 6.357317e-17
3408.860000 7.038626e-17 5.859373e-17
3411.860000 2.634264e-17 5.513251e-17
3414.860000 -1.425633e-17 6.061171e-17
3417.860000 3.634962e-17 6.206458e-17
3420.860000 4.369632e-17 5.638594e-17
3423.860000 2.951880e-17 5.461067e-17
3426.860000 -3.343793e-17 6.142209e-17
3429.860000 -1.029210e-17 6.120796e-17
3432.860000 -1.333601e-19 5.358328e-17
3435.860000 -5.008936e-18 5.352231e-17
3438.860000 -2.868612e-17 5.974863e-17
3441.860000 -2.844944e-18 5.786576e-17
3444.860000 2.301458e-17 5.087263e-17
3447.860000 3.192473e-18 5.204585e-17
3450.860000 -1.013006e-17 5.679144e-17
3453.860000 -1.196990e-18 5.453471e-17
3456.860000 -1.322801e-17 4.909710e-17
3459.860000 -2.618227e-18 5.191069e-17
3462.860000 5.460366e-17 5.544654e-17
3465.860000 1.229250e-16 5.274131e-17
3468.860000 5.528938e-17 4.844623e-17
3471.860000 6.512496e-17 5.197714e-17
3474.860000 7.385406e-17 5.426666e-17
3477.860000 9.849121e-17 5.024854e-17
3480.860000 7.773227e-17 4.761899e-17
3483.860000 2.641996e-17 5.238869e-17
3486.860000 9.075294e-17 5.434359e-17
3489.860000 1.195893e-16 4.915415e-17
3492.860000 1.158586e-18 4.638410e-17
3495.860000 -3.769005e-18 5.167513e-17
3498.860000 4.827265e-17 5.229668e-17
3501.860000 2.908352e-17 4.600934e-17
3504.860000 3.289856e-17 4.627592e-17
3507.860000 4.807128e-17 5.181903e-17
3510.860000 2.070613e-18 5.079235e-17
3513.860000 4.285317e-17 4.610125e-17
3516.860000 2.722674e-17 4.699679e-17
3519.860000 -2.614762e-17 5.137731e-17
3522.860000 5.174813e-19 4.941253e-17
3525.860000 5.885651e-17 4.450526e-17
3528.860000 -7.222617e-19 4.582409e-17
3531.860000 -3.418594e-20 4.887303e-17
3534.860000 -1.528015e-17 4.595333e-17
3537.860000 1.129563e-16 4.290183e-17
3540.860000 5.053320e-17 4.566205e-17
3543.860000 2.903586e-17 4.812526e-17
3546.860000 7.622025e-17 4.493215e-17
3549.860000 9.918779e-17 4.210199e-17
3552.860000 5.026555e-17 4.549570e-17
3555.860000 2.371580e-17 4.690412e-17
3558.860000 -4.422066e-17 4.224386e-17
3561.860000 -2.761526e-17 4.119736e-17
3564.860000 -3.674847e-18 4.615546e-17
3567.860000 1.340800e-16 4.776608e-17
3570.860000 8.291103e-17 4.215747e-17
3573.860000 1.453205e-17 4.150653e-17
3576.860000 3.302538e-17 4.735984e-17
3579.860000 4.158685e-17 4.686688e-17
3582.860000 4.581492e-17 4.111382e-17
3585.860000 1.402848e-17 4.107584e-17
3588.860000 9.370159e-17 4.608655e-17
3591.860000 5.316976e-17 4.448017e-17
3594.860000 3.142484e-17 3.929455e-17
3597.860000 7.433733e-17 4.108723e-17
3600.860000 6.373150e-17 4.435956e-17
3603.860000 2.976675e-18 4.192751e-17
3606.860000 2.485713e-18 3.770434e-17
3609.860000 4.440379e-17 3.995824e-17
3612.860000 4.282538e-18 4.187171e-17
3615.860000 -6.931106e-17 3.828117e-17
3618.860000 -7.794089e-19 3.657423e-17
3621.860000 1.924457e-17 4.001205e-17
3624.860000 -2.205434e-17 4.092204e-17
3627.860000 -7.701621e-18 3.734590e-17
3630.860000 3.288446e-17 3.608387e-17
3633.860000 9.695349e-17 4.052608e-17
3636.860000 7.689018e-17 4.126357e-17
3639.860000 6.886750e-17 3.659161e-17
3642.860000 1.005192e-16 3.635087e-17
3645.860000 8.252589e-17 4.105492e-17
3648.860000 -2.827963e-17 3.957221e-17
3651.860000 -1.746737e-19 3.513067e-17
3654.860000 4.002822e-17 3.565811e-17
3657.860000 6.131029e-17 3.963740e-17
3660.860000 2.898900e-17 3.842303e-17
3663.860000 4.397765e-17 3.414514e-17
3666.860000 8.860499e-17 3.535385e-17
3669.860000 5.155360e-17 3.778923e-17
3672.860000 2.209412e-17 3.544387e-17
3675.860000 8.426780e-18 3.196124e-17
3678.860000 7.357960e-18 3.377947e-17
3681.860000 4.434517e-17 3.591625e-17
3684.860000 1.883657e-17 3.315190e-17
3687.860000 2.100663e-17 3.084108e-17
3690.860000 1.189403e-17 3.345262e-17
3693.860000 5.230650e-18 3.477105e-17
3696.860000 4.211862e-17 3.182983e-17
3699.860000 7.487118e-18 3.027256e-17
3702.860000 -1.754090e-17 3.367828e-17
3705.860000 1.299469e-17 3.452941e-17
3708.860000 7.768292e-17 3.111942e-17
3711.860000 8.140733e-17 3.055875e-17
3714.860000 3.956616e-17 3.443427e-17
3717.860000 4.273004e-17 3.443923e-17
3720.860000 5.679012e-17 2.990837e-17
3723.860000 4.894222e-17 3.017330e-17
3726.860000 1.664286e-18 3.353231e-17
3729.860000 1.630250e-17 3.338257e-17
3732.860000 -2.272489e-17 2.922736e-17
3735.860000 6.190028e-18 3.054696e-17
3738.860000 6.138490e-17 3.389934e-17
3741.860000 7.474100e-17 3.300097e-17
3744.860000 9.951896e-17 2.989768e-17
3747.860000 5.958495e-17 3.125147e-17
3750.860000 5.424618e-18 3.290148e-17
3753.860000 2.112989e-17 3.110965e-17
3756.860000 1.721848e-17 2.864421e-17
3759.860000 6.516136e-17 3.145549e-17
3762.860000 7.342143e-17 3.296574e-17
3765.860000 3.861338e-17 3.003636e-17
3768.860000 5.247513e-17 2.826365e-17
3771.860000 2.190786e-17 3.105828e-17
3774.860000 5.485620e-18 3.181990e-17
3777.860000 2.628643e-17 2.868450e-17
3780.860000 5.920781e-17 2.830923e-17
3783.860000 4.946332e-17 3.179747e-17
3786.860000 3.093000e-17 3.178614e-17
3789.860000 4.274601e-17 2.796595e-17
3792.860000 6.636623e-17 2.820294e-17
3795.860000 5.264612e-17 3.150770e-17
3798.860000 8.247681e-17 3.102445e-17
3801.860000 5.549839e-17 2.732174e-17
3804.860000 7.591893e-17 2.812464e-17
3807.860000 5.832383e-17 3.066975e-17
3810.860000 2.454271e-17 2.928762e-17
3813.860000 1.234675e-17 2.625727e-17
3816.860000 5.397740e-17 2.789495e-17
3819.860000 7.001381e-18 2.928854e-17
3822.860000 5.444462e-17 2.792361e-17
3825.860000 4.419681e-17 2.559083e-17
3828.860000 1.205178e-17 2.712134e-17
3831.860000 1.567992e-17 2.860766e-17
3834.860000 2.267315e-18 2.632725e-17
3837.860000 2.881916e-17 2.496931e-17
3840.860000 2.003901e-17 2.739607e-17
3843.860000 -1.636529e-17 2.813275e-17
3846.860000 2.775756e-19 2.540768e-17
3849.860000 2.145857e-17 2.484458e-17
3852.860000 5.065051e-17 2.809969e-17
3855.860000 4.961326e-17 2.794864e-17
3858.860000 2.607764e-17 2.460000e-17
3861.860000 3.941168e-17 2.455742e-17
3864.860000 3.593067e-17 2.763114e-17
3867.860000 3.658008e-17 2.745745e-17
3870.860000 5.904623e-17 2.443847e-17
3873.860000 5.826434e-17 2.512186e-17
3876.860000 4.353258e-17 2.755696e-17
3879.860000 3.990714e-18 2.668120e-17
3882.860000 7.758856e-18 2.399070e-17
3885.860000 -5.556210e-18 2.514555e-17
3888.860000 -1.987902e-17 2.727842e-17
3891.860000 -8.711249e-18 2.619260e-17
3894.860000 1.901375e-17 2.437103e-17
3897.860000 4.147175e-17 2.642525e-17
3900.860000 1.770655e-17 2.790376e-17
3903.860000 1.167150e-17 2.563809e-17
3906.860000 2.724442e-17 2.435032e-17
3909.860000 9.796156e-18 2.655950e-17
3912.860000 -8.532522e-19 2.720106e-17
3915.860000 1.381554e-17 2.488310e-17
3918.860000 3.555481e-17 2.400353e-17
3921.860000 1.027954e-17 2.670551e-17
3924.860000 -8.330021e-18 2.682249e-17
3927.860000 -1.287745e-17 2.345837e-17
3930.860000 1.767263e-17 2.325003e-17
3933.860000 -2.576424e-17 2.579874e-17
3936.860000 -2.549149e-17 2.556643e-17
3939.860000 -7.929786e-18 2.256131e-17
3942.860000 8.380553e-18 2.348527e-17
3945.860000 -3.593775e-18 2.594136e-17
3948.860000 1.396618e-17 2.551205e-17
3951.860000 3.823188e-18 2.290419e-17
3954.860000 -4.794681e-17 2.368414e-17
3957.860000 -1.940028e-17 2.573317e-17
3960.860000 2.562626e-17 2.459021e-17
3963.860000 -2.350633e-18 2.253376e-17
3966.860000 1.531958e-17 2.384659e-17
3969.860000 5.846845e-18 2.523738e-17
3972.860000 -2.643827e-18 2.353992e-17
3975.860000 -2.312140e-17 2.202766e-17
3978.860000 8.108911e-18 2.459475e-17
3981.860000 6.955083e-18 2.577470e-17
3984.860000 4.004843e-17 2.392751e-17
3987.860000 2.090541e-17 2.310561e-17
3990.860000 -1.537141e-17 2.559505e-17
3993.860000 5.476047e-17 2.630533e-17
3996.860000 5.263604e-17 2.497475e-17
3999.860000 6.274325e-17 2.421960e-17
4002.860000 1.621831e-17 2.671757e-17
4005.860000 1.537753e-17 2.697931e-17
4008.860000 2.292088e-17 2.410751e-17
4011.860000 1.216611e-17 2.471081e-17
4014.860000 3.074828e-18 2.759655e-17
4017.860000 2.494828e-17 2.721885e-17
4020.860000 9.897884e-18 2.415099e-17
4023.860000 1.081002e-17 2.484450e-17
4026.860000 1.907857e-17 2.692220e-17
4029.860000 3.907195e-17 2.534969e-17
4032.860000 1.336707e-17 2.247866e-17
4035.860000 1.338075e-17 2.357882e-17
4038.860000 4.200178e-17 2.508731e-17
4041.860000 4.772732e-17 2.322523e-17
4044.860000 1.005497e-16 2.171164e-17
4047.860000 1.012540e-16 2.369619e-17
4050.860000 7.643521e-17 2.456200e-17
4053.860000 8.492857e-17 2.224220e-17
4056.860000 1.201557e-16 2.143903e-17
4059.860000 8.936006e-17 2.358135e-17
4062.860000 1.005055e-16 2.418497e-17
4065.860000 6.276863e-17 2.144775e-17
4068.860000 3.222819e-17 2.071121e-17
4071.860000 4.066847e-17 2.378109e-17
4074.860000 1.076659e-16 2.420479e-17
4077.860000 9.071320e-17 2.118363e-17
4080.860000 8.643257e-17 2.145274e-17
4083.860000 7.788190e-17 2.413908e-17
4086.860000 7.434341e-17 2.361680e-17
4089.860000 6.693824e-17 2.090348e-17
4092.860000 2.990078e-17 2.142602e-17
4095.860000 6.088495e-17 2.376675e-17
4098.860000 7.703969e-17 2.301504e-17
4101.860000 8.004894e-17 2.102348e-17
4104.860000 9.132007e-17 2.272942e-17
4107.860000 7.835630e-17 2.449045e-17
4110.860000 1.136687e-16 2.362578e-17
4113.860000 1.063924e-16 2.182068e-17
4116.860000 1.068218e-16 2.388789e-17
4119.860000 6.602011e-17 2.499207e-17
4122.860000 6.215784e-17 2.280187e-17
4125.860000 6.862218e-17 2.168225e-17
4128.860000 9.555428e-17 2.421250e-17
4131.860000 1.172185e-16 2.474632e-17
4134.860000 1.281912e-16 2.205482e-17
4137.860000 1.380585e-16 2.150468e-17
4140.860000 1.099195e-16 2.416969e-17
4143.860000 1.201981e-16 2.390518e-17
4146.860000 1.243760e-16 2.083824e-17
4149.860000 1.344501e-16 2.072775e-17
4152.860000 1.688955e-16 2.352560e-17
4155.860000 1.532911e-16 2.321513e-17
4158.860000 1.483171e-16 2.048322e-17
4161.860000 1.370636e-16 2.094084e-17
4164.860000 1.630888e-16 2.328833e-17
4167.860000 1.736244e-16 2.256947e-17
4170.860000 1.317980e-16 2.008392e-17
4173.860000 1.211093e-16 2.133044e-17
4176.860000 1.496019e-16 2.289893e-17
4179.860000 1.494573e-16 2.139315e-17
4182.860000 1.687197e-16 1.979384e-17
4185.860000 1.218152e-16 2.128199e-17
4188.860000 1.257064e-16 2.225326e-17
4191.860000 1.616235e-16 2.074682e-17
4194.860000 1.412203e-16 1.948008e-17
4197.860000 1.405041e-16 2.148078e-17
4200.860000 1.354232e-16 2.209451e-17
4203.860000 9.135640e-17 1.977221e-17
4206.860000 8.759490e-17 1.917355e-17
4209.860000 1.100917e-16 2.202521e-17
4212.860000 1.664212e-16 2.252990e-17
4215.860000 1.304470e-16 1.973455e-17
4218.860000 1.291755e-16 1.970647e-17
4221.860000 1.374540e-16 2.224327e-17
4224.860000 1.483655e-16 2.193569e-17
4227.860000 1.323983e-16 1.981001e-17
4230.860000 1.406199e-16 1.994659e-17
4233.860000 1.184454e-16 2.162401e-17
4236.860000 1.077904e-16 2.098380e-17
4239.860000 1.076083e-16 1.887952e-17
4242.860000 1.129010e-16 1.993876e-17
4245.860000 1.202225e-16 2.166421e-17
4248.860000 7.078078e-17 2.071096e-17
4251.860000 9.803903e-17 1.893873e-17
4254.860000 9.176766e-17 2.020123e-17
4257.860000 8.933414e-17 2.133649e-17
4260.860000 1.034019e-16 1.981688e-17
4263.860000 1.060432e-16 1.862506e-17
4266.860000 1.160525e-16 2.071123e-17
4269.860000 8.135685e-17 2.118076e-17
