# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 23zfj
# CHANNEL = B+R
# EXPNUM = 23_345_038_003
# MJD-OBS = 60289.505654
# DATE-OBS = 2023-12-11T12:08:10
# EXPTIME = 1500.0s
# AIRMASS = 1.15
# FLUXCAL_RMS_B = 0.034 mag
# FLUXCAL_RMS_R = 0.035 mag
# RA = 07:45:10.32
# DEC = 48:41:21.90
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 9.336545e-17 4.934824e-17
3403.480000 3.589182e-17 5.053811e-17
3406.480000 3.740950e-17 4.600679e-17
3409.480000 3.890087e-17 4.350752e-17
3412.480000 4.248978e-17 4.772718e-17
3415.480000 -1.490702e-17 4.767608e-17
3418.480000 -3.871206e-17 4.240203e-17
3421.480000 -5.253851e-17 4.204645e-17
3424.480000 -9.185684e-17 4.681102e-17
3427.480000 -7.527355e-18 4.717183e-17
3430.480000 4.026380e-17 4.244152e-17
3433.480000 5.939532e-19 4.232462e-17
3436.480000 -2.786045e-17 4.487679e-17
3439.480000 -1.460236e-17 4.405466e-17
3442.480000 -1.762017e-17 3.891947e-17
3445.480000 3.250564e-19 4.011393e-17
3448.480000 -3.698581e-18 4.395165e-17
3451.480000 4.220724e-17 4.299177e-17
3454.480000 4.517600e-17 3.865447e-17
3457.480000 -8.104355e-18 3.976794e-17
3460.480000 2.666295e-17 4.321473e-17
3463.480000 7.177078e-17 4.114134e-17
3466.480000 6.757428e-17 3.775268e-17
3469.480000 2.465401e-17 3.984239e-17
3472.480000 1.832388e-17 4.153252e-17
3475.480000 2.836433e-18 3.814247e-17
3478.480000 4.737994e-17 3.713812e-17
3481.480000 5.696752e-17 4.193512e-17
3484.480000 5.062327e-17 4.220168e-17
3487.480000 4.932718e-17 3.807220e-17
3490.480000 4.584780e-17 3.681344e-17
3493.480000 9.032094e-17 4.220127e-17
3496.480000 6.287430e-17 4.242426e-17
3499.480000 9.348327e-18 3.659003e-17
3502.480000 1.309412e-17 3.637032e-17
3505.480000 5.315030e-17 4.078927e-17
3508.480000 5.974363e-17 3.972657e-17
3511.480000 2.603915e-17 3.446932e-17
3514.480000 5.361406e-17 3.511511e-17
3517.480000 5.740773e-17 3.808775e-17
3520.480000 5.845131e-18 3.594392e-17
3523.480000 1.079228e-17 3.228608e-17
3526.480000 5.656396e-17 3.452496e-17
3529.480000 8.327510e-17 3.735190e-17
3532.480000 4.249960e-17 3.467771e-17
3535.480000 4.254606e-17 3.188902e-17
3538.480000 -1.776290e-17 3.402093e-17
3541.480000 2.757859e-17 3.691265e-17
3544.480000 3.333901e-17 3.426453e-17
3547.480000 5.548922e-17 3.268015e-17
3550.480000 2.670429e-17 3.600713e-17
3553.480000 -2.304049e-18 3.695273e-17
3556.480000 8.011984e-18 3.370019e-17
3559.480000 -2.047700e-17 3.290367e-17
3562.480000 6.660849e-18 3.601214e-17
3565.480000 5.183614e-17 3.692135e-17
3568.480000 1.084254e-17 3.204808e-17
3571.480000 2.542486e-18 3.169707e-17
3574.480000 1.849389e-17 3.571815e-17
3577.480000 5.308678e-17 3.546543e-17
3580.480000 5.142143e-17 3.096290e-17
3583.480000 1.342128e-17 3.081852e-17
3586.480000 -7.037279e-18 3.367043e-17
3589.480000 2.511531e-17 3.246642e-17
3592.480000 3.281807e-17 2.886711e-17
3595.480000 8.355223e-18 2.989620e-17
3598.480000 3.360066e-17 3.234287e-17
3601.480000 1.229911e-17 3.067490e-17
3604.480000 8.497758e-18 2.761803e-17
3607.480000 3.946405e-17 2.955462e-17
3610.480000 5.812766e-17 3.145538e-17
3613.480000 5.596347e-17 2.939124e-17
3616.480000 4.079738e-17 2.755886e-17
3619.480000 5.217315e-17 3.017937e-17
3622.480000 4.658798e-17 3.133446e-17
3625.480000 3.322291e-17 2.900128e-17
3628.480000 6.453975e-17 2.822333e-17
3631.480000 6.107178e-17 3.139859e-17
3634.480000 3.861425e-17 3.059846e-17
3637.480000 4.535030e-17 2.747128e-17
3640.480000 4.930031e-17 2.759465e-17
3643.480000 6.405290e-17 3.083506e-17
3646.480000 4.652318e-17 3.012831e-17
3649.480000 4.229497e-17 2.622291e-17
3652.480000 2.556280e-17 2.614772e-17
3655.480000 2.237879e-17 2.872045e-17
3658.480000 8.219312e-18 2.771619e-17
3661.480000 4.943478e-18 2.452679e-17
3664.480000 3.417270e-17 2.568686e-17
3667.480000 3.183903e-17 2.767937e-17
3670.480000 4.213404e-17 2.646687e-17
3673.480000 6.758011e-17 2.423077e-17
3676.480000 6.902542e-17 2.556477e-17
3679.480000 8.718892e-17 2.724477e-17
3682.480000 8.841111e-17 2.550882e-17
3685.480000 7.473748e-17 2.332428e-17
3688.480000 7.129716e-17 2.542007e-17
3691.480000 8.440002e-17 2.678849e-17
3694.480000 1.001425e-16 2.467369e-17
3697.480000 9.448956e-17 2.373608e-17
3700.480000 1.127963e-16 2.668025e-17
3703.480000 1.398053e-16 2.748250e-17
3706.480000 1.221657e-16 2.438525e-17
3709.480000 1.325595e-16 2.393735e-17
3712.480000 1.250014e-16 2.716567e-17
3715.480000 9.552564e-17 2.671409e-17
3718.480000 8.740979e-17 2.338690e-17
3721.480000 7.954697e-17 2.347824e-17
3724.480000 7.744554e-17 2.642846e-17
3727.480000 1.161331e-16 2.645757e-17
3730.480000 8.779367e-17 2.330866e-17
3733.480000 8.507244e-17 2.409927e-17
3736.480000 1.016008e-16 2.664120e-17
3739.480000 1.044221e-16 2.560567e-17
3742.480000 1.260188e-16 2.330421e-17
3745.480000 1.219083e-16 2.445157e-17
3748.480000 1.020849e-16 2.889904e-17
3751.480000 9.503564e-17 2.892780e-17
3754.480000 1.103224e-16 2.391599e-17
3757.480000 1.153778e-16 2.434621e-17
3760.480000 1.262579e-16 2.556702e-17
3763.480000 1.450985e-16 2.372400e-17
3766.480000 1.408785e-16 2.234436e-17
3769.480000 1.236272e-16 2.472073e-17
3772.480000 1.259062e-16 2.530157e-17
3775.480000 1.234434e-16 2.267381e-17
3778.480000 9.822699e-17 2.182733e-17
3781.480000 9.111374e-17 2.515591e-17
3784.480000 1.114758e-16 2.839963e-17
3787.480000 1.315626e-16 3.007316e-17
3790.480000 1.521399e-16 2.415711e-17
3793.480000 1.638655e-16 2.549640e-17
3796.480000 1.201395e-16 2.426389e-17
3799.480000 1.183350e-16 2.109909e-17
3802.480000 1.296141e-16 2.156876e-17
3805.480000 1.626971e-16 2.396999e-17
3808.480000 1.513890e-16 2.305509e-17
3811.480000 1.274917e-16 2.050203e-17
3814.480000 1.291701e-16 2.159532e-17
3817.480000 1.352472e-16 2.316286e-17
3820.480000 1.303902e-16 2.169934e-17
3823.480000 1.463668e-16 2.011255e-17
3826.480000 1.572718e-16 2.180915e-17
3829.480000 1.538078e-16 2.287692e-17
3832.480000 1.858872e-16 2.154610e-17
3835.480000 1.819950e-16 2.021137e-17
3838.480000 1.339149e-16 2.161978e-17
3841.480000 1.246225e-16 2.220610e-17
3844.480000 1.113392e-16 1.992348e-17
3847.480000 1.309038e-16 1.949592e-17
3850.480000 1.457808e-16 2.213045e-17
3853.480000 1.245320e-16 2.219870e-17
3856.480000 1.227447e-16 1.975322e-17
3859.480000 1.334449e-16 1.983639e-17
3862.480000 1.484839e-16 2.272251e-17
3865.480000 1.309356e-16 2.221873e-17
3868.480000 1.095413e-16 1.948832e-17
3871.480000 1.133323e-16 1.993627e-17
3874.480000 1.053625e-16 2.202607e-17
3877.480000 1.215655e-16 2.159456e-17
3880.480000 1.484224e-16 1.977387e-17
3883.480000 1.524418e-16 2.083721e-17
3886.480000 1.377241e-16 2.215368e-17
3889.480000 1.057983e-16 2.057569e-17
3892.480000 1.268416e-16 1.913003e-17
3895.480000 1.215030e-16 2.036245e-17
3898.480000 1.332788e-16 2.134435e-17
3901.480000 1.437468e-16 1.991157e-17
3904.480000 1.015026e-16 1.839997e-17
3907.480000 8.321289e-17 2.008933e-17
3910.480000 8.647238e-17 2.051027e-17
3913.480000 6.531869e-17 1.879479e-17
3916.480000 1.006442e-16 1.817191e-17
3919.480000 1.039930e-16 2.030096e-17
3922.480000 9.301407e-17 2.035936e-17
3925.480000 1.091359e-16 1.821629e-17
3928.480000 1.230516e-16 1.825677e-17
3931.480000 9.712436e-17 2.035694e-17
3934.480000 7.502045e-17 2.018030e-17
3937.480000 8.886039e-17 1.773424e-17
3940.480000 9.605331e-17 1.837129e-17
3943.480000 8.003849e-17 2.021323e-17
3946.480000 8.663063e-17 1.965454e-17
3949.480000 9.890006e-17 1.778006e-17
3952.480000 9.513123e-17 1.857107e-17
3955.480000 1.032871e-16 2.017049e-17
3958.480000 8.996711e-17 1.917676e-17
3961.480000 9.053564e-17 1.746881e-17
3964.480000 1.026481e-16 1.864315e-17
3967.480000 9.903730e-17 1.968645e-17
3970.480000 6.687454e-17 1.800698e-17
3973.480000 7.577404e-17 1.712259e-17
3976.480000 4.437067e-17 1.846505e-17
3979.480000 4.534054e-17 1.926101e-17
3982.480000 7.553819e-17 1.805055e-17
3985.480000 8.156299e-17 1.771934e-17
3988.480000 8.127029e-17 2.020968e-17
3991.480000 9.418812e-17 2.103182e-17
3994.480000 8.175517e-17 1.903243e-17
3997.480000 5.671705e-17 1.864225e-17
4000.480000 7.856970e-17 2.134774e-17
4003.480000 6.813656e-17 2.113814e-17
4006.480000 4.911721e-17 1.795651e-17
4009.480000 5.446530e-17 1.793719e-17
4012.480000 6.794453e-17 1.975312e-17
4015.480000 8.447254e-17 1.911328e-17
4018.480000 7.600840e-17 1.682289e-17
4021.480000 6.358907e-17 1.732539e-17
4024.480000 6.427707e-17 1.882280e-17
4027.480000 1.279365e-16 1.858800e-17
4030.480000 1.486222e-16 1.717367e-17
4033.480000 1.416513e-16 1.793646e-17
4036.480000 9.552137e-17 1.832287e-17
4039.480000 9.566403e-17 1.700743e-17
4042.480000 1.130601e-16 1.593963e-17
4045.480000 1.191192e-16 1.739926e-17
4048.480000 1.127983e-16 1.820145e-17
4051.480000 1.140749e-16 1.669152e-17
4054.480000 1.216368e-16 1.596866e-17
4057.480000 1.189658e-16 1.769719e-17
4060.480000 1.145336e-16 1.804858e-17
4063.480000 1.015550e-16 1.609428e-17
4066.480000 9.873284e-17 1.582895e-17
4069.480000 7.800481e-17 1.769078e-17
4072.480000 8.597260e-17 1.785817e-17
4075.480000 1.058851e-16 1.587718e-17
4078.480000 1.360179e-16 1.646025e-17
4081.480000 1.354540e-16 1.837577e-17
4084.480000 1.131177e-16 1.794629e-17
4087.480000 1.325021e-16 1.628986e-17
4090.480000 1.335110e-16 1.682454e-17
4093.480000 1.186165e-16 1.848618e-17
4096.480000 1.103758e-16 1.779057e-17
4099.480000 1.216039e-16 1.637210e-17
4102.480000 1.215441e-16 1.759241e-17
4105.480000 1.039776e-16 1.879475e-17
4108.480000 1.055591e-16 1.758214e-17
4111.480000 1.118663e-16 1.630033e-17
4114.480000 1.290759e-16 1.752307e-17
4117.480000 1.507961e-16 1.835434e-17
4120.480000 1.402695e-16 1.670848e-17
4123.480000 1.466816e-16 1.592031e-17
4126.480000 1.398350e-16 1.752564e-17
4129.480000 1.388959e-16 1.783557e-17
4132.480000 1.241193e-16 1.584981e-17
4135.480000 1.489610e-16 1.569814e-17
4138.480000 1.609165e-16 1.844305e-17
4141.480000 1.383510e-16 1.815184e-17
4144.480000 1.297017e-16 1.517810e-17
4147.480000 1.355214e-16 1.526000e-17
4150.480000 1.094267e-16 1.688188e-17
4153.480000 1.006518e-16 1.652064e-17
4156.480000 1.236092e-16 1.485963e-17
4159.480000 1.428407e-16 1.547708e-17
4162.480000 1.657203e-16 1.736128e-17
4165.480000 1.775336e-16 1.686912e-17
4168.480000 1.495049e-16 1.496087e-17
4171.480000 1.538265e-16 1.573776e-17
4174.480000 1.462760e-16 1.676854e-17
4177.480000 1.680926e-16 1.611314e-17
4180.480000 1.619343e-16 1.483834e-17
4183.480000 1.678239e-16 1.603881e-17
4186.480000 1.511960e-16 1.679467e-17
4189.480000 1.334244e-16 1.544614e-17
4192.480000 1.441503e-16 1.452746e-17
4195.480000 1.486992e-16 1.613489e-17
4198.480000 1.523953e-16 1.661830e-17
4201.480000 1.335398e-16 1.479026e-17
4204.480000 1.421610e-16 1.440232e-17
4207.480000 1.353877e-16 1.618456e-17
4210.480000 1.408948e-16 1.641621e-17
4213.480000 1.432701e-16 1.460711e-17
4216.480000 1.471660e-16 1.453290e-17
4219.480000 1.564178e-16 1.647582e-17
