# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2023zzb
# CHANNEL = B+R
# EXPNUM = 23_353_027_003
# MJD-OBS = 60297.365029
# DATE-OBS = 2023-12-19T08:45:40
# EXPTIME = 2100.0s
# AIRMASS = 1.15
# FLUXCAL_RMS_B = 0.069 mag
# FLUXCAL_RMS_R = 0.073 mag
# RA = 02:57:44.60
# DEC = 45:19:04.91
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 -2.926758e-17 4.529026e-17
3403.480000 -2.714708e-17 4.705548e-17
3406.480000 -1.878762e-17 4.337315e-17
3409.480000 -4.045944e-17 4.075397e-17
3412.480000 -7.174932e-17 4.442731e-17
3415.480000 8.040316e-18 4.545462e-17
3418.480000 7.398595e-17 4.000924e-17
3421.480000 8.305324e-17 3.908499e-17
3424.480000 7.428339e-17 4.366606e-17
3427.480000 5.749679e-17 4.323651e-17
3430.480000 3.238329e-17 3.724244e-17
3433.480000 -1.553187e-17 3.636157e-17
3436.480000 -5.220145e-17 4.040467e-17
3439.480000 3.404036e-17 4.106459e-17
3442.480000 7.584116e-17 3.664768e-17
3445.480000 -7.804371e-18 3.708079e-17
3448.480000 1.715267e-17 4.160891e-17
3451.480000 8.299211e-17 4.038321e-17
3454.480000 9.628866e-17 3.673044e-17
3457.480000 8.980335e-18 3.691030e-17
3460.480000 8.822880e-18 3.849376e-17
3463.480000 8.675306e-17 3.702228e-17
3466.480000 1.248997e-16 3.394266e-17
3469.480000 3.772657e-17 3.559473e-17
3472.480000 -4.523465e-17 3.708872e-17
3475.480000 -2.578436e-17 3.448598e-17
3478.480000 -3.079016e-17 3.170954e-17
3481.480000 -2.212522e-17 3.488240e-17
3484.480000 6.777752e-19 3.650049e-17
3487.480000 2.438410e-17 3.320136e-17
3490.480000 6.307222e-17 3.320690e-17
3493.480000 1.462484e-17 3.658747e-17
3496.480000 -5.887595e-18 3.621241e-17
3499.480000 3.842213e-17 3.200813e-17
3502.480000 -1.480854e-17 3.124162e-17
3505.480000 -4.095646e-17 3.494390e-17
3508.480000 -6.091547e-18 3.440656e-17
3511.480000 -3.887392e-18 2.998162e-17
3514.480000 -4.937495e-18 3.012202e-17
3517.480000 -4.785867e-18 3.271296e-17
3520.480000 1.658182e-17 3.158131e-17
3523.480000 -6.891246e-18 2.803277e-17
3526.480000 7.130811e-18 2.952162e-17
3529.480000 -1.193290e-17 3.147772e-17
3532.480000 -1.473904e-17 2.955865e-17
3535.480000 3.582923e-17 2.782192e-17
3538.480000 2.837705e-17 2.992508e-17
3541.480000 1.419442e-17 3.147707e-17
3544.480000 1.139463e-17 2.968004e-17
3547.480000 4.149703e-17 2.872628e-17
3550.480000 3.838715e-17 3.159285e-17
3553.480000 6.523688e-17 3.286474e-17
3556.480000 6.949238e-17 2.984567e-17
3559.480000 6.898097e-17 2.876163e-17
3562.480000 5.995038e-17 3.190978e-17
3565.480000 7.039912e-18 3.205585e-17
3568.480000 1.788233e-17 2.790804e-17
3571.480000 5.156147e-18 2.724220e-17
3574.480000 -1.015425e-17 3.024884e-17
3577.480000 2.200861e-17 3.085619e-17
3580.480000 1.644861e-17 2.673490e-17
3583.480000 3.576007e-17 2.741182e-17
3586.480000 1.770716e-17 3.130770e-17
3589.480000 3.226147e-17 2.878445e-17
3592.480000 5.737150e-17 2.671400e-17
3595.480000 4.217406e-17 2.610907e-17
3598.480000 6.480790e-17 2.871657e-17
3601.480000 5.763103e-17 2.732978e-17
3604.480000 3.541631e-17 2.483467e-17
3607.480000 6.807887e-18 2.621438e-17
3610.480000 3.186832e-17 2.777489e-17
3613.480000 5.096491e-17 2.616641e-17
3616.480000 3.212342e-17 2.432740e-17
3619.480000 5.068895e-17 2.693732e-17
3622.480000 6.661821e-17 2.763681e-17
3625.480000 3.095812e-17 2.528018e-17
3628.480000 5.514749e-17 2.494060e-17
3631.480000 5.727552e-17 2.808968e-17
3634.480000 5.779198e-17 2.844258e-17
3637.480000 6.097629e-17 2.481699e-17
3640.480000 3.061896e-17 2.429798e-17
3643.480000 3.406734e-17 2.739446e-17
3646.480000 1.090093e-17 2.677797e-17
3649.480000 2.293061e-17 2.307378e-17
3652.480000 3.082722e-17 2.358056e-17
3655.480000 2.305637e-17 2.618905e-17
3658.480000 2.815146e-17 2.563351e-17
3661.480000 4.610890e-17 2.315524e-17
3664.480000 3.501412e-17 2.329590e-17
3667.480000 -4.023266e-18 2.485384e-17
