# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024aanv
# CHANNEL = B+R
# EXPNUM = 24_317_010_003
# MJD-OBS = 60626.198455
# DATE-OBS = 2024-11-12T04:45:48
# EXPTIME = 1800.0s
# AIRMASS = 1.28
# FLUXCAL_RMS_B = 0.105 mag
# FLUXCAL_RMS_R = 0.074 mag
# RA = 21:12:21.93
# DEC = -18:04:48.33
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 7.467298e-17 5.047775e-17
3403.480000 1.590599e-16 5.235509e-17
3406.480000 9.773201e-17 4.670456e-17
3409.480000 6.967049e-17 4.346599e-17
3412.480000 -2.283975e-17 4.746271e-17
3415.480000 -3.948317e-17 4.747627e-17
3418.480000 -7.473982e-17 4.283319e-17
3421.480000 -3.493918e-17 4.225693e-17
3424.480000 -3.419792e-18 4.788036e-17
3427.480000 -7.233397e-17 4.727104e-17
3430.480000 3.953256e-17 4.201717e-17
3433.480000 1.229493e-16 4.226762e-17
3436.480000 1.464444e-16 4.648486e-17
3439.480000 1.256593e-16 4.406663e-17
3442.480000 8.482216e-17 3.710016e-17
3445.480000 9.839854e-18 3.787214e-17
3448.480000 1.414430e-18 4.233407e-17
3451.480000 7.816417e-17 4.208645e-17
3454.480000 9.405174e-17 3.819954e-17
3457.480000 9.478316e-17 3.974278e-17
3460.480000 2.398291e-17 4.134997e-17
3463.480000 -1.555257e-17 3.886612e-17
3466.480000 3.550619e-17 3.655995e-17
3469.480000 9.478373e-17 4.024110e-17
3472.480000 1.484226e-16 4.190593e-17
3475.480000 1.089951e-16 3.774075e-17
3478.480000 2.702286e-17 3.534888e-17
3481.480000 6.042447e-17 3.957099e-17
3484.480000 1.875481e-16 4.101902e-17
3487.480000 1.176497e-16 3.669566e-17
3490.480000 1.187574e-16 3.595813e-17
3493.480000 7.589454e-17 3.954801e-17
3496.480000 5.416404e-17 3.893536e-17
3499.480000 3.140564e-17 3.483081e-17
3502.480000 5.322585e-17 3.570198e-17
3505.480000 1.094721e-17 4.026389e-17
3508.480000 1.100815e-16 3.993762e-17
3511.480000 1.137275e-16 3.472943e-17
3514.480000 5.642485e-17 3.450587e-17
3517.480000 9.653554e-18 3.770891e-17
3520.480000 1.139554e-16 3.719248e-17
3523.480000 7.871601e-17 3.252069e-17
3526.480000 2.697749e-18 3.304831e-17
3529.480000 7.235655e-17 3.628726e-17
3532.480000 3.143920e-17 3.475614e-17
3535.480000 3.582319e-17 3.203277e-17
3538.480000 2.311663e-17 3.477935e-17
