# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024abrm
# CHANNEL = B+R
# EXPNUM = 24_328_028_003
# MJD-OBS = 60637.396123
# DATE-OBS = 2024-11-23T09:30:26
# EXPTIME = 1800.0s
# AIRMASS = 1.07
# FLUXCAL_RMS_B = 0.105 mag
# FLUXCAL_RMS_R = 0.074 mag
# RA = 02:08:43.81
# DEC = 06:30:21.57
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 1.787386e-16 4.000388e-17
3403.480000 1.517406e-16 4.042348e-17
3406.480000 1.067601e-16 3.671049e-17
3409.480000 1.212852e-16 3.520854e-17
3412.480000 1.169606e-16 3.775217e-17
3415.480000 8.554989e-17 3.819028e-17
3418.480000 6.800078e-17 3.381194e-17
3421.480000 6.316293e-17 3.305997e-17
3424.480000 7.573412e-17 3.764728e-17
3427.480000 1.403245e-16 3.738357e-17
3430.480000 1.786793e-16 3.286356e-17
3433.480000 1.608777e-16 3.293276e-17
3436.480000 9.467430e-17 3.685091e-17
3439.480000 7.534262e-17 3.632331e-17
3442.480000 8.266663e-17 3.166714e-17
3445.480000 8.104562e-17 3.189787e-17
3448.480000 6.110682e-17 3.430462e-17
3451.480000 7.330472e-17 3.321470e-17
3454.480000 2.613543e-17 2.955197e-17
3457.480000 7.180108e-17 3.127048e-17
3460.480000 1.132499e-16 3.395282e-17
3463.480000 1.018212e-16 3.166340e-17
3466.480000 6.081977e-17 2.869502e-17
3469.480000 9.544347e-17 3.057210e-17
3472.480000 1.206125e-16 3.185104e-17
3475.480000 8.773723e-17 2.929921e-17
3478.480000 8.323832e-17 2.767678e-17
3481.480000 7.460824e-17 3.096332e-17
3484.480000 9.363772e-17 3.210423e-17
3487.480000 1.160744e-16 2.932578e-17
3490.480000 8.149788e-17 2.792951e-17
3493.480000 3.883500e-17 3.066573e-17
3496.480000 8.076638e-17 3.121523e-17
3499.480000 6.317737e-17 2.728309e-17
3502.480000 1.113429e-16 2.697196e-17
3505.480000 7.596366e-17 2.992337e-17
3508.480000 7.193350e-17 2.942364e-17
3511.480000 5.892175e-17 2.601688e-17
3514.480000 5.332913e-17 2.629087e-17
3517.480000 2.708570e-17 2.861838e-17
3520.480000 5.860091e-17 2.789301e-17
