# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024abvq
# CHANNEL = B+R
# EXPNUM = 24_332_034_002
# MJD-OBS = 60641.561574
# DATE-OBS = 2024-11-27T13:28:41
# EXPTIME = 1800.0s
# AIRMASS = 1.49
# FLUXCAL_RMS_B = 0.105 mag
# FLUXCAL_RMS_R = 0.074 mag
# RA = 10:42:20.03
# DEC = 06:11:54.72
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 9.475024e-17 3.999501e-17
3403.480000 1.067467e-16 4.068659e-17
3406.480000 9.672626e-17 3.625376e-17
3409.480000 1.210384e-16 3.441876e-17
3412.480000 4.298079e-17 3.744770e-17
3415.480000 5.314309e-17 3.863006e-17
3418.480000 5.359919e-17 3.440678e-17
3421.480000 3.928839e-17 3.270756e-17
3424.480000 1.003467e-16 3.750209e-17
3427.480000 1.496474e-16 3.850582e-17
3430.480000 1.322842e-16 3.318309e-17
3433.480000 1.458095e-16 3.283876e-17
3436.480000 1.806477e-16 3.728576e-17
3439.480000 1.424725e-16 3.622063e-17
3442.480000 1.733580e-16 3.186851e-17
3445.480000 1.914335e-16 3.245327e-17
3448.480000 1.292086e-16 3.489061e-17
3451.480000 9.652329e-17 3.320773e-17
3454.480000 9.015643e-17 2.976782e-17
3457.480000 1.224211e-16 3.117421e-17
3460.480000 1.648394e-16 3.388115e-17
3463.480000 1.275617e-16 3.178341e-17
3466.480000 1.440052e-16 2.932697e-17
3469.480000 1.614771e-16 3.169532e-17
3472.480000 1.704106e-16 3.273952e-17
3475.480000 1.375578e-16 2.994126e-17
3478.480000 1.410197e-16 2.827756e-17
3481.480000 1.434255e-16 3.142644e-17
3484.480000 9.996594e-17 3.246362e-17
3487.480000 1.342851e-16 2.938748e-17
3490.480000 1.629840e-16 2.838564e-17
3493.480000 1.547779e-16 3.144482e-17
3496.480000 1.656534e-16 3.129543e-17
3499.480000 1.426551e-16 2.737592e-17
3502.480000 1.690747e-16 2.738920e-17
3505.480000 1.701107e-16 3.023566e-17
3508.480000 1.821942e-16 3.031197e-17
3511.480000 1.966241e-16 2.674259e-17
3514.480000 1.861797e-16 2.711588e-17
3517.480000 1.677366e-16 2.972849e-17
3520.480000 1.915722e-16 2.903594e-17
3523.480000 2.348213e-16 2.635113e-17
3526.480000 2.031138e-16 2.729702e-17
3529.480000 1.639160e-16 2.947378e-17
3532.480000 2.311870e-16 2.824560e-17
3535.480000 2.598435e-16 2.593831e-17
3538.480000 2.521318e-16 2.787698e-17
3541.480000 2.371936e-16 2.927560e-17
3544.480000 2.496010e-16 2.740643e-17
3547.480000 2.340882e-16 2.569149e-17
3550.480000 2.570309e-16 2.828264e-17
3553.480000 2.495818e-16 2.893987e-17
3556.480000 2.262728e-16 2.621787e-17
3559.480000 2.233183e-16 2.533264e-17
3562.480000 2.316034e-16 2.825496e-17
3565.480000 2.379033e-16 2.842726e-17
3568.480000 2.499140e-16 2.514818e-17
3571.480000 2.294192e-16 2.468993e-17
3574.480000 2.779678e-16 2.848970e-17
3577.480000 2.640189e-16 2.829406e-17
3580.480000 2.331696e-16 2.476372e-17
3583.480000 2.599022e-16 2.526399e-17
3586.480000 2.750017e-16 2.811571e-17
3589.480000 2.659690e-16 2.729785e-17
3592.480000 2.266739e-16 2.422601e-17
3595.480000 2.394251e-16 2.546977e-17
3598.480000 2.736408e-16 2.776598e-17
3601.480000 3.129552e-16 2.659547e-17
3604.480000 2.755261e-16 2.388368e-17
3607.480000 2.345782e-16 2.524843e-17
3610.480000 2.318488e-16 2.661764e-17
3613.480000 2.717606e-16 2.503355e-17
3616.480000 2.679894e-16 2.350715e-17
3619.480000 2.308240e-16 2.545600e-17
3622.480000 2.388494e-16 2.621444e-17
3625.480000 2.669773e-16 2.389850e-17
3628.480000 2.696676e-16 2.305841e-17
3631.480000 2.427556e-16 2.574480e-17
3634.480000 2.940020e-16 2.627830e-17
3637.480000 2.797966e-16 2.341106e-17
3640.480000 2.756230e-16 2.294943e-17
3643.480000 2.509150e-16 2.578133e-17
3646.480000 2.629477e-16 2.573011e-17
3649.480000 2.951299e-16 2.260662e-17
3652.480000 3.021197e-16 2.291420e-17
3655.480000 2.711069e-16 2.527622e-17
3658.480000 2.749154e-16 2.470924e-17
3661.480000 2.497559e-16 2.204867e-17
3664.480000 2.608304e-16 2.309833e-17
3667.480000 3.260786e-16 2.543677e-17
3670.480000 3.320310e-16 2.422733e-17
3673.480000 3.247324e-16 2.199130e-17
3676.480000 3.182358e-16 2.329867e-17
3679.480000 3.317156e-16 2.484725e-17
3682.480000 3.011350e-16 2.293422e-17
3685.480000 2.714846e-16 2.099672e-17
3688.480000 2.487949e-16 2.257642e-17
3691.480000 2.852435e-16 2.381361e-17
3694.480000 2.861908e-16 2.176673e-17
3697.480000 2.532324e-16 2.057456e-17
3700.480000 2.485881e-16 2.293247e-17
3703.480000 2.808030e-16 2.352051e-17
3706.480000 2.542626e-16 2.093815e-17
3709.480000 2.566371e-16 2.040995e-17
3712.480000 2.595838e-16 2.325221e-17
3715.480000 2.619785e-16 2.315976e-17
3718.480000 2.309995e-16 2.004407e-17
3721.480000 2.171376e-16 2.010771e-17
3724.480000 2.416447e-16 2.248518e-17
3727.480000 2.387662e-16 2.221878e-17
3730.480000 2.111329e-16 1.958218e-17
3733.480000 1.873712e-16 2.014392e-17
3736.480000 1.811663e-16 2.196153e-17
3739.480000 1.501498e-16 2.105204e-17
3742.480000 1.556373e-16 1.925670e-17
3745.480000 1.623834e-16 2.058462e-17
3748.480000 1.646771e-16 2.188517e-17
3751.480000 1.382422e-16 2.036879e-17
3754.480000 1.374037e-16 1.878852e-17
3757.480000 1.189032e-16 2.033594e-17
3760.480000 1.108556e-16 2.115199e-17
3763.480000 9.069514e-17 1.929948e-17
3766.480000 7.218938e-17 1.830545e-17
3769.480000 7.689583e-17 2.038564e-17
3772.480000 7.007302e-17 2.079716e-17
3775.480000 1.001594e-16 1.888436e-17
3778.480000 1.002700e-16 1.844759e-17
3781.480000 1.127109e-16 2.095210e-17
3784.480000 1.315700e-16 2.109546e-17
3787.480000 1.055467e-16 1.836624e-17
3790.480000 7.825191e-17 1.797784e-17
3793.480000 5.695748e-17 1.997581e-17
3796.480000 9.093348e-17 1.994444e-17
3799.480000 9.640921e-17 1.766975e-17
3802.480000 1.067370e-16 1.820637e-17
3805.480000 1.092349e-16 2.001918e-17
3808.480000 1.036865e-16 1.926489e-17
3811.480000 8.592420e-17 1.734525e-17
3814.480000 8.548586e-17 1.830792e-17
3817.480000 1.086156e-16 1.963224e-17
3820.480000 1.251431e-16 1.865556e-17
3823.480000 1.312189e-16 1.723496e-17
3826.480000 1.098315e-16 1.846418e-17
3829.480000 1.103294e-16 1.970244e-17
3832.480000 1.014291e-16 1.878402e-17
3835.480000 1.262087e-16 1.848640e-17
3838.480000 1.496772e-16 2.007427e-17
3841.480000 1.632366e-16 1.988837e-17
3844.480000 1.533967e-16 1.739246e-17
3847.480000 1.477509e-16 1.673729e-17
3850.480000 1.378030e-16 1.882173e-17
3853.480000 1.523458e-16 1.892906e-17
3856.480000 1.322356e-16 1.654663e-17
3859.480000 1.444080e-16 1.646293e-17
3862.480000 1.732079e-16 1.871169e-17
3865.480000 2.082448e-16 1.867378e-17
3868.480000 2.125801e-16 1.658165e-17
3871.480000 1.933880e-16 1.684554e-17
3874.480000 1.842251e-16 1.835963e-17
3877.480000 1.848124e-16 1.770981e-17
3880.480000 1.980580e-16 1.604636e-17
3883.480000 2.233777e-16 1.715923e-17
3886.480000 2.162236e-16 1.846227e-17
3889.480000 2.064760e-16 1.749513e-17
3892.480000 1.799024e-16 1.598585e-17
3895.480000 1.961390e-16 1.742353e-17
3898.480000 2.001776e-16 1.864590e-17
3901.480000 2.025819e-16 1.730392e-17
3904.480000 1.874401e-16 1.623399e-17
3907.480000 2.140579e-16 1.824614e-17
3910.480000 2.522210e-16 1.905478e-17
3913.480000 2.162568e-16 1.728677e-17
3916.480000 2.720007e-16 1.703037e-17
3919.480000 2.702420e-16 1.894306e-17
3922.480000 2.515398e-16 1.908468e-17
3925.480000 2.240847e-16 1.674692e-17
3928.480000 2.321640e-16 1.655909e-17
3931.480000 2.325677e-16 1.858233e-17
3934.480000 2.460648e-16 1.849112e-17
3937.480000 2.508965e-16 1.612946e-17
3940.480000 2.444156e-16 1.637923e-17
3943.480000 2.655610e-16 1.835848e-17
3946.480000 2.527050e-16 1.779139e-17
3949.480000 2.673743e-16 1.605163e-17
3952.480000 2.639717e-16 1.690636e-17
3955.480000 2.739936e-16 1.856674e-17
3958.480000 2.620335e-16 1.888562e-17
3961.480000 2.728400e-16 1.728023e-17
3964.480000 3.074278e-16 1.746486e-17
3967.480000 2.873939e-16 1.813414e-17
3970.480000 2.956641e-16 1.696908e-17
3973.480000 2.939131e-16 1.611168e-17
3976.480000 3.091059e-16 1.790010e-17
3979.480000 3.303689e-16 1.879359e-17
3982.480000 3.319005e-16 1.730730e-17
3985.480000 3.244680e-16 1.648371e-17
3988.480000 3.445641e-16 1.865377e-17
3991.480000 3.798940e-16 1.904664e-17
3994.480000 3.408617e-16 1.669492e-17
3997.480000 3.336597e-16 1.643081e-17
4000.480000 3.367321e-16 1.865571e-17
4003.480000 3.049156e-16 1.840931e-17
4006.480000 3.166988e-16 1.616667e-17
4009.480000 2.993157e-16 1.642716e-17
4012.480000 3.035701e-16 1.837311e-17
4015.480000 3.092938e-16 1.825200e-17
4018.480000 3.157292e-16 1.654212e-17
4021.480000 3.077492e-16 1.738827e-17
4024.480000 3.578830e-16 1.922688e-17
4027.480000 4.010171e-16 1.885512e-17
4030.480000 4.185657e-16 1.759868e-17
4033.480000 4.265637e-16 1.903076e-17
4036.480000 4.261568e-16 2.019859e-17
4039.480000 4.593449e-16 1.899107e-17
4042.480000 4.776616e-16 1.784351e-17
4045.480000 4.399015e-16 1.911101e-17
4048.480000 4.002919e-16 1.930516e-17
4051.480000 4.572391e-16 1.774959e-17
4054.480000 4.858134e-16 1.699166e-17
4057.480000 4.632566e-16 1.857785e-17
4060.480000 4.488316e-16 1.870438e-17
4063.480000 4.370033e-16 1.661845e-17
4066.480000 4.101265e-16 1.618553e-17
4069.480000 4.168574e-16 1.833688e-17
4072.480000 4.201102e-16 1.840235e-17
4075.480000 4.102061e-16 1.582035e-17
4078.480000 4.129997e-16 1.584548e-17
4081.480000 3.938888e-16 1.751156e-17
4084.480000 3.709335e-16 1.699938e-17
4087.480000 3.596615e-16 1.507331e-17
4090.480000 3.566270e-16 1.560553e-17
4093.480000 3.677592e-16 1.720963e-17
4096.480000 3.433015e-16 1.643485e-17
4099.480000 3.550861e-16 1.496963e-17
4102.480000 3.360005e-16 1.581372e-17
4105.480000 3.193834e-16 1.675996e-17
4108.480000 3.742782e-16 1.608436e-17
4111.480000 3.195452e-16 1.479304e-17
4114.480000 3.078561e-16 1.597851e-17
4117.480000 3.271097e-16 1.697343e-17
4120.480000 3.282333e-16 1.567726e-17
4123.480000 3.494437e-16 1.509983e-17
4126.480000 3.799128e-16 1.720089e-17
4129.480000 3.476658e-16 1.761472e-17
