# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024aeed
# CHANNEL = B+R
# EXPNUM = 24_360_046_002
# MJD-OBS = 60669.637564
# DATE-OBS = 2024-12-25T15:18:07
# EXPTIME = 1800.0s
# AIRMASS = 1.33
# FLUXCAL_RMS_B = 0.105 mag
# FLUXCAL_RMS_R = 0.074 mag
# RA = 14:08:22.90
# DEC = 16:55:42.44
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 -7.906479e-17 4.049533e-17
3403.480000 -2.593033e-17 4.141328e-17
3406.480000 2.778861e-18 3.797533e-17
3409.480000 1.940466e-17 3.598645e-17
3412.480000 -2.856131e-17 3.944437e-17
3415.480000 -4.147630e-17 3.973283e-17
3418.480000 -2.159668e-17 3.525426e-17
3421.480000 -6.268730e-17 3.414351e-17
3424.480000 -1.035150e-16 3.807646e-17
3427.480000 5.857165e-18 3.821409e-17
3430.480000 9.294870e-18 3.322720e-17
3433.480000 -1.071171e-18 3.293072e-17
3436.480000 1.449750e-17 3.664059e-17
3439.480000 -5.096200e-17 3.524669e-17
3442.480000 3.357797e-18 3.107183e-17
3445.480000 -1.578530e-17 3.164870e-17
3448.480000 -2.159719e-17 3.458251e-17
3451.480000 -3.047168e-17 3.315023e-17
3454.480000 -7.021151e-19 3.041558e-17
3457.480000 1.583664e-17 3.238651e-17
3460.480000 -3.548811e-17 3.393531e-17
3463.480000 -3.436064e-17 3.182573e-17
3466.480000 -4.897024e-17 2.888964e-17
3469.480000 -4.154582e-17 3.140187e-17
3472.480000 -3.890642e-18 3.294559e-17
3475.480000 2.579947e-17 3.048639e-17
3478.480000 2.146734e-18 2.860885e-17
3481.480000 -3.747037e-17 3.124525e-17
3484.480000 -3.134723e-18 3.232412e-17
3487.480000 -3.556196e-17 2.909250e-17
3490.480000 -3.601739e-17 2.861542e-17
3493.480000 8.909543e-18 3.305147e-17
3496.480000 -1.088820e-17 3.665158e-17
3499.480000 2.034618e-18 2.814496e-17
3502.480000 -9.872420e-18 2.802527e-17
3505.480000 5.502060e-17 3.159425e-17
3508.480000 1.905370e-17 3.087930e-17
3511.480000 -3.159084e-17 2.668401e-17
3514.480000 -2.997541e-18 2.727239e-17
3517.480000 6.796944e-19 2.953877e-17
3520.480000 1.044039e-17 2.852828e-17
3523.480000 1.477545e-17 2.532608e-17
3526.480000 -6.150024e-18 2.615341e-17
3529.480000 -1.438632e-17 2.783586e-17
3532.480000 -1.343959e-17 2.646091e-17
3535.480000 1.460194e-17 2.472951e-17
3538.480000 -1.264706e-17 2.651530e-17
3541.480000 -8.959211e-18 2.793602e-17
3544.480000 3.617229e-18 2.616258e-17
3547.480000 2.039045e-17 2.496933e-17
3550.480000 9.022213e-18 2.792544e-17
3553.480000 1.394403e-17 2.872035e-17
3556.480000 2.842344e-17 2.588089e-17
3559.480000 2.513574e-18 2.504717e-17
3562.480000 -4.318244e-18 2.830103e-17
3565.480000 3.198031e-17 2.914722e-17
3568.480000 2.396019e-17 2.584600e-17
3571.480000 3.409877e-18 2.515987e-17
3574.480000 6.990719e-18 2.821147e-17
3577.480000 8.956422e-18 2.774304e-17
3580.480000 -1.965942e-17 2.406232e-17
3583.480000 -1.030276e-17 2.441998e-17
3586.480000 5.655882e-18 2.684929e-17
3589.480000 2.120353e-17 2.574204e-17
3592.480000 8.589580e-18 2.272963e-17
3595.480000 -4.982516e-18 2.383418e-17
3598.480000 -2.217674e-17 2.579110e-17
3601.480000 1.343097e-17 2.456285e-17
3604.480000 2.088615e-17 2.234316e-17
3607.480000 5.450627e-18 2.352540e-17
3610.480000 8.318202e-18 2.470816e-17
3613.480000 2.784832e-17 2.291815e-17
3616.480000 4.441287e-17 2.157874e-17
3619.480000 5.595449e-17 2.388580e-17
3622.480000 1.339715e-17 2.460690e-17
3625.480000 -2.726256e-18 2.244808e-17
3628.480000 -1.873418e-17 2.177958e-17
3631.480000 1.236356e-17 2.428427e-17
3634.480000 2.735465e-17 2.461399e-17
3637.480000 3.723204e-17 2.196722e-17
3640.480000 6.201561e-17 2.196561e-17
