# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024cvi
# CHANNEL = B+R
# EXPNUM = 24_055_054_002
# MJD-OBS = 60364.482332
# DATE-OBS = 2024-02-24T11:34:35
# EXPTIME = 1800.0s
# AIRMASS = 1.31
# FLUXCAL_RMS_B = 0.082 mag
# FLUXCAL_RMS_R = 0.069 mag
# RA = 12:50:04.99
# DEC = -14:43:56.99
# wl fl err
# [A] [erg/s/cm2/A]
4300.480000 2.463567e-16 2.935014e-17
4303.480000 2.883619e-16 2.773475e-17
4306.480000 2.479028e-16 2.417166e-17
4309.480000 2.687584e-16 2.529263e-17
4312.480000 2.194045e-16 2.723789e-17
4315.480000 2.632155e-16 2.679757e-17
4318.480000 2.379766e-16 2.625937e-17
4321.480000 2.025343e-16 2.940027e-17
4324.480000 2.142019e-16 3.125775e-17
4327.480000 2.019484e-16 2.819616e-17
4330.480000 1.741940e-16 2.604202e-17
4333.480000 1.825095e-16 2.953504e-17
4336.480000 2.433448e-16 3.121839e-17
4339.480000 2.559177e-16 2.788609e-17
4342.480000 1.711228e-16 2.591216e-17
4345.480000 1.547667e-16 2.888244e-17
4348.480000 2.114707e-16 2.990733e-17
4351.480000 2.527926e-16 2.744317e-17
4354.480000 2.185869e-16 2.697950e-17
4357.480000 1.515751e-16 3.040390e-17
4360.480000 1.659519e-16 3.058235e-17
4363.480000 1.969378e-16 2.732133e-17
4366.480000 2.112268e-16 2.798997e-17
4369.480000 2.169704e-16 3.132861e-17
4372.480000 2.105357e-16 3.035545e-17
4375.480000 2.409334e-16 2.688136e-17
4378.480000 2.229973e-16 2.772077e-17
4381.480000 1.892234e-16 3.007845e-17
4384.480000 1.998283e-16 2.843714e-17
4387.480000 1.972120e-16 2.525621e-17
4390.480000 2.366815e-16 2.722832e-17
4393.480000 2.236944e-16 2.957817e-17
4396.480000 2.218112e-16 2.797960e-17
4399.480000 2.057205e-16 2.637870e-17
4402.480000 1.918625e-16 2.881304e-17
4405.480000 2.013331e-16 2.976289e-17
4408.480000 2.031763e-16 2.718318e-17
4411.480000 1.961805e-16 2.624234e-17
4414.480000 1.752619e-16 2.986743e-17
4417.480000 3.330672e-16 3.104171e-17
4420.480000 3.009994e-16 2.774427e-17
