# SNID ztf24aagpwsh
# OBSERVER='Rich/Caceres/Wise/Hinds'
# RA 100.58212499999999
# OBS_DATE 2024-04-03 04:17:42.00
# DEC 41.95780555555556
# INSTRUMENT KAST
#wavelength flux flux_err
3586.48301868 0.03386557 0.03368503
3587.50741361 0.09256769 0.03874549
3588.53180854 0.08915663 0.03878311
3589.55620348 0.03077166 0.03529329
3590.58059841 0.05288918 0.03622241
3591.60499335 0.03522970 0.03638267
3592.62938828 0.06564855 0.03772731
3593.65378321 0.07755914 0.03410194
3594.67817815 0.03094657 0.03424242
3595.70257308 0.01508835 0.03345421
3596.72696802 0.03439581 0.03420597
3597.75136295 0.02778556 0.03305086
3598.77575788 0.03741331 0.03660285
3599.80015282 0.04081008 0.03611732
3600.82454775 0.00703475 0.03283529
3601.84894269 0.08939875 0.03853480
3602.87333762 0.05576256 0.03310523
3603.89773256 0.00026758 0.03145048
3604.92212749 0.00352294 0.03151031
3605.94652242 0.01425676 0.03149165
3606.97091736 0.01269810 0.03354132
3607.99531229 0.06202744 0.03470650
3609.01970723 0.07399616 0.03435735
3610.04410216 0.07726063 0.03559403
3611.06849709 0.06307665 0.03547439
3612.09289203 0.04411120 0.03605841
3613.11728696 0.04167601 0.03674093
3614.14168190 0.05805700 0.03942353
3615.16607683 0.09201231 0.04204668
3616.19047176 0.10827448 0.04231706
3617.21486670 0.09151553 0.04173974
3618.23926163 0.03023231 0.03846090
3619.26365657 0.06351127 0.03867450
3620.28805150 0.08028252 0.04152446
3621.31244643 0.05824727 0.03692429
3622.33684137 0.02755605 0.03658319
3623.36123630 0.05376382 0.03723684
3624.38563124 -0.06847310 0.04317710
3625.41002617 -0.12964663 0.04638685
3626.43442111 0.03567272 0.03980672
3627.45881604 0.06629607 0.03860503
3628.48321097 -0.00888660 0.03783613
3629.50760591 0.04189303 0.04251057
3630.53200084 0.07048866 0.04358035
3631.55639578 0.06562080 0.04211775
3632.58079071 0.08945759 0.04431243
3633.60518564 0.02730030 0.04010778
3634.62958058 0.08880156 0.04461907
3635.65397551 0.07066542 0.04319196
3636.67837045 0.08354213 0.04308695
3637.70276538 0.07780921 0.04316202
3638.72716031 0.06898721 0.04074183
3639.75155525 0.08222058 0.04205804
3640.77595018 0.04387698 0.04103960
3641.80034512 0.01198998 0.03949033
3642.82474005 0.09085781 0.04281871
3643.84913499 0.08183201 0.04210218
3644.87352992 0.11178736 0.04272838
3645.89792485 0.12202843 0.04523883
3646.92231979 0.14235608 0.04981629
3647.94671472 0.10905696 0.05444710
3648.97110966 0.04991752 0.05619659
3649.99550459 0.03569208 0.05498583
3651.01989952 0.08562054 0.05207717
3652.04429446 0.07157637 0.04911134
3653.06868939 0.05681491 0.04795161
3654.09308433 0.04239315 0.04783649
3655.11747926 0.00284882 0.04369791
3656.14187419 0.05425794 0.04302341
3657.16626913 0.05366928 0.04147747
3658.19066406 0.04514481 0.03962089
3659.21505900 0.03148247 0.03874248
3660.23945393 0.07665733 0.04396842
3661.26384887 0.08523928 0.04602466
3662.28824380 0.08593210 0.04620605
3663.31263873 0.05345594 0.04429849
3664.33703367 0.03699448 0.03867683
3665.36142860 0.04621049 0.03700886
3666.38582354 0.06958909 0.03698646
3667.41021847 0.05223472 0.03498893
3668.43461340 0.05201629 0.03496623
3669.45900834 0.06025666 0.03607913
3670.48340327 0.07489812 0.03750361
3671.50779821 0.08720407 0.03707537
3672.53219314 0.08975022 0.03579028
3673.55658807 0.08023430 0.03626514
3674.58098301 0.11868051 0.03677476
3675.60537794 0.06038163 0.03477328
3676.62977288 0.02394418 0.03150930
3677.65416781 0.01581050 0.03019942
3678.67856274 0.05122714 0.03331640
3679.70295768 0.09247999 0.03593928
3680.72735261 0.06852414 0.03373747
3681.75174755 0.01461045 0.02935690
3682.77614248 0.03786615 0.03055124
3683.80053742 0.06660049 0.03330515
3684.82493235 0.08622267 0.03347354
3685.84932728 0.07074502 0.03272848
3686.87372222 0.07234375 0.03345657
3687.89811715 0.08435509 0.03422610
3688.92251209 0.06453457 0.03252170
3689.94690702 0.01666241 0.02983679
3690.97130195 0.09820220 0.03270050
3691.99569689 0.04791681 0.03020729
3693.02009182 0.06737135 0.02793078
3694.04448676 0.02793448 0.02859783
3695.06888169 0.09181552 0.03398231
3696.09327662 0.11062956 0.03612658
3697.11767156 0.03854567 0.03270758
3698.14206649 0.03190339 0.03253826
3699.16646143 0.08192603 0.03570418
3700.19085636 0.06316204 0.03277792
3701.21525130 0.09713717 0.03580173
3702.23964623 0.06416740 0.03440368
3703.26404116 0.07006480 0.03277699
3704.28843610 0.04968957 0.03186622
3705.31283103 0.07220180 0.03325156
3706.33722597 0.07375485 0.03317653
3707.36162090 0.05694968 0.03121565
3708.38601583 0.05260588 0.03071924
3709.41041077 0.05201057 0.03045421
3710.43480570 0.03409919 0.02895114
3711.45920064 0.07302412 0.03166040
3712.48359557 0.07836501 0.03022126
3713.50799050 0.09942655 0.03215027
3714.53238544 0.08063004 0.03090488
3715.55678037 0.05719633 0.02888015
3716.58117531 0.05287486 0.02830020
3717.60557024 0.03535981 0.02725296
3718.62996518 0.03080726 0.02586384
3719.65436011 0.07480624 0.02864856
3720.67875504 0.04095399 0.02577837
3721.70314998 0.03338751 0.02497341
