# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024fkw
# CHANNEL = B+R
# EXPNUM = 24_097_022_003
# MJD-OBS = 60406.258571
# DATE-OBS = 2024-04-06T06:12:22
# EXPTIME = 1800.0s
# AIRMASS = 1.22
# FLUXCAL_RMS_B = 0.082 mag
# FLUXCAL_RMS_R = 0.069 mag
# RA = 09:00:52.51
# DEC = 55:08:08.22
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 1.166103e-17 2.785058e-17
3403.480000 -2.360246e-17 2.801965e-17
3406.480000 -2.718014e-17 2.521713e-17
3409.480000 -2.465927e-17 2.370650e-17
3412.480000 1.096882e-17 2.699731e-17
3415.480000 7.706525e-18 2.789125e-17
3418.480000 -9.979460e-18 2.440181e-17
3421.480000 -9.385549e-18 2.357393e-17
3424.480000 -3.576915e-18 2.624696e-17
3427.480000 1.662776e-17 2.573452e-17
3430.480000 2.850575e-17 2.262604e-17
3433.480000 6.012740e-17 2.280493e-17
3436.480000 6.323749e-17 2.538029e-17
3439.480000 1.428351e-17 2.500260e-17
3442.480000 8.077870e-18 2.224852e-17
3445.480000 1.934877e-17 2.266637e-17
3448.480000 1.343517e-17 2.401595e-17
3451.480000 1.495835e-17 2.316811e-17
3454.480000 3.325406e-17 2.105352e-17
3457.480000 3.753140e-17 2.238368e-17
3460.480000 1.952272e-17 2.437234e-17
3463.480000 1.216606e-17 2.338549e-17
3466.480000 2.459208e-17 2.163545e-17
3469.480000 6.439532e-17 2.366980e-17
3472.480000 6.617815e-17 2.427791e-17
3475.480000 2.683293e-17 2.240150e-17
3478.480000 4.711861e-17 2.113994e-17
3481.480000 8.189155e-17 2.416954e-17
3484.480000 1.277830e-16 2.518647e-17
3487.480000 1.193046e-16 2.364149e-17
3490.480000 1.277461e-16 2.248593e-17
3493.480000 9.447396e-17 2.474170e-17
3496.480000 4.923897e-17 2.475703e-17
3499.480000 7.966459e-17 2.207854e-17
3502.480000 6.692756e-17 2.191239e-17
3505.480000 6.785644e-17 2.479474e-17
3508.480000 5.685057e-17 2.482799e-17
3511.480000 8.241099e-17 2.193358e-17
3514.480000 6.275576e-17 2.238884e-17
3517.480000 2.030027e-17 2.448178e-17
3520.480000 5.956633e-17 2.377706e-17
3523.480000 1.246162e-16 2.131620e-17
3526.480000 1.131419e-16 2.217668e-17
3529.480000 9.858626e-17 2.439450e-17
3532.480000 8.062302e-17 2.294698e-17
3535.480000 6.353403e-17 2.086281e-17
3538.480000 1.061618e-16 2.271056e-17
3541.480000 1.025855e-16 2.445779e-17
3544.480000 8.309136e-17 2.289192e-17
3547.480000 7.689614e-17 2.152920e-17
3550.480000 7.786718e-17 2.402890e-17
3553.480000 9.799607e-17 2.468195e-17
3556.480000 8.582849e-17 2.249132e-17
3559.480000 4.268505e-17 2.177736e-17
3562.480000 7.948308e-17 2.449443e-17
3565.480000 8.513570e-17 2.468950e-17
3568.480000 1.183370e-16 2.217301e-17
3571.480000 8.346017e-17 2.200442e-17
3574.480000 7.515471e-17 2.519144e-17
3577.480000 1.039755e-16 2.520248e-17
3580.480000 1.120911e-16 2.231638e-17
3583.480000 1.097239e-16 2.262364e-17
3586.480000 1.273116e-16 2.435194e-17
3589.480000 1.196282e-16 2.378023e-17
3592.480000 1.494054e-16 2.134162e-17
3595.480000 1.623185e-16 2.212393e-17
3598.480000 1.840027e-16 2.362162e-17
3601.480000 1.645897e-16 2.239524e-17
3604.480000 1.450995e-16 2.045868e-17
3607.480000 1.064866e-16 2.125457e-17
3610.480000 1.327950e-16 2.252912e-17
3613.480000 9.960879e-17 2.072903e-17
3616.480000 1.090671e-16 1.952099e-17
3619.480000 1.777093e-16 2.163148e-17
3622.480000 1.990290e-16 2.297536e-17
3625.480000 1.594034e-16 2.191675e-17
3628.480000 1.604889e-16 2.589005e-17
3631.480000 1.725305e-16 2.611173e-17
3634.480000 1.546280e-16 2.332952e-17
3637.480000 1.240206e-16 2.071738e-17
3640.480000 1.336199e-16 2.043365e-17
3643.480000 1.699389e-16 2.300959e-17
3646.480000 1.761615e-16 2.281770e-17
3649.480000 1.433625e-16 1.963180e-17
3652.480000 1.459633e-16 1.960857e-17
3655.480000 1.746633e-16 2.234537e-17
3658.480000 1.732135e-16 2.176149e-17
3661.480000 1.483506e-16 1.944606e-17
3664.480000 1.262680e-16 1.949841e-17
3667.480000 1.400260e-16 2.094416e-17
3670.480000 1.393962e-16 1.956578e-17
3673.480000 1.351306e-16 1.760841e-17
3676.480000 1.560768e-16 1.916714e-17
3679.480000 1.623750e-16 2.039233e-17
3682.480000 1.551237e-16 1.908430e-17
3685.480000 1.427259e-16 1.857313e-17
3688.480000 1.491370e-16 1.949877e-17
3691.480000 1.768529e-16 1.996706e-17
3694.480000 1.592464e-16 1.808792e-17
3697.480000 1.689822e-16 1.724760e-17
3700.480000 1.632578e-16 1.933946e-17
3703.480000 1.728088e-16 1.987463e-17
3706.480000 1.774305e-16 1.787523e-17
3709.480000 1.738670e-16 1.739630e-17
3712.480000 1.642737e-16 1.966853e-17
3715.480000 1.610187e-16 1.962676e-17
3718.480000 1.662652e-16 1.707400e-17
3721.480000 1.720850e-16 1.729870e-17
3724.480000 1.903840e-16 1.948124e-17
3727.480000 1.948442e-16 1.896169e-17
3730.480000 1.953738e-16 1.698964e-17
3733.480000 1.940310e-16 1.778534e-17
3736.480000 2.129210e-16 1.962032e-17
3739.480000 1.895738e-16 1.878762e-17
3742.480000 2.175680e-16 1.719068e-17
3745.480000 2.340078e-16 1.830633e-17
3748.480000 1.977115e-16 1.962123e-17
3751.480000 1.550362e-16 1.805827e-17
3754.480000 1.417693e-16 1.657182e-17
3757.480000 1.708937e-16 1.811954e-17
3760.480000 1.955670e-16 1.896594e-17
3763.480000 1.886331e-16 1.727706e-17
3766.480000 1.640197e-16 1.630881e-17
3769.480000 1.691138e-16 1.819596e-17
3772.480000 1.864934e-16 1.856830e-17
3775.480000 1.555750e-16 1.644885e-17
3778.480000 1.461429e-16 1.631295e-17
3781.480000 1.686054e-16 1.872239e-17
3784.480000 1.282004e-16 1.834086e-17
3787.480000 1.248897e-16 1.597827e-17
3790.480000 1.558018e-16 1.606698e-17
3793.480000 1.659107e-16 1.820764e-17
3796.480000 1.613626e-16 1.791302e-17
3799.480000 1.523277e-16 1.556438e-17
3802.480000 1.256479e-16 1.590351e-17
3805.480000 9.798476e-17 1.718260e-17
3808.480000 1.221875e-16 1.653248e-17
3811.480000 1.263571e-16 1.488168e-17
3814.480000 1.068186e-16 1.556561e-17
3817.480000 8.689101e-17 1.659450e-17
3820.480000 1.260011e-16 1.581001e-17
3823.480000 1.052872e-16 1.467609e-17
3826.480000 8.966051e-17 1.571675e-17
3829.480000 1.175790e-16 1.663523e-17
3832.480000 9.206423e-17 1.523521e-17
3835.480000 8.880080e-17 1.439936e-17
3838.480000 9.269716e-17 1.595689e-17
3841.480000 1.270531e-16 1.672822e-17
3844.480000 1.043372e-16 1.822364e-17
3847.480000 8.265334e-17 1.934560e-17
3850.480000 9.962279e-17 2.021039e-17
3853.480000 9.575428e-17 1.885087e-17
3856.480000 9.703033e-17 1.423363e-17
3859.480000 8.251241e-17 1.408690e-17
3862.480000 6.722699e-17 1.580783e-17
3865.480000 6.622649e-17 1.576970e-17
3868.480000 7.384660e-17 1.402991e-17
3871.480000 7.318937e-17 1.422694e-17
3874.480000 3.873607e-17 1.540583e-17
3877.480000 4.508134e-17 1.497852e-17
3880.480000 7.178873e-17 1.377990e-17
3883.480000 9.185445e-17 1.480438e-17
3886.480000 7.361622e-17 1.580778e-17
3889.480000 6.123284e-17 1.515915e-17
3892.480000 7.116860e-17 1.390553e-17
3895.480000 1.009767e-16 1.503295e-17
3898.480000 1.042753e-16 1.584302e-17
3901.480000 1.087490e-16 1.478396e-17
3904.480000 8.732397e-17 1.387645e-17
3907.480000 6.585459e-17 1.553343e-17
3910.480000 1.032082e-16 1.646290e-17
3913.480000 8.559449e-17 1.456845e-17
3916.480000 6.324739e-17 1.381144e-17
3919.480000 5.665436e-17 1.522930e-17
3922.480000 7.528855e-17 1.543720e-17
3925.480000 1.077484e-16 1.370217e-17
3928.480000 8.858199e-17 1.353654e-17
3931.480000 9.779871e-17 1.534775e-17
3934.480000 1.170646e-16 1.524727e-17
3937.480000 9.202663e-17 1.333888e-17
3940.480000 1.106755e-16 1.369132e-17
3943.480000 9.211642e-17 1.533262e-17
3946.480000 7.975310e-17 1.500194e-17
3949.480000 1.223629e-16 1.365382e-17
3952.480000 1.213911e-16 1.436200e-17
3955.480000 1.391336e-16 1.569674e-17
3958.480000 1.351288e-16 1.490337e-17
3961.480000 1.264586e-16 1.372160e-17
3964.480000 1.148293e-16 1.464402e-17
3967.480000 1.234132e-16 1.548451e-17
3970.480000 1.024680e-16 1.436583e-17
3973.480000 1.172861e-16 1.328061e-17
