# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024lgy
# CHANNEL = B+R
# EXPNUM = 24_173_009_002
# MJD-OBS = 60482.496840
# DATE-OBS = 2024-06-21T11:55:28
# EXPTIME = 1800.0s
# AIRMASS = 1.08
# FLUXCAL_RMS_B = 0.082 mag
# FLUXCAL_RMS_R = 0.069 mag
# RA = 20:32:52.00
# DEC = 03:09:55.00
# wl fl err
# [A] [erg/s/cm2/A]
4252.480000 1.704166e-16 2.716028e-17
4255.480000 1.458136e-16 2.837207e-17
4258.480000 1.956804e-16 2.607970e-17
4261.480000 1.819017e-16 2.466290e-17
4264.480000 2.187441e-16 2.747105e-17
4267.480000 2.607320e-16 2.845442e-17
4270.480000 2.596765e-16 2.569942e-17
4273.480000 2.389668e-16 2.497143e-17
4276.480000 2.538141e-16 2.792746e-17
4279.480000 2.779306e-16 2.747675e-17
4282.480000 2.349926e-16 2.411385e-17
4285.480000 2.173118e-16 2.445215e-17
4288.480000 2.576652e-16 2.803248e-17
4291.480000 2.561871e-16 2.773383e-17
4294.480000 2.548346e-16 2.417971e-17
4297.480000 2.454800e-16 2.432483e-17
4300.480000 2.703956e-16 2.701402e-17
4303.480000 2.457153e-16 2.612244e-17
4306.480000 2.589278e-16 2.280142e-17
4309.480000 2.527680e-16 2.309279e-17
4312.480000 2.470758e-16 2.485055e-17
4315.480000 2.521681e-16 2.369938e-17
4318.480000 2.495545e-16 2.188720e-17
4321.480000 2.740423e-16 2.472533e-17
4324.480000 3.034940e-16 2.764535e-17
4327.480000 2.796354e-16 2.634085e-17
4330.480000 2.519998e-16 2.423749e-17
4333.480000 2.170927e-16 2.559706e-17
4336.480000 2.790825e-16 2.707401e-17
4339.480000 3.150870e-16 2.537439e-17
4342.480000 3.369761e-16 2.456788e-17
4345.480000 3.306662e-16 2.692541e-17
4348.480000 2.667091e-16 2.631385e-17
4351.480000 2.287588e-16 2.345290e-17
4354.480000 2.540790e-16 2.399992e-17
4357.480000 2.816121e-16 2.775018e-17
4360.480000 3.081833e-16 2.769267e-17
4363.480000 2.928106e-16 2.421224e-17
4366.480000 2.632224e-16 2.469781e-17
4369.480000 2.457150e-16 2.775224e-17
4372.480000 2.545777e-16 2.722413e-17
4375.480000 2.933657e-16 2.438342e-17
4378.480000 3.016565e-16 2.512026e-17
4381.480000 3.057919e-16 2.705133e-17
4384.480000 2.590260e-16 2.569271e-17
4387.480000 2.738025e-16 2.352115e-17
4390.480000 3.039753e-16 2.471753e-17
4393.480000 2.882401e-16 2.577627e-17
4396.480000 2.618085e-16 2.425428e-17
4399.480000 2.442213e-16 2.311893e-17
4402.480000 2.638691e-16 2.562574e-17
4405.480000 2.503521e-16 2.693188e-17
4408.480000 2.588282e-16 2.466600e-17
4411.480000 2.239755e-16 2.315197e-17
4414.480000 2.274636e-16 2.587652e-17
4417.480000 2.337699e-16 2.681264e-17
4420.480000 2.378926e-16 2.444322e-17
4423.480000 2.802123e-16 2.407042e-17
4426.480000 2.882897e-16 2.749411e-17
4429.480000 2.646892e-16 2.769739e-17
4432.480000 3.169492e-16 2.423747e-17
4435.480000 2.682453e-16 2.435040e-17
4438.480000 2.622667e-16 2.721399e-17
4441.480000 3.357255e-16 2.664672e-17
4444.480000 3.184760e-16 2.371846e-17
4447.480000 3.036713e-16 2.463996e-17
4450.480000 2.948863e-16 2.687701e-17
4453.480000 2.666728e-16 2.578561e-17
4456.480000 2.641000e-16 2.360191e-17
4459.480000 2.549105e-16 2.488553e-17
