# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = PS24ehb
# CHANNEL = B+R
# EXPNUM = 24_187_034_003
# MJD-OBS = 60496.433837
# DATE-OBS = 2024-07-05T10:24:45
# EXPTIME = 2400.0s
# AIRMASS = 1.27
# FLUXCAL_RMS_B = 0.082 mag
# FLUXCAL_RMS_R = 0.069 mag
# RA = 16:13:17.90
# DEC = 28:36:31.79
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 4.429325e-17 3.837511e-17
3403.480000 6.321112e-18 3.970114e-17
3406.480000 2.628423e-17 3.619573e-17
3409.480000 5.027345e-17 3.730680e-17
3412.480000 4.772450e-17 3.804332e-17
3415.480000 3.435549e-17 3.639628e-17
3418.480000 2.539522e-17 3.253619e-17
3421.480000 9.293241e-18 3.188534e-17
3424.480000 -5.757541e-17 3.575169e-17
3427.480000 -7.094898e-17 3.536835e-17
3430.480000 -1.414252e-17 3.072660e-17
3433.480000 8.381468e-18 3.049257e-17
3436.480000 3.046518e-17 3.344333e-17
3439.480000 3.767848e-17 3.269232e-17
3442.480000 5.144496e-18 2.810096e-17
3445.480000 6.490516e-18 2.824068e-17
3448.480000 4.696441e-17 3.120930e-17
3451.480000 2.590762e-17 2.962426e-17
3454.480000 8.354024e-17 2.692794e-17
3457.480000 3.976388e-17 2.748206e-17
3460.480000 2.491071e-17 2.939882e-17
3463.480000 1.111120e-17 2.716501e-17
3466.480000 1.231842e-17 2.477351e-17
3469.480000 1.447123e-17 2.674898e-17
3472.480000 6.286159e-17 2.835823e-17
3475.480000 4.057511e-17 2.588564e-17
3478.480000 -3.531354e-18 2.396981e-17
3481.480000 3.826644e-17 2.735391e-17
3484.480000 -4.216403e-17 2.658826e-17
3487.480000 8.338704e-18 2.455234e-17
3490.480000 2.263535e-17 2.361474e-17
3493.480000 -2.343031e-17 2.633208e-17
3496.480000 -1.164081e-17 2.639282e-17
3499.480000 8.508497e-18 2.297974e-17
3502.480000 -1.639765e-17 2.329540e-17
3505.480000 2.607121e-18 2.634095e-17
3508.480000 1.012729e-17 2.550761e-17
3511.480000 1.287310e-17 2.294725e-17
3514.480000 4.111570e-17 2.366627e-17
3517.480000 1.682499e-17 2.550623e-17
3520.480000 3.038089e-17 2.699025e-17
3523.480000 6.917358e-19 2.217385e-17
3526.480000 1.745208e-17 2.283082e-17
3529.480000 4.984184e-17 2.467087e-17
3532.480000 5.233478e-17 2.332936e-17
3535.480000 1.690734e-17 2.097745e-17
3538.480000 -9.268261e-18 2.217377e-17
3541.480000 8.602867e-18 2.412478e-17
3544.480000 -8.357310e-18 2.267061e-17
3547.480000 1.349038e-17 2.171050e-17
3550.480000 4.565524e-18 2.374496e-17
3553.480000 -2.978940e-18 2.441509e-17
3556.480000 -7.585672e-19 2.211549e-17
3559.480000 4.767488e-17 2.142304e-17
3562.480000 4.297296e-17 2.396398e-17
3565.480000 2.075422e-17 2.421068e-17
3568.480000 2.811257e-18 2.339087e-17
3571.480000 5.325424e-18 2.046465e-17
3574.480000 1.495380e-17 2.288348e-17
3577.480000 4.594045e-17 2.265109e-17
3580.480000 1.462899e-17 1.967581e-17
3583.480000 -1.238737e-17 1.982246e-17
3586.480000 1.435955e-17 2.200743e-17
3589.480000 3.722029e-17 2.192449e-17
3592.480000 1.711552e-17 1.943946e-17
3595.480000 3.659800e-17 2.056788e-17
3598.480000 3.833391e-17 2.213376e-17
3601.480000 2.857020e-17 2.108438e-17
3604.480000 3.880310e-17 1.936655e-17
3607.480000 1.275164e-18 2.000940e-17
3610.480000 1.661836e-17 2.448751e-17
3613.480000 2.434991e-17 2.015129e-17
3616.480000 1.590647e-17 1.819750e-17
3619.480000 1.675219e-17 1.997769e-17
3622.480000 4.638438e-17 2.077298e-17
3625.480000 2.595258e-17 1.915851e-17
3628.480000 7.216222e-18 1.816242e-17
3631.480000 1.367219e-17 2.043939e-17
3634.480000 6.501625e-18 2.045197e-17
3637.480000 1.218041e-17 1.823219e-17
3640.480000 5.452558e-17 1.871475e-17
3643.480000 2.143419e-17 2.040140e-17
3646.480000 2.725867e-17 2.025237e-17
3649.480000 5.629977e-17 1.794402e-17
3652.480000 6.510060e-17 1.817223e-17
3655.480000 2.612492e-17 1.987230e-17
3658.480000 2.456828e-17 1.945688e-17
3661.480000 1.264100e-17 1.729304e-17
3664.480000 2.282592e-17 1.816643e-17
3667.480000 2.860524e-17 1.957220e-17
3670.480000 1.560706e-17 1.862195e-17
3673.480000 2.619252e-17 1.694942e-17
3676.480000 4.529054e-17 1.797320e-17
3679.480000 5.715379e-17 1.988323e-17
3682.480000 3.054327e-17 1.774488e-17
3685.480000 3.588436e-19 1.592206e-17
3688.480000 1.959383e-17 1.731999e-17
3691.480000 2.416651e-17 1.797672e-17
3694.480000 4.259875e-17 1.665207e-17
3697.480000 3.335631e-17 1.580154e-17
3700.480000 5.356235e-18 1.747314e-17
3703.480000 9.261643e-18 1.789459e-17
3706.480000 5.214708e-17 1.613367e-17
3709.480000 5.187363e-17 1.572759e-17
3712.480000 5.917284e-17 1.795830e-17
3715.480000 4.777456e-17 1.813080e-17
3718.480000 3.967627e-17 1.588113e-17
3721.480000 5.151773e-17 1.559959e-17
3724.480000 3.661132e-17 1.706682e-17
3727.480000 2.662686e-17 1.668478e-17
3730.480000 2.530033e-17 1.501944e-17
3733.480000 5.372772e-18 1.563852e-17
3736.480000 1.325844e-18 1.734203e-17
3739.480000 1.575716e-17 1.686228e-17
3742.480000 3.491528e-17 1.519697e-17
3745.480000 4.190069e-17 1.605576e-17
3748.480000 3.909447e-17 1.700280e-17
3751.480000 3.736976e-17 1.589548e-17
3754.480000 1.329068e-17 1.425873e-17
3757.480000 1.272943e-17 1.534345e-17
3760.480000 2.194228e-17 1.628511e-17
3763.480000 4.213018e-17 1.480503e-17
3766.480000 4.631175e-17 1.389996e-17
3769.480000 4.837817e-17 1.528523e-17
3772.480000 2.998785e-17 1.510889e-17
3775.480000 2.588499e-17 1.366247e-17
3778.480000 1.612984e-17 1.342446e-17
3781.480000 8.207079e-18 1.540553e-17
3784.480000 2.969483e-17 1.527511e-17
3787.480000 1.782925e-17 1.332634e-17
3790.480000 2.293408e-17 1.329502e-17
3793.480000 2.205220e-17 1.468182e-17
3796.480000 2.156839e-17 1.438464e-17
3799.480000 1.893116e-17 1.256983e-17
3802.480000 -2.868278e-18 1.277664e-17
3805.480000 3.201127e-18 1.400537e-17
3808.480000 3.017041e-17 1.393448e-17
3811.480000 3.004026e-17 1.284838e-17
3814.480000 1.092764e-17 1.339112e-17
3817.480000 3.110238e-17 1.470696e-17
3820.480000 3.294251e-17 1.376812e-17
3823.480000 5.689838e-17 1.288612e-17
3826.480000 3.929713e-17 1.398059e-17
3829.480000 5.704232e-17 1.497457e-17
3832.480000 3.567642e-17 1.369096e-17
3835.480000 2.840427e-17 1.296223e-17
3838.480000 4.596200e-17 1.422482e-17
3841.480000 2.702722e-17 1.439182e-17
3844.480000 9.864122e-18 1.277879e-17
3847.480000 3.512964e-17 1.266118e-17
3850.480000 4.335600e-17 1.407842e-17
3853.480000 2.496833e-17 1.395217e-17
3856.480000 2.874642e-17 1.223399e-17
3859.480000 3.247335e-17 1.233838e-17
3862.480000 2.766277e-17 1.380872e-17
3865.480000 4.127615e-17 1.382695e-17
3868.480000 3.245083e-17 1.199002e-17
3871.480000 2.855400e-17 1.205435e-17
3874.480000 3.360462e-17 1.347044e-17
3877.480000 5.187825e-18 1.275065e-17
3880.480000 1.066673e-17 1.158519e-17
3883.480000 3.404324e-17 1.228852e-17
3886.480000 2.863220e-17 1.315023e-17
3889.480000 2.741710e-17 1.239615e-17
3892.480000 3.582097e-17 1.150854e-17
3895.480000 3.176257e-17 1.240423e-17
3898.480000 4.809150e-17 1.313896e-17
3901.480000 3.316050e-17 1.215528e-17
3904.480000 3.513920e-17 1.130127e-17
3907.480000 4.543903e-17 1.261705e-17
