# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024myw
# CHANNEL = B+R
# EXPNUM = 24_187_013_003
# MJD-OBS = 60496.260619
# DATE-OBS = 2024-07-05T06:15:19
# EXPTIME = 1800.0s
# AIRMASS = 1.32
# FLUXCAL_RMS_B = 0.082 mag
# FLUXCAL_RMS_R = 0.069 mag
# RA = 12:04:46.06
# DEC = 09:25:19.66
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 5.185771e-16 3.016897e-17
3403.480000 5.452778e-16 3.170588e-17
3406.480000 4.715581e-16 2.808305e-17
3409.480000 4.809116e-16 2.643383e-17
3412.480000 4.977827e-16 2.914299e-17
3415.480000 4.698262e-16 2.940191e-17
3418.480000 4.811865e-16 2.641301e-17
3421.480000 4.833793e-16 2.571263e-17
3424.480000 5.096232e-16 2.915367e-17
3427.480000 5.397377e-16 2.923004e-17
3430.480000 5.669071e-16 2.565911e-17
3433.480000 5.738208e-16 2.566740e-17
3436.480000 5.516497e-16 2.843426e-17
3439.480000 5.610708e-16 2.783173e-17
3442.480000 5.640791e-16 2.444905e-17
3445.480000 5.409444e-16 2.529222e-17
3448.480000 5.848694e-16 2.804257e-17
3451.480000 6.285026e-16 2.699256e-17
3454.480000 6.293986e-16 2.456648e-17
3457.480000 6.757197e-16 2.648133e-17
3460.480000 6.630029e-16 2.820226e-17
3463.480000 6.652418e-16 2.652930e-17
3466.480000 7.120498e-16 2.491524e-17
3469.480000 7.145523e-16 2.701893e-17
3472.480000 6.695976e-16 2.808868e-17
3475.480000 7.357264e-16 2.636504e-17
3478.480000 7.181641e-16 2.481721e-17
3481.480000 7.062290e-16 2.754260e-17
3484.480000 7.060927e-16 2.851807e-17
3487.480000 6.988948e-16 2.565695e-17
3490.480000 6.778202e-16 2.474608e-17
3493.480000 6.607502e-16 2.781717e-17
3496.480000 6.503439e-16 2.803759e-17
3499.480000 6.323591e-16 2.476546e-17
3502.480000 6.226416e-16 2.493112e-17
3505.480000 6.287593e-16 2.847441e-17
3508.480000 6.474493e-16 2.839249e-17
3511.480000 7.049295e-16 2.544929e-17
3514.480000 7.028799e-16 2.603907e-17
3517.480000 7.056866e-16 2.879293e-17
3520.480000 6.416333e-16 2.761884e-17
3523.480000 7.208500e-16 2.524277e-17
3526.480000 7.135379e-16 2.644159e-17
3529.480000 7.609384e-16 2.886754e-17
3532.480000 7.638759e-16 2.713284e-17
3535.480000 7.629587e-16 2.486328e-17
3538.480000 7.647825e-16 2.676177e-17
3541.480000 7.217257e-16 2.798153e-17
3544.480000 7.390124e-16 2.621664e-17
3547.480000 7.725550e-16 2.526225e-17
3550.480000 7.630010e-16 2.780542e-17
3553.480000 7.763269e-16 2.882063e-17
3556.480000 8.065001e-16 2.673516e-17
3559.480000 8.116583e-16 2.584955e-17
3562.480000 8.103291e-16 2.931513e-17
3565.480000 8.270325e-16 2.987718e-17
3568.480000 8.659740e-16 2.681539e-17
3571.480000 8.972186e-16 2.703658e-17
3574.480000 8.412748e-16 3.009989e-17
3577.480000 8.427116e-16 2.994514e-17
3580.480000 8.747851e-16 2.645339e-17
3583.480000 8.813500e-16 2.688396e-17
3586.480000 8.957091e-16 2.963253e-17
3589.480000 8.925927e-16 2.867989e-17
3592.480000 8.819897e-16 2.551250e-17
3595.480000 8.484932e-16 2.625572e-17
3598.480000 7.997615e-16 2.833455e-17
3601.480000 7.978978e-16 2.697010e-17
3604.480000 8.015510e-16 2.465841e-17
3607.480000 8.188245e-16 2.622934e-17
3610.480000 8.417703e-16 2.801957e-17
3613.480000 8.105981e-16 2.520175e-17
3616.480000 8.244731e-16 2.371091e-17
3619.480000 8.417506e-16 2.634265e-17
3622.480000 8.641255e-16 2.738348e-17
3625.480000 8.671425e-16 2.504470e-17
3628.480000 8.819390e-16 2.408587e-17
3631.480000 8.887554e-16 2.704349e-17
3634.480000 8.852513e-16 2.735074e-17
3637.480000 8.521165e-16 2.421852e-17
3640.480000 8.607443e-16 2.399982e-17
3643.480000 8.540616e-16 2.718003e-17
3646.480000 8.375706e-16 2.680068e-17
3649.480000 8.478570e-16 2.352747e-17
3652.480000 8.557511e-16 2.388391e-17
3655.480000 8.868361e-16 2.670302e-17
3658.480000 8.575626e-16 2.571918e-17
3661.480000 8.482168e-16 2.269969e-17
3664.480000 8.624364e-16 2.351831e-17
3667.480000 8.470075e-16 2.530364e-17
3670.480000 8.530356e-16 2.415565e-17
3673.480000 8.869059e-16 2.215422e-17
3676.480000 8.788455e-16 2.337293e-17
3679.480000 8.719296e-16 2.479015e-17
3682.480000 8.618373e-16 2.306076e-17
3685.480000 8.614799e-16 2.144750e-17
3688.480000 8.647330e-16 2.340884e-17
3691.480000 8.943065e-16 2.461901e-17
3694.480000 9.138373e-16 2.242145e-17
3697.480000 9.395265e-16 2.167993e-17
3700.480000 9.526341e-16 2.431652e-17
3703.480000 9.369246e-16 2.470956e-17
3706.480000 9.155732e-16 2.199015e-17
3709.480000 9.238223e-16 2.154426e-17
3712.480000 9.549328e-16 2.474274e-17
3715.480000 9.551641e-16 2.539398e-17
3718.480000 9.102396e-16 2.191312e-17
3721.480000 8.845525e-16 2.202423e-17
3724.480000 8.751560e-16 2.380612e-17
3727.480000 8.977668e-16 2.368296e-17
3730.480000 8.846224e-16 2.105151e-17
3733.480000 8.752092e-16 2.181818e-17
3736.480000 9.035513e-16 2.402151e-17
3739.480000 8.797519e-16 2.292991e-17
3742.480000 8.841075e-16 2.082906e-17
3745.480000 8.658919e-16 2.199799e-17
3748.480000 8.404725e-16 2.336905e-17
3751.480000 8.484395e-16 2.178627e-17
3754.480000 8.495469e-16 2.024361e-17
3757.480000 8.321146e-16 2.192281e-17
3760.480000 8.239634e-16 2.278235e-17
3763.480000 7.945804e-16 2.072596e-17
3766.480000 7.883741e-16 1.967599e-17
3769.480000 7.944436e-16 2.185441e-17
3772.480000 7.718059e-16 2.218126e-17
3775.480000 7.684754e-16 1.999172e-17
3778.480000 7.989333e-16 1.971067e-17
3781.480000 7.681993e-16 2.206253e-17
3784.480000 7.439180e-16 2.217719e-17
3787.480000 7.249069e-16 1.932933e-17
3790.480000 6.934624e-16 1.914571e-17
3793.480000 6.794008e-16 2.134672e-17
3796.480000 6.550234e-16 2.133492e-17
3799.480000 6.590580e-16 1.867350e-17
3802.480000 6.674840e-16 1.932520e-17
3805.480000 6.336539e-16 2.086608e-17
3808.480000 6.472003e-16 1.953534e-17
3811.480000 5.947251e-16 1.716145e-17
3814.480000 5.725372e-16 1.817304e-17
3817.480000 5.432325e-16 1.938014e-17
3820.480000 5.560220e-16 1.851131e-17
3823.480000 5.240549e-16 1.680254e-17
3826.480000 4.863767e-16 1.745115e-17
3829.480000 4.896496e-16 1.829228e-17
3832.480000 4.592209e-16 1.673986e-17
3835.480000 4.282909e-16 1.549019e-17
3838.480000 4.476826e-16 1.713223e-17
3841.480000 4.270558e-16 1.746489e-17
3844.480000 4.366396e-16 1.589711e-17
3847.480000 4.232384e-16 1.540124e-17
3850.480000 4.173635e-16 1.733748e-17
3853.480000 4.368878e-16 1.749211e-17
3856.480000 4.425179e-16 1.548621e-17
3859.480000 4.592765e-16 1.564764e-17
3862.480000 4.859330e-16 1.791559e-17
3865.480000 4.938596e-16 1.798696e-17
3868.480000 5.137804e-16 1.609202e-17
3871.480000 5.340199e-16 1.676507e-17
3874.480000 5.729501e-16 1.872193e-17
3877.480000 5.915022e-16 1.826624e-17
3880.480000 6.098170e-16 1.659934e-17
3883.480000 6.611257e-16 1.787536e-17
3886.480000 6.878071e-16 1.959853e-17
3889.480000 6.468872e-16 1.852110e-17
3892.480000 6.272282e-16 1.683067e-17
3895.480000 6.224775e-16 1.804310e-17
3898.480000 6.359644e-16 1.915561e-17
3901.480000 6.322843e-16 1.778484e-17
3904.480000 6.295527e-16 1.663613e-17
3907.480000 6.382241e-16 1.838012e-17
3910.480000 6.050276e-16 1.893954e-17
3913.480000 6.030224e-16 1.710635e-17
3916.480000 6.351109e-16 1.660907e-17
3919.480000 6.320617e-16 1.853025e-17
3922.480000 6.339940e-16 1.874446e-17
3925.480000 6.314630e-16 1.651748e-17
3928.480000 6.225271e-16 1.616528e-17
3931.480000 5.992848e-16 1.818678e-17
3934.480000 5.525714e-16 1.774036e-17
3937.480000 5.770495e-16 1.576111e-17
3940.480000 6.033643e-16 1.634722e-17
3943.480000 6.506409e-16 1.863465e-17
3946.480000 6.583175e-16 1.824429e-17
3949.480000 6.431893e-16 1.624312e-17
3952.480000 6.374396e-16 1.698763e-17
3955.480000 6.816316e-16 1.881146e-17
3958.480000 7.034806e-16 1.831483e-17
3961.480000 7.041874e-16 1.689560e-17
3964.480000 7.277521e-16 1.816030e-17
3967.480000 7.380487e-16 1.921193e-17
3970.480000 7.374907e-16 1.752278e-17
3973.480000 7.649433e-16 1.683474e-17
3976.480000 7.934624e-16 1.917422e-17
3979.480000 8.234957e-16 2.010376e-17
3982.480000 8.464324e-16 1.807645e-17
3985.480000 8.898918e-16 1.777468e-17
3988.480000 9.167302e-16 2.033200e-17
3991.480000 9.393934e-16 2.092954e-17
3994.480000 9.628227e-16 1.899213e-17
3997.480000 9.596845e-16 1.912664e-17
4000.480000 9.796404e-16 2.220857e-17
4003.480000 1.019306e-15 2.259106e-17
4006.480000 1.043380e-15 2.004064e-17
4009.480000 1.066117e-15 2.048994e-17
4012.480000 1.083935e-15 2.280538e-17
4015.480000 1.116983e-15 2.221377e-17
4018.480000 1.143993e-15 1.971866e-17
4021.480000 1.135906e-15 2.014573e-17
4024.480000 1.159577e-15 2.177111e-17
4027.480000 1.165415e-15 2.064869e-17
4030.480000 1.201628e-15 1.890736e-17
4033.480000 1.192655e-15 1.997536e-17
4036.480000 1.190217e-15 2.112270e-17
4039.480000 1.198396e-15 1.985913e-17
4042.480000 1.178789e-15 1.842121e-17
4045.480000 1.210244e-15 2.031088e-17
4048.480000 1.232185e-15 2.119582e-17
4051.480000 1.265417e-15 1.963552e-17
4054.480000 1.242874e-15 1.864079e-17
4057.480000 1.270166e-15 2.087921e-17
4060.480000 1.275038e-15 2.123477e-17
4063.480000 1.323049e-15 1.931330e-17
4066.480000 1.346033e-15 1.910584e-17
4069.480000 1.357343e-15 2.184776e-17
4072.480000 1.384775e-15 2.200112e-17
4075.480000 1.367382e-15 1.934149e-17
4078.480000 1.367400e-15 1.963895e-17
4081.480000 1.343862e-15 2.182462e-17
4084.480000 1.330419e-15 2.147578e-17
4087.480000 1.281699e-15 1.870694e-17
4090.480000 1.279548e-15 1.947872e-17
4093.480000 1.255325e-15 2.130637e-17
4096.480000 1.200521e-15 2.025094e-17
4099.480000 1.174607e-15 1.832662e-17
4102.480000 1.168282e-15 1.942798e-17
4105.480000 1.173512e-15 2.091861e-17
4108.480000 1.120098e-15 1.946483e-17
4111.480000 1.088682e-15 1.789120e-17
4114.480000 1.084219e-15 1.936420e-17
4117.480000 1.060158e-15 2.005103e-17
4120.480000 1.056318e-15 1.840418e-17
4123.480000 1.026899e-15 1.719839e-17
4126.480000 1.011155e-15 1.894123e-17
4129.480000 9.993114e-16 1.918256e-17
4132.480000 1.011980e-15 1.729551e-17
4135.480000 9.923255e-16 1.665611e-17
4138.480000 9.819501e-16 1.877181e-17
4141.480000 1.003368e-15 1.890800e-17
4144.480000 1.014911e-15 1.667284e-17
4147.480000 1.003347e-15 1.661898e-17
4150.480000 9.989451e-16 1.861180e-17
4153.480000 9.992326e-16 1.827461e-17
4156.480000 1.026759e-15 1.635376e-17
4159.480000 1.030796e-15 1.699210e-17
4162.480000 1.038781e-15 1.870365e-17
4165.480000 1.069934e-15 1.824617e-17
4168.480000 1.082253e-15 1.654088e-17
4171.480000 1.082090e-15 1.779922e-17
4174.480000 1.086593e-15 1.913523e-17
4177.480000 1.137004e-15 1.818848e-17
4180.480000 1.153469e-15 1.680181e-17
4183.480000 1.139383e-15 1.811218e-17
4186.480000 1.127153e-15 1.902399e-17
4189.480000 1.167324e-15 1.778877e-17
4192.480000 1.209447e-15 1.749217e-17
4195.480000 1.229420e-15 1.958570e-17
4198.480000 1.221997e-15 2.009292e-17
4201.480000 1.284707e-15 1.882551e-17
4204.480000 1.306669e-15 1.872688e-17
4207.480000 1.310628e-15 2.167005e-17
4210.480000 1.337375e-15 2.076543e-17
4213.480000 1.287817e-15 1.813925e-17
4216.480000 1.306776e-15 1.818268e-17
4219.480000 1.322882e-15 2.028140e-17
4222.480000 1.313593e-15 2.002277e-17
4225.480000 1.291072e-15 1.781074e-17
4228.480000 1.314527e-15 1.846702e-17
4231.480000 1.337593e-15 2.061990e-17
4234.480000 1.305095e-15 1.986960e-17
4237.480000 1.312149e-15 1.777461e-17
4240.480000 1.301994e-15 1.842318e-17
4243.480000 1.325206e-15 2.002812e-17
4246.480000 1.325022e-15 1.902363e-17
4249.480000 1.277325e-15 1.738312e-17
4252.480000 1.290038e-15 1.885181e-17
4255.480000 1.289684e-15 1.982791e-17
4258.480000 1.265282e-15 1.829002e-17
4261.480000 1.261955e-15 1.728172e-17
4264.480000 1.241003e-15 1.901268e-17
4267.480000 1.250044e-15 1.970092e-17
4270.480000 1.224702e-15 1.775638e-17
4273.480000 1.224757e-15 1.716056e-17
4276.480000 1.240283e-15 1.941520e-17
4279.480000 1.192474e-15 1.945140e-17
4282.480000 1.164056e-15 1.711795e-17
4285.480000 1.197472e-15 1.720124e-17
4288.480000 1.215969e-15 1.958231e-17
4291.480000 1.180970e-15 1.930065e-17
4294.480000 1.168170e-15 1.688629e-17
4297.480000 1.174220e-15 1.725122e-17
4300.480000 1.180208e-15 1.920664e-17
4303.480000 1.175004e-15 1.866951e-17
4306.480000 1.181407e-15 1.677421e-17
4309.480000 1.188518e-15 1.761997e-17
4312.480000 1.185339e-15 1.912396e-17
4315.480000 1.208608e-15 1.839704e-17
4318.480000 1.212519e-15 1.694165e-17
4321.480000 1.215896e-15 1.818852e-17
4324.480000 1.166281e-15 1.929645e-17
4327.480000 1.145174e-15 1.812299e-17
4330.480000 1.130102e-15 1.690149e-17
4333.480000 1.118027e-15 1.816487e-17
4336.480000 1.131381e-15 1.889250e-17
4339.480000 1.132517e-15 1.722888e-17
4342.480000 1.122961e-15 1.656147e-17
4345.480000 1.077894e-15 1.836146e-17
4348.480000 1.060007e-15 1.863498e-17
4351.480000 1.062671e-15 1.662722e-17
4354.480000 1.064074e-15 1.641927e-17
4357.480000 1.042790e-15 1.857417e-17
4360.480000 1.061433e-15 1.874934e-17
4363.480000 1.062708e-15 1.644190e-17
4366.480000 1.025235e-15 1.645851e-17
4369.480000 9.977084e-16 1.815143e-17
4372.480000 1.017540e-15 1.786980e-17
4375.480000 1.016558e-15 1.596303e-17
4378.480000 9.950915e-16 1.652949e-17
4381.480000 9.811735e-16 1.802165e-17
4384.480000 9.822189e-16 1.731826e-17
4387.480000 9.761132e-16 1.575001e-17
4390.480000 9.773206e-16 1.683445e-17
4393.480000 9.549865e-16 1.770528e-17
4396.480000 9.478593e-16 1.655265e-17
4399.480000 9.304385e-16 1.544344e-17
4402.480000 9.282626e-16 1.685100e-17
4405.480000 9.389853e-16 1.765471e-17
4408.480000 9.595290e-16 1.631935e-17
4411.480000 9.023917e-16 1.540451e-17
4414.480000 8.617560e-16 1.694793e-17
4417.480000 8.737357e-16 1.736174e-17
4420.480000 8.812040e-16 1.563809e-17
4423.480000 8.592455e-16 1.529509e-17
4426.480000 8.577601e-16 1.775408e-17
4429.480000 8.316004e-16 1.763526e-17
4432.480000 7.995670e-16 1.525721e-17
4435.480000 7.878723e-16 1.508488e-17
4438.480000 7.922934e-16 1.683091e-17
4441.480000 7.826425e-16 1.645315e-17
4444.480000 7.701440e-16 1.457316e-17
4447.480000 7.604490e-16 1.503214e-17
4450.480000 7.279012e-16 1.627049e-17
4453.480000 7.246243e-16 1.550269e-17
4456.480000 7.442290e-16 1.424281e-17
4459.480000 7.559139e-16 1.530579e-17
4462.480000 7.697638e-16 1.644773e-17
4465.480000 7.778412e-16 1.546085e-17
4468.480000 7.862950e-16 1.455636e-17
4471.480000 7.854486e-16 1.586120e-17
4474.480000 7.858463e-16 1.663213e-17
4477.480000 7.818283e-16 1.530388e-17
4480.480000 7.902439e-16 1.460893e-17
4483.480000 8.273443e-16 1.644413e-17
4486.480000 8.361141e-16 1.697725e-17
4489.480000 8.243834e-16 1.525415e-17
4492.480000 8.291240e-16 1.493664e-17
4495.480000 8.563992e-16 1.713793e-17
4498.480000 8.807552e-16 1.735790e-17
4501.480000 8.848390e-16 1.532552e-17
4504.480000 9.143078e-16 1.556718e-17
