# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024ppd
# CHANNEL = B+R
# EXPNUM = 24_199_014_003
# MJD-OBS = 60508.289693
# DATE-OBS = 2024-07-17T06:57:11
# EXPTIME = 1800.0s
# AIRMASS = 1.27
# FLUXCAL_RMS_B = 0.082 mag
# FLUXCAL_RMS_R = 0.069 mag
# RA = 13:36:04.58
# DEC = 33:44:55.29
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 1.825482e-16 7.122999e-17
3403.480000 7.729437e-17 8.121066e-17
3406.480000 2.137024e-16 6.951695e-17
3409.480000 2.137909e-16 5.843333e-17
3412.480000 2.193628e-16 6.277644e-17
3415.480000 1.561670e-16 6.302219e-17
3418.480000 3.389281e-17 5.593299e-17
3421.480000 1.211122e-16 5.504928e-17
3424.480000 1.842703e-16 6.199282e-17
3427.480000 1.809546e-16 6.162491e-17
3430.480000 8.454135e-17 5.349873e-17
3433.480000 1.335327e-16 5.280855e-17
3436.480000 2.271002e-16 5.920026e-17
3439.480000 2.998778e-16 5.730977e-17
3442.480000 1.936180e-16 4.824163e-17
3445.480000 1.013082e-16 4.858431e-17
3448.480000 1.457270e-16 5.350068e-17
3451.480000 9.576087e-17 5.184013e-17
3454.480000 4.626643e-17 4.639870e-17
3457.480000 8.898290e-17 4.795554e-17
3460.480000 1.457673e-16 5.035679e-17
3463.480000 6.046049e-17 4.694362e-17
3466.480000 3.175286e-17 4.355347e-17
3469.480000 2.786791e-17 4.719030e-17
3472.480000 1.356831e-16 4.987236e-17
3475.480000 1.387909e-16 4.514920e-17
3478.480000 1.867993e-17 4.155860e-17
3481.480000 -1.106810e-17 4.622846e-17
3484.480000 6.478272e-17 4.775781e-17
3487.480000 1.344091e-16 4.325991e-17
3490.480000 9.924558e-17 4.130418e-17
3493.480000 5.612231e-17 4.576587e-17
3496.480000 1.103948e-16 4.671860e-17
3499.480000 1.944547e-17 4.117780e-17
3502.480000 1.207571e-17 4.170747e-17
3505.480000 1.134490e-16 4.761359e-17
3508.480000 9.341603e-17 4.653992e-17
3511.480000 6.366692e-17 4.056259e-17
3514.480000 4.357651e-17 4.148285e-17
3517.480000 7.348723e-17 4.604799e-17
3520.480000 1.279271e-16 4.467150e-17
3523.480000 5.769723e-17 3.880260e-17
3526.480000 1.219262e-17 3.951241e-17
3529.480000 3.355805e-17 4.331629e-17
3532.480000 1.375357e-16 4.193897e-17
3535.480000 1.957906e-16 3.927523e-17
3538.480000 1.744915e-16 4.241078e-17
3541.480000 1.121983e-16 4.443262e-17
3544.480000 7.288147e-17 4.139033e-17
3547.480000 5.274389e-17 3.935114e-17
3550.480000 1.027678e-16 4.344589e-17
3553.480000 1.445947e-16 4.448476e-17
3556.480000 1.677190e-16 4.023924e-17
3559.480000 1.305254e-16 3.882290e-17
3562.480000 1.367900e-16 4.327891e-17
3565.480000 1.493771e-16 4.323669e-17
3568.480000 9.941866e-17 3.714468e-17
3571.480000 4.492659e-17 3.589768e-17
3574.480000 1.218217e-16 4.143895e-17
3577.480000 1.911642e-16 4.163064e-17
3580.480000 2.186986e-16 3.619250e-17
3583.480000 2.133908e-16 3.602481e-17
3586.480000 2.114539e-16 3.972860e-17
3589.480000 8.881790e-17 3.856832e-17
3592.480000 1.339955e-16 3.596821e-17
3595.480000 1.474724e-16 3.877852e-17
3598.480000 1.824802e-16 4.262418e-17
3601.480000 2.509520e-16 4.065160e-17
3604.480000 2.622883e-16 3.612467e-17
3607.480000 2.511267e-16 3.814843e-17
3610.480000 2.016446e-16 3.956414e-17
3613.480000 2.079344e-16 3.704202e-17
3616.480000 2.223042e-16 3.490687e-17
3619.480000 1.893055e-16 3.715944e-17
3622.480000 1.247546e-16 3.832115e-17
3625.480000 1.446790e-16 3.542591e-17
3628.480000 2.081715e-16 3.430330e-17
3631.480000 1.895549e-16 3.770781e-17
3634.480000 1.419146e-16 3.763398e-17
3637.480000 1.797793e-16 3.395545e-17
3640.480000 1.987332e-16 3.413211e-17
3643.480000 1.589488e-16 3.847963e-17
3646.480000 2.413785e-16 3.822846e-17
3649.480000 1.899352e-16 3.335668e-17
3652.480000 1.483894e-16 3.426163e-17
3655.480000 1.595721e-16 3.906075e-17
3658.480000 1.748549e-16 3.858271e-17
3661.480000 1.923384e-16 3.440064e-17
3664.480000 2.152863e-16 3.593123e-17
3667.480000 2.478593e-16 3.934077e-17
3670.480000 2.354374e-16 3.695040e-17
3673.480000 2.264294e-16 3.350466e-17
3676.480000 2.402751e-16 3.556541e-17
3679.480000 2.392100e-16 3.742261e-17
3682.480000 2.563659e-16 3.469772e-17
3685.480000 2.424772e-16 3.218950e-17
3688.480000 2.080849e-16 3.476398e-17
3691.480000 1.938263e-16 3.615012e-17
3694.480000 2.658063e-16 3.377222e-17
3697.480000 2.162665e-16 3.209228e-17
3700.480000 1.471259e-16 3.625980e-17
3703.480000 1.687495e-16 3.792446e-17
3706.480000 1.928296e-16 3.235214e-17
3709.480000 2.037033e-16 3.061811e-17
3712.480000 1.902407e-16 3.514905e-17
3715.480000 2.666579e-16 3.586336e-17
3718.480000 3.304039e-16 3.113531e-17
3721.480000 3.011777e-16 3.005516e-17
3724.480000 2.113651e-16 3.336526e-17
3727.480000 2.588954e-16 3.382981e-17
3730.480000 3.470084e-16 3.027047e-17
3733.480000 3.084669e-16 3.053322e-17
3736.480000 2.674303e-16 3.256763e-17
3739.480000 2.179413e-16 3.146512e-17
3742.480000 2.415290e-16 2.927526e-17
3745.480000 2.775507e-16 3.064721e-17
3748.480000 2.890602e-16 3.217926e-17
3751.480000 2.287372e-16 3.008517e-17
3754.480000 2.023985e-16 2.845325e-17
3757.480000 2.929975e-16 3.144330e-17
3760.480000 3.306689e-16 3.231805e-17
3763.480000 2.685479e-16 2.926433e-17
3766.480000 2.706721e-16 2.753844e-17
3769.480000 2.677266e-16 3.058051e-17
3772.480000 2.420214e-16 3.155030e-17
3775.480000 2.509341e-16 2.895994e-17
3778.480000 2.399142e-16 2.847164e-17
3781.480000 2.370560e-16 3.223461e-17
3784.480000 2.895976e-16 3.246789e-17
3787.480000 2.724263e-16 2.786706e-17
3790.480000 2.458462e-16 2.725368e-17
3793.480000 2.480451e-16 3.055338e-17
3796.480000 2.545006e-16 2.961599e-17
3799.480000 2.033219e-16 2.587880e-17
3802.480000 1.930973e-16 2.743151e-17
3805.480000 2.609703e-16 3.107721e-17
3808.480000 2.740411e-16 2.988678e-17
3811.480000 2.951887e-16 2.696646e-17
3814.480000 2.909359e-16 2.792859e-17
3817.480000 2.945474e-16 2.952386e-17
3820.480000 3.488118e-16 2.785421e-17
3823.480000 3.586549e-16 2.544572e-17
3826.480000 3.283041e-16 2.685699e-17
3829.480000 2.564452e-16 2.798399e-17
3832.480000 2.491644e-16 2.587849e-17
3835.480000 2.797334e-16 2.441054e-17
3838.480000 2.475976e-16 2.695048e-17
3841.480000 2.458215e-16 2.806460e-17
3844.480000 2.731168e-16 2.594092e-17
3847.480000 3.187517e-16 2.586364e-17
3850.480000 3.217513e-16 2.918704e-17
3853.480000 2.814206e-16 2.914663e-17
