# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 24qng
# CHANNEL = B+R
# EXPNUM = 24_212_011_002
# MJD-OBS = 60521.479404
# DATE-OBS = 2024-07-30T11:30:22
# EXPTIME = 1800.0s
# AIRMASS = 1.58
# FLUXCAL_RMS_B = 0.082 mag
# FLUXCAL_RMS_R = 0.069 mag
# RA = 00:45:19.00
# DEC = -03:41:21.99
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 3.988427e-17 1.863328e-17
3403.480000 5.799709e-17 1.952744e-17
3406.480000 6.497313e-17 1.768247e-17
3409.480000 4.166535e-17 1.628501e-17
3412.480000 4.487702e-17 1.827081e-17
3415.480000 5.162248e-17 1.870488e-17
3418.480000 5.891912e-17 1.698399e-17
3421.480000 3.032216e-17 1.593114e-17
3424.480000 3.012089e-17 1.816730e-17
3427.480000 5.911401e-17 1.847211e-17
3430.480000 7.930520e-17 1.584355e-17
3433.480000 8.610792e-17 1.588121e-17
3436.480000 5.415520e-17 1.745014e-17
3439.480000 5.110618e-17 1.703974e-17
3442.480000 4.702560e-17 1.500171e-17
3445.480000 4.456856e-17 1.523500e-17
3448.480000 2.472129e-17 1.651449e-17
3451.480000 4.094718e-17 1.613800e-17
3454.480000 5.154785e-17 1.483526e-17
3457.480000 4.543443e-17 1.586465e-17
3460.480000 3.987253e-17 1.765891e-17
3463.480000 2.859560e-17 1.602346e-17
3466.480000 3.427405e-17 1.497079e-17
3469.480000 4.714962e-17 1.600377e-17
3472.480000 4.007681e-17 1.636366e-17
3475.480000 5.305276e-17 1.531139e-17
3478.480000 6.221765e-17 1.472045e-17
3481.480000 4.320267e-17 1.622012e-17
3484.480000 2.527878e-17 1.663861e-17
3487.480000 1.343647e-17 1.495067e-17
3490.480000 9.761993e-18 1.446458e-17
3493.480000 3.019558e-17 1.655376e-17
3496.480000 3.670300e-17 1.672285e-17
3499.480000 5.021429e-17 1.532387e-17
3502.480000 4.040041e-17 1.503808e-17
3505.480000 4.702150e-17 1.713679e-17
3508.480000 5.202039e-17 1.689435e-17
3511.480000 2.730458e-17 1.464679e-17
3514.480000 4.194916e-17 1.524206e-17
3517.480000 6.084589e-17 1.690945e-17
3520.480000 6.147280e-17 1.620037e-17
3523.480000 5.689772e-17 1.440414e-17
3526.480000 4.659245e-17 1.505102e-17
3529.480000 5.196035e-17 1.627857e-17
3532.480000 5.672172e-17 1.547679e-17
3535.480000 6.349731e-17 1.440946e-17
3538.480000 5.783282e-17 1.556449e-17
3541.480000 8.221854e-17 1.688455e-17
3544.480000 8.044051e-17 1.595670e-17
3547.480000 5.524899e-17 1.541197e-17
3550.480000 5.437785e-17 1.652899e-17
3553.480000 7.845278e-17 1.734998e-17
3556.480000 9.439191e-17 1.594570e-17
3559.480000 1.127807e-16 1.561100e-17
3562.480000 9.490844e-17 1.739667e-17
3565.480000 8.814686e-17 1.756757e-17
3568.480000 7.413501e-17 1.548244e-17
3571.480000 8.802613e-17 1.552926e-17
3574.480000 7.635680e-17 1.737479e-17
3577.480000 8.117555e-17 1.726654e-17
3580.480000 9.372330e-17 1.518462e-17
3583.480000 9.217469e-17 1.524588e-17
3586.480000 8.614964e-17 1.666764e-17
3589.480000 9.613559e-17 1.617510e-17
3592.480000 9.025156e-17 1.439523e-17
3595.480000 1.047791e-16 1.570494e-17
3598.480000 1.029807e-16 1.694102e-17
3601.480000 1.116396e-16 1.606260e-17
3604.480000 1.071368e-16 1.451479e-17
3607.480000 9.267315e-17 1.566225e-17
3610.480000 7.078292e-17 1.526267e-17
3613.480000 8.637698e-17 1.445760e-17
3616.480000 8.563169e-17 1.372345e-17
3619.480000 8.401740e-17 1.500964e-17
3622.480000 9.844319e-17 1.569501e-17
3625.480000 1.237584e-16 1.448228e-17
3628.480000 1.327856e-16 1.400969e-17
3631.480000 1.218426e-16 1.568128e-17
3634.480000 1.322703e-16 1.606359e-17
3637.480000 1.360107e-16 1.438400e-17
3640.480000 1.274167e-16 1.423197e-17
3643.480000 1.284443e-16 1.611425e-17
3646.480000 1.246676e-16 1.587295e-17
3649.480000 1.332513e-16 1.385233e-17
3652.480000 1.316074e-16 1.405508e-17
3655.480000 1.256724e-16 1.553877e-17
3658.480000 1.471198e-16 1.532709e-17
3661.480000 1.272488e-16 1.347739e-17
3664.480000 1.204884e-16 1.386297e-17
3667.480000 1.409976e-16 1.550638e-17
3670.480000 1.288366e-16 1.451547e-17
3673.480000 1.340869e-16 1.287668e-17
3676.480000 1.368321e-16 1.369386e-17
3679.480000 1.312655e-16 1.444161e-17
3682.480000 1.395094e-16 1.356611e-17
3685.480000 1.290791e-16 1.256474e-17
3688.480000 1.406709e-16 1.373393e-17
3691.480000 1.276123e-16 1.409302e-17
3694.480000 1.300869e-16 1.289949e-17
3697.480000 1.493726e-16 1.261734e-17
3700.480000 1.787060e-16 1.442289e-17
3703.480000 1.714139e-16 1.459403e-17
3706.480000 1.433695e-16 1.282350e-17
3709.480000 1.432541e-16 1.256523e-17
3712.480000 1.584147e-16 1.445949e-17
3715.480000 1.442848e-16 1.427028e-17
3718.480000 1.454322e-16 1.244871e-17
3721.480000 1.487269e-16 1.261062e-17
3724.480000 1.516801e-16 1.412629e-17
3727.480000 1.533216e-16 1.413394e-17
3730.480000 1.670377e-16 1.264421e-17
3733.480000 1.654472e-16 1.310873e-17
3736.480000 1.590911e-16 1.424560e-17
3739.480000 1.598327e-16 1.380573e-17
3742.480000 1.612253e-16 1.262268e-17
3745.480000 1.679905e-16 1.345764e-17
3748.480000 1.761089e-16 1.441369e-17
3751.480000 1.718802e-16 1.344596e-17
3754.480000 1.741709e-16 1.245357e-17
3757.480000 1.851264e-16 1.363041e-17
3760.480000 1.771208e-16 1.414008e-17
3763.480000 1.752880e-16 1.326076e-17
3766.480000 1.758119e-16 1.262809e-17
3769.480000 1.773512e-16 1.399901e-17
3772.480000 1.876299e-16 1.403615e-17
3775.480000 1.855433e-16 1.266037e-17
3778.480000 1.957475e-16 1.250289e-17
3781.480000 1.990939e-16 1.417800e-17
3784.480000 1.711312e-16 1.396240e-17
3787.480000 1.819092e-16 1.224954e-17
3790.480000 1.783998e-16 1.228660e-17
