# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = PS24hhh
# CHANNEL = B+R
# EXPNUM = 24_229_022_003
# MJD-OBS = 60538.395515
# DATE-OBS = 2024-08-16T09:29:34
# EXPTIME = 1800.0s
# AIRMASS = 1.42
# FLUXCAL_RMS_B = 0.082 mag
# FLUXCAL_RMS_R = 0.069 mag
# RA = 23:35:01.49
# DEC = 00:05:50.89
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 1.350449e-16 3.761300e-17
3403.480000 1.131561e-16 4.027719e-17
3406.480000 4.747501e-17 3.427206e-17
3409.480000 5.990141e-17 3.190204e-17
3412.480000 9.270704e-17 3.536337e-17
3415.480000 1.346316e-16 3.605352e-17
3418.480000 1.262209e-16 3.285404e-17
3421.480000 1.345291e-16 3.223616e-17
3424.480000 1.446784e-16 3.575987e-17
3427.480000 1.046805e-16 3.498533e-17
3430.480000 8.769369e-17 3.051571e-17
3433.480000 7.760662e-17 3.024874e-17
3436.480000 1.218646e-16 3.410199e-17
3439.480000 1.280924e-16 3.279909e-17
3442.480000 1.192161e-16 2.850654e-17
3445.480000 1.074716e-16 2.907152e-17
3448.480000 1.033179e-16 3.232805e-17
3451.480000 8.779687e-17 3.141122e-17
3454.480000 1.054953e-16 2.867913e-17
3457.480000 1.402257e-16 3.041928e-17
3460.480000 1.260009e-16 3.223377e-17
3463.480000 9.544624e-17 3.010300e-17
3466.480000 8.760854e-17 2.787121e-17
3469.480000 9.289570e-17 3.025753e-17
3472.480000 1.314101e-16 3.202216e-17
3475.480000 1.020906e-16 2.941201e-17
3478.480000 9.133406e-17 2.787837e-17
3481.480000 8.822933e-17 3.103347e-17
3484.480000 9.003732e-17 3.243913e-17
3487.480000 9.071998e-17 2.949751e-17
3490.480000 1.037746e-16 2.791124e-17
3493.480000 5.504701e-17 3.087764e-17
3496.480000 5.104748e-17 3.128950e-17
3499.480000 7.443863e-17 2.847053e-17
3502.480000 1.313283e-16 2.926339e-17
3505.480000 1.931931e-16 3.356339e-17
3508.480000 1.716833e-16 3.296578e-17
3511.480000 1.246819e-16 2.868337e-17
3514.480000 1.455810e-16 2.929147e-17
3517.480000 1.720141e-16 3.262680e-17
3520.480000 1.431965e-16 3.154049e-17
3523.480000 1.006665e-16 2.760294e-17
3526.480000 8.912736e-17 2.853009e-17
3529.480000 6.969429e-17 3.068789e-17
3532.480000 7.921501e-17 2.968198e-17
3535.480000 1.374692e-16 2.776502e-17
3538.480000 1.863877e-16 3.016935e-17
3541.480000 1.841951e-16 3.217425e-17
3544.480000 2.361122e-16 3.034684e-17
3547.480000 1.987970e-16 2.860761e-17
3550.480000 1.934869e-16 3.154339e-17
3553.480000 1.744466e-16 3.244711e-17
3556.480000 2.072076e-16 2.970593e-17
3559.480000 2.261215e-16 2.892098e-17
3562.480000 1.569347e-16 3.231616e-17
3565.480000 2.107794e-16 3.287991e-17
3568.480000 2.778314e-16 2.906223e-17
3571.480000 2.629613e-16 2.874062e-17
3574.480000 2.438353e-16 3.329426e-17
3577.480000 2.203889e-16 3.313016e-17
3580.480000 2.498491e-16 2.909716e-17
3583.480000 2.592005e-16 2.865912e-17
3586.480000 2.100172e-16 3.098146e-17
3589.480000 1.618164e-16 3.020738e-17
3592.480000 1.846399e-16 2.741780e-17
3595.480000 1.932071e-16 2.911699e-17
3598.480000 1.819183e-16 3.147422e-17
3601.480000 2.160838e-16 2.978069e-17
3604.480000 2.370034e-16 2.690580e-17
3607.480000 2.459064e-16 2.857559e-17
3610.480000 2.044932e-16 3.010549e-17
3613.480000 1.964937e-16 2.813973e-17
3616.480000 2.047792e-16 2.654338e-17
3619.480000 2.125641e-16 2.872958e-17
3622.480000 2.016400e-16 2.940080e-17
3625.480000 2.164899e-16 2.725928e-17
3628.480000 1.955821e-16 2.632783e-17
3631.480000 2.502178e-16 2.929804e-17
3634.480000 1.895243e-16 2.965877e-17
3637.480000 1.854410e-16 2.673293e-17
3640.480000 1.950081e-16 2.668018e-17
3643.480000 2.161657e-16 3.011733e-17
3646.480000 2.607465e-16 2.967588e-17
3649.480000 2.213526e-16 2.573460e-17
3652.480000 2.432141e-16 2.635514e-17
3655.480000 2.543051e-16 2.972540e-17
3658.480000 1.770553e-16 2.889520e-17
3661.480000 1.952282e-16 2.551887e-17
3664.480000 2.077334e-16 2.638585e-17
3667.480000 2.270287e-16 2.858702e-17
3670.480000 2.050358e-16 2.716839e-17
3673.480000 1.876410e-16 2.456311e-17
3676.480000 1.828981e-16 2.585883e-17
3679.480000 2.438070e-16 2.723223e-17
3682.480000 2.319665e-16 2.535385e-17
3685.480000 2.359989e-16 2.358448e-17
3688.480000 2.580980e-16 2.579691e-17
3691.480000 2.382423e-16 2.707704e-17
3694.480000 2.503210e-16 2.500278e-17
3697.480000 2.526994e-16 2.391102e-17
3700.480000 2.128106e-16 2.663053e-17
3703.480000 2.490694e-16 2.704712e-17
3706.480000 2.338878e-16 2.349445e-17
3709.480000 2.070038e-16 2.311734e-17
3712.480000 2.700469e-16 2.716295e-17
