# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2024qwe
# CHANNEL = B+R
# EXPNUM = 24_231_034_002
# MJD-OBS = 60540.526510
# DATE-OBS = 2024-08-18T12:38:12
# EXPTIME = 1800.0s
# AIRMASS = 1.77
# FLUXCAL_RMS_B = 0.082 mag
# FLUXCAL_RMS_R = 0.069 mag
# RA = 02:28:10.99
# DEC = -23:36:51.99
# wl fl err
# [A] [erg/s/cm2/A]
3514.480000 3.250086e-17 3.272861e-17
3517.480000 7.726531e-17 3.642362e-17
3520.480000 9.558681e-17 3.529087e-17
3523.480000 9.923136e-17 3.103656e-17
3526.480000 9.387003e-17 3.240434e-17
3529.480000 7.192006e-17 3.538132e-17
3532.480000 7.336119e-17 3.416920e-17
3535.480000 1.117116e-16 3.182572e-17
3538.480000 8.574408e-17 3.465015e-17
3541.480000 4.119395e-17 3.666798e-17
3544.480000 4.131918e-17 3.407151e-17
3547.480000 -3.723510e-18 3.246421e-17
3550.480000 -7.502915e-17 3.570783e-17
3553.480000 -1.129788e-17 3.718986e-17
3556.480000 4.344499e-18 3.363442e-17
3559.480000 -2.459211e-17 3.194341e-17
3562.480000 -2.054379e-17 3.582420e-17
3565.480000 4.839421e-18 3.595311e-17
3568.480000 7.875856e-17 3.150870e-17
3571.480000 7.521189e-17 3.111624e-17
3574.480000 2.476859e-17 3.539110e-17
3577.480000 3.929926e-17 3.573950e-17
3580.480000 5.549994e-17 3.087173e-17
3583.480000 4.780254e-17 3.048391e-17
3586.480000 2.822999e-17 3.369149e-17
3589.480000 3.986123e-18 3.306485e-17
3592.480000 3.336188e-17 3.080937e-17
3595.480000 1.218911e-16 3.336779e-17
3598.480000 7.481577e-17 3.587168e-17
3601.480000 4.325471e-17 3.368099e-17
3604.480000 7.215266e-17 3.012591e-17
3607.480000 7.421440e-17 3.132130e-17
3610.480000 4.632513e-17 3.261758e-17
3613.480000 3.405441e-17 3.081987e-17
3616.480000 5.106306e-17 2.892081e-17
3619.480000 3.123607e-17 3.121524e-17
3622.480000 3.356830e-17 3.264402e-17
3625.480000 2.162228e-17 3.057621e-17
