# SNID ztf24abodysq
# OBSERVER = Rich/Wise/Hinds
# RA 241.67929166666667
# OBS_DATE 2025-01-05 13:23:47.93
# MJD 60680.55819363
# DEC 16.32327777777778
# INSTRUMENT KAST
#wavelength flux flux_err
3454.51772271 -0.07130770 0.15174128
3455.52870022 0.30678988 0.14950642
3456.53967773 -0.05735109 0.13954261
3457.55065524 0.08394368 0.15175067
3458.56163275 0.05383675 0.14717072
3459.57261026 0.11737632 0.15314457
3460.58358777 -0.08820455 0.15865195
3461.59456528 0.31129530 0.15673141
3462.60554279 -0.17602438 0.16418304
3463.61652029 0.16009434 0.15872920
3464.62749780 0.71097231 0.16089423
3465.63847531 0.20763160 0.18194534
3466.64945282 0.34037033 0.17819011
3467.66043033 0.06591345 0.16591494
3468.67140784 0.07376786 0.15297855
3469.68238535 0.65219021 0.16997363
3470.69336286 0.42891949 0.15823822
3471.70434037 -0.20210302 0.15545298
3472.71531788 -0.22490008 0.16741978
3473.72629539 -0.18059471 0.16199335
3474.73727290 -0.29612190 0.15651557
3475.74825041 -0.02632272 0.15923439
3476.75922792 -0.12315985 0.16798699
3477.77020543 0.65699112 0.17822859
3478.78118294 0.06045713 0.16507748
3479.79216044 -0.02611160 0.17548376
3480.80313795 0.19070651 0.17557427
3481.81411546 0.57216114 0.18002784
3482.82509297 0.11577395 0.16889423
3483.83607048 -0.50741243 0.17473303
3484.84704799 0.10802477 0.16397625
3485.85802550 0.05662532 0.16528443
3486.86900301 0.14840060 0.16119094
3487.87998052 -0.35431635 0.16768001
3488.89095803 -0.15688582 0.16576202
3489.90193554 0.01235154 0.15319414
3490.91291305 -0.03643951 0.15881734
3491.92389056 0.20694737 0.15720256
3492.93486807 -0.33109891 0.16075113
3493.94584558 0.27610096 0.16184165
3494.95682308 -0.04534436 0.14579009
3495.96780059 -0.13121523 0.15385309
3496.97877810 0.26964796 0.15054788
3497.98975561 -0.10659585 0.15520160
3499.00073312 0.51302058 0.14607687
3500.01171063 0.22066060 0.15656482
3501.02268814 0.04213597 0.15638243
3502.03366565 0.22448128 0.14489542
3503.04464316 -0.30942225 0.16482703
3504.05562067 0.37733942 0.15477864
3505.06659818 0.28534532 0.16430365
3506.07757569 0.11538027 0.14490342
3507.08855320 0.45216492 0.15914784
3508.09953071 0.15070105 0.16573402
3509.11050822 -0.34679499 0.16398375
3510.12148572 0.12534542 0.16056541
3511.13246323 0.02549139 0.15601602
3512.14344074 0.34612000 0.14871125
3513.15441825 -0.01982889 0.15885872
3514.16539576 0.42002285 0.17154469
3515.17637327 0.68533868 0.17730168
3516.18735078 0.01341965 0.16391012
3517.19832829 0.24014583 0.15895088
3518.20930580 0.77203560 0.17335853
3519.22028331 0.19036439 0.16783808
3520.23126082 -0.03378293 0.15704516
3521.24223833 0.05869632 0.15255798
3522.25321584 -0.00043957 0.15657946
3523.26419335 0.23981962 0.15649915
3524.27517086 0.38857889 0.15640458
3525.28614837 0.02536138 0.14944698
3526.29712587 -0.29839894 0.15789336
3527.30810338 0.32900551 0.15541323
