# SIMPLE  =                    T / conforms to FITS standard                      
# BITPIX  =                    8 / array data type                                
# NAXIS   =                    0 / number of array dimensions                     
# EXTEND  =                    T                                                  
# VERSPYT = '3.11.11 '           / Python version                                 
# VERSNPY = '2.2.2   '           / Numpy version                                  
# VERSSCI = '1.15.1  '           / Scipy version                                  
# VERSAST = '7.0.0   '           / Astropy version                                
# VERSSKL = '1.6.1   '           / Scikit-learn version                           
# VERSPYP = '0.1.dev17373+g2d17455' / PypeIt version                              
# DATE    = '2025-01-29'         / UTC date created                               
# RA      =   195.53983333333332                                                  
# DEC     =   3.1041527777777778                                                  
# TARGET  = 'AT2025acj'                                                           
# DISPNAME= 'red     '                                                            
# DECKER  = 'slit    '                                                            
# BINNING = '1,1     '                                                            
# MJD     =         60704.117568                                                  
# DATETIME= '2025-01-29T02:49:17.875' / Date and time of the observation in ISOT f
# AIRMASS =             1.497593                                                  
# EXPTIME =               1200.0                                                  
# FILENAME= 'v_e_20250128_43_1_0_0.fits'                                          
# INSTRUME= 'SPRAT   '                                                            
# DETECTOR= 'E2V CCD30-11 10333-02-26'                                            
# DATE-OBS= '2025-01-29T02:49:17.888'                                             
# CONFNAME= 'SPRATRed'                                                            
# FOVTYPE = 'slit    '                                                            
# CCDXBIN =                    1                                                  
# CCDYBIN =                    1                                                  
# PYPELINE= 'MultiSlit'                                                           
# PYP_SPEC= 'lt_sprat'                                                            
# TELESCOP= 'LT      '                                                            
# LON-OBS =  -17.879999999999995                                                  
# LAT-OBS =   28.758333333333336                                                  
# ALT-OBS =    2326.999999998442                                                  
# CLBS_DIR= '/Users/chrisfro/remoteLT/LT2025/AT2025acj/20250128/reduced/Calibrat&'
# CONTINUE  'ions'                                                                
# CLBS_ARC= 'Arc_A_0_DET01.fits'                                                  
# HIERARCH CLBS_WAVECALIB = 'WaveCalib_A_0_DET01.fits'                            
# HIERARCH CLBS_BIAS = 'Bias_A_0_DET01.fits'                                      
# HIERARCH CLBS_FLAT = 'Flat_A_0_DET01.fits'                                      
# HIERARCH CLBS_EDGES = 'Edges_A_0_DET01.fits.gz'                                 
# HIERARCH CLBS_SLITS = 'Slits_A_0_DET01.fits.gz'                                 
# HIERARCH CLBS_TILTIMG = 'Tiltimg_A_0_DET01.fits'                                
# HIERARCH CLBS_TILTS = 'Tilts_A_0_DET01.fits'                                    
# DMODCLS = 'SpecObjs'           / Datamodel class                                
# DMODVER = '1.0.0   '           / Datamodel version                              
# EXT0000 = 'SPAT0127-SLIT0114-DET01'                                             
# NSPEC   =                    1                                                  
# 
#      Lam       Flux        STD
  4000.640  1.392e-15  5.184e-15
  4004.781  1.507e-15  4.974e-15
  4008.924  3.576e-15  4.869e-15
  4013.069  2.542e-15  4.795e-15
  4017.220  1.855e-15  4.557e-15
  4021.370  2.503e-15  4.535e-15
  4025.521  9.790e-16  4.503e-15
  4029.671  2.515e-15  4.682e-15
  4033.828  2.812e-16  4.633e-15
  4037.986  2.936e-15  4.600e-15
  4042.146  1.467e-16  4.545e-15
  4046.309  1.279e-14  4.555e-15
  4050.477  1.339e-15  4.223e-15
  4054.644 -8.183e-16  4.140e-15
  4058.812  3.542e-15  4.079e-15
  4062.980  2.525e-15  4.175e-15
  4067.154 -2.015e-15  4.047e-15
  4071.329  2.482e-15  3.960e-15
  4075.506  1.931e-15  3.848e-15
  4079.686  2.269e-15  3.735e-15
  4083.868  2.563e-15  3.617e-15
  4088.051  3.093e-15  3.501e-15
  4092.237  1.312e-15  3.375e-15
  4096.425  2.558e-15  3.265e-15
  4100.615  3.598e-16  3.135e-15
  4104.808  1.155e-15  3.030e-15
  4109.002  1.597e-15  2.923e-15
  4113.198  1.114e-15  2.815e-15
  4117.397  1.789e-15  2.717e-15
  4121.597  3.213e-15  2.627e-15
  4125.800  2.890e-15  2.536e-15
  4130.004  1.996e-15  2.444e-15
  4134.211  2.506e-16  2.353e-15
  4138.420  1.868e-15  2.285e-15
  4142.631  2.100e-15  2.216e-15
  4146.844  2.448e-15  2.153e-15
  4151.059  1.173e-15  2.085e-15
  4155.276  7.825e-16  2.027e-15
  4159.495  1.822e-15  1.979e-15
  4163.716  2.575e-15  1.932e-15
  4167.939  6.861e-16  1.877e-15
  4172.164  2.600e-15  1.843e-15
  4176.391  1.679e-15  1.797e-15
  4180.620  1.921e-15  1.758e-15
  4184.851  1.777e-15  1.718e-15
  4189.084  1.357e-15  1.677e-15
  4193.319  7.538e-16  1.641e-15
  4197.557  3.084e-15  1.623e-15
  4201.796  1.143e-15  1.582e-15
  4206.037  1.276e-15  1.556e-15
  4210.280  2.501e-15  1.535e-15
  4214.525  2.252e-15  1.507e-15
  4218.772  1.073e-15  1.478e-15
  4223.021  1.648e-15  1.457e-15
  4227.272  1.824e-15  1.438e-15
  4231.525  2.497e-15  1.420e-15
  4235.780  1.947e-15  1.398e-15
  4240.037  2.643e-15  1.381e-15
  4244.295  1.211e-15  1.316e-15
  4248.556  2.115e-15  1.301e-15
  4252.819  1.738e-15  1.277e-15
  4257.085  2.412e-15  1.299e-15
  4261.351  3.044e-15  1.279e-15
  4265.620  2.201e-15  1.254e-15
  4269.890  1.976e-15  1.232e-15
