# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2025byj
# CHANNEL = B+R
# EXPNUM = 25_050_020_003
# MJD-OBS = 60725.352523
# DATE-OBS = 2025-02-19T08:27:23
# EXPTIME = 2100.0s
# AIRMASS = 1.18
# FLUXCAL_RMS_B = 0.105 mag
# FLUXCAL_RMS_R = 0.074 mag
# RA = 08:09:45.69
# DEC = 51:40:32.63
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 1.272435e-16 3.555148e-17
3403.480000 1.072524e-16 3.618858e-17
3406.480000 1.158296e-16 3.283468e-17
3409.480000 9.716231e-17 3.101940e-17
3412.480000 8.848943e-17 3.405651e-17
3415.480000 9.671492e-17 3.468928e-17
3418.480000 1.016844e-16 3.289288e-17
3421.480000 1.436924e-16 3.060034e-17
3424.480000 1.553683e-16 3.385277e-17
3427.480000 1.312435e-16 3.334633e-17
3430.480000 1.420009e-16 2.948992e-17
3433.480000 1.427534e-16 2.990194e-17
3436.480000 1.181268e-16 3.308106e-17
3439.480000 8.003921e-17 3.170043e-17
3442.480000 5.779709e-17 2.763184e-17
3445.480000 3.967947e-17 2.784147e-17
3448.480000 2.106845e-17 3.012850e-17
3451.480000 5.438930e-17 2.923779e-17
3454.480000 6.146583e-17 2.626129e-17
3457.480000 5.037778e-17 2.786715e-17
3460.480000 4.264533e-17 2.970319e-17
3463.480000 6.574443e-17 2.752325e-17
3466.480000 4.323309e-17 2.503812e-17
3469.480000 5.197768e-18 2.680754e-17
3472.480000 4.338771e-17 2.816058e-17
3475.480000 7.994588e-17 2.595563e-17
3478.480000 6.848888e-17 2.453197e-17
3481.480000 6.125285e-17 2.705628e-17
3484.480000 5.035577e-17 2.797142e-17
3487.480000 4.018682e-17 2.499783e-17
3490.480000 5.310340e-17 2.427514e-17
3493.480000 1.027787e-16 2.729186e-17
3496.480000 8.267630e-17 2.710220e-17
3499.480000 8.882566e-17 2.387349e-17
3502.480000 9.064151e-17 2.366972e-17
3505.480000 8.774846e-17 2.639748e-17
3508.480000 4.145665e-17 2.552955e-17
3511.480000 5.493046e-17 2.266344e-17
3514.480000 6.823005e-17 2.335381e-17
3517.480000 4.386430e-17 2.547013e-17
3520.480000 5.216247e-18 2.467041e-17
3523.480000 1.386778e-17 2.235409e-17
3526.480000 2.303022e-17 2.358247e-17
3529.480000 2.331615e-17 2.548178e-17
3532.480000 7.405630e-17 2.389023e-17
3535.480000 5.444419e-17 2.184833e-17
3538.480000 1.788873e-17 2.325751e-17
3541.480000 4.206535e-17 2.442959e-17
3544.480000 4.968871e-17 2.279296e-17
3547.480000 6.488031e-17 2.141710e-17
3550.480000 6.526346e-17 2.348661e-17
3553.480000 4.088412e-17 2.405171e-17
3556.480000 4.117877e-17 2.151339e-17
3559.480000 5.437112e-17 2.079852e-17
3562.480000 6.916220e-17 2.325917e-17
3565.480000 7.149429e-17 2.361900e-17
3568.480000 6.953166e-17 2.098285e-17
3571.480000 4.784262e-17 2.079620e-17
3574.480000 2.084914e-17 2.322819e-17
3577.480000 5.998798e-17 2.323783e-17
3580.480000 9.695627e-17 2.059222e-17
3583.480000 8.011375e-17 2.094792e-17
3586.480000 3.635654e-17 2.367559e-17
3589.480000 6.024947e-17 2.332795e-17
3592.480000 5.406561e-17 2.085313e-17
3595.480000 7.524509e-17 2.129022e-17
3598.480000 6.152194e-17 2.291311e-17
3601.480000 5.258911e-17 2.169088e-17
3604.480000 5.316970e-17 1.989760e-17
3607.480000 4.190185e-17 2.104697e-17
3610.480000 4.879583e-17 2.200362e-17
3613.480000 5.289648e-17 2.043965e-17
3616.480000 5.329762e-17 1.909683e-17
3619.480000 5.350221e-17 2.124474e-17
3622.480000 7.774268e-17 2.206642e-17
3625.480000 7.237278e-17 2.001529e-17
3628.480000 6.618319e-17 1.901787e-17
