# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2025cjd
# CHANNEL = B+R
# EXPNUM = 25_061_038_002
# MJD-OBS = 60736.580990
# DATE-OBS = 2025-03-02T13:56:22
# EXPTIME = 1800.0s
# AIRMASS = 1.09
# FLUXCAL_RMS_B = 0.105 mag
# FLUXCAL_RMS_R = 0.074 mag
# RA = 13:30:44.29
# DEC = -01:09:17.35
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 4.030752e-17 3.099753e-17
3403.480000 6.616252e-18 3.179561e-17
3406.480000 -1.138115e-17 2.892771e-17
3409.480000 -2.005168e-17 2.698085e-17
3412.480000 -1.548795e-17 3.001317e-17
3415.480000 -4.490727e-17 3.046330e-17
3418.480000 -5.165503e-17 2.734878e-17
3421.480000 -3.808242e-17 2.658302e-17
3424.480000 -2.607744e-17 3.000838e-17
3427.480000 -4.571665e-17 2.964933e-17
3430.480000 -1.578817e-17 2.540436e-17
3433.480000 -2.402440e-18 2.553204e-17
3436.480000 -5.080501e-17 2.799012e-17
3439.480000 -9.593454e-17 2.682253e-17
3442.480000 -7.287590e-18 2.415439e-17
3445.480000 -9.865179e-20 2.466300e-17
3448.480000 -2.302617e-17 2.664727e-17
3451.480000 -6.955781e-17 2.554209e-17
3454.480000 -4.211379e-17 2.348240e-17
3457.480000 -6.500690e-18 2.494793e-17
3460.480000 -1.496162e-17 2.645384e-17
3463.480000 -2.467578e-17 2.446779e-17
3466.480000 -1.637689e-17 2.265837e-17
3469.480000 -2.535795e-17 2.423794e-17
3472.480000 -3.538111e-18 2.596944e-17
3475.480000 -7.213779e-18 2.358731e-17
3478.480000 -1.067973e-17 2.219602e-17
3481.480000 -1.668145e-17 2.457734e-17
3484.480000 -4.114982e-18 2.547388e-17
3487.480000 3.812521e-17 2.355667e-17
3490.480000 2.349642e-17 2.423810e-17
3493.480000 -2.327432e-18 2.666777e-17
3496.480000 3.550286e-17 2.683232e-17
3499.480000 8.319040e-18 2.192520e-17
3502.480000 2.973864e-17 2.159812e-17
3505.480000 1.585760e-17 2.453142e-17
3508.480000 2.635786e-17 2.456606e-17
3511.480000 -1.096152e-17 2.106354e-17
3514.480000 -7.566550e-18 2.157391e-17
3517.480000 -1.447387e-17 2.346117e-17
3520.480000 -2.695678e-17 2.200426e-17
3523.480000 1.618983e-17 1.997449e-17
3526.480000 3.096773e-18 2.054535e-17
3529.480000 -1.573244e-18 2.183852e-17
3532.480000 1.752737e-18 2.065241e-17
3535.480000 -1.264876e-17 1.882974e-17
3538.480000 -3.073067e-18 2.072769e-17
3541.480000 7.274260e-18 2.174240e-17
3544.480000 -2.985770e-17 2.014806e-17
3547.480000 -1.686078e-18 1.953868e-17
3550.480000 2.219211e-17 2.155948e-17
3553.480000 -1.615741e-17 2.192864e-17
3556.480000 3.910715e-18 2.004208e-17
3559.480000 1.015755e-17 1.964499e-17
3562.480000 9.217159e-18 2.199448e-17
3565.480000 4.799144e-18 2.191278e-17
3568.480000 1.126676e-17 1.939161e-17
3571.480000 1.882730e-17 1.944824e-17
3574.480000 2.305241e-17 2.167566e-17
3577.480000 -1.576810e-17 2.123974e-17
3580.480000 3.002141e-19 1.870395e-17
3583.480000 9.539011e-18 1.858793e-17
3586.480000 2.342793e-17 2.088906e-17
3589.480000 3.871257e-17 2.022363e-17
3592.480000 9.390743e-18 1.814111e-17
3595.480000 8.832138e-18 1.847897e-17
3598.480000 1.194239e-17 1.971528e-17
3601.480000 5.726966e-18 1.859372e-17
3604.480000 2.980222e-17 1.701272e-17
3607.480000 3.282235e-17 1.821750e-17
3610.480000 9.232554e-18 1.911306e-17
3613.480000 1.032606e-17 1.776595e-17
3616.480000 2.136145e-17 1.686374e-17
3619.480000 2.617565e-18 1.871320e-17
3622.480000 -3.168473e-17 1.915859e-17
3625.480000 -1.368941e-17 1.744388e-17
3628.480000 1.730119e-17 1.683871e-17
3631.480000 2.732724e-17 1.897158e-17
3634.480000 1.772167e-17 1.927580e-17
3637.480000 1.761180e-18 1.715731e-17
3640.480000 3.910656e-19 1.692843e-17
3643.480000 -8.834798e-18 1.912374e-17
3646.480000 -1.156678e-17 1.898351e-17
3649.480000 1.127619e-17 1.655722e-17
3652.480000 5.551805e-19 1.671080e-17
3655.480000 -6.403849e-18 1.828420e-17
3658.480000 -5.330545e-18 1.793853e-17
3661.480000 -9.957706e-18 1.598404e-17
3664.480000 -9.014255e-18 1.644591e-17
3667.480000 1.036467e-18 1.820258e-17
3670.480000 2.943578e-17 1.843450e-17
3673.480000 1.781647e-17 1.555076e-17
3676.480000 -3.091866e-18 1.624576e-17
3679.480000 1.855807e-18 1.717884e-17
3682.480000 -4.559144e-19 1.595456e-17
3685.480000 -1.022032e-17 1.461678e-17
3688.480000 -3.113931e-17 1.576991e-17
3691.480000 -1.986837e-17 1.651700e-17
3694.480000 -8.941879e-18 1.534855e-17
3697.480000 -1.071065e-17 1.467169e-17
3700.480000 -7.995001e-18 1.639219e-17
3703.480000 -3.377653e-19 1.697418e-17
3706.480000 2.142825e-18 1.515888e-17
3709.480000 5.458117e-18 1.479251e-17
3712.480000 -4.634704e-18 1.667071e-17
3715.480000 1.837730e-17 1.685581e-17
3718.480000 2.084275e-17 1.492965e-17
3721.480000 2.517308e-17 1.505408e-17
3724.480000 2.879225e-17 1.679721e-17
3727.480000 1.564832e-17 1.639492e-17
3730.480000 -1.036912e-17 1.452080e-17
3733.480000 3.632257e-18 1.531209e-17
3736.480000 1.482656e-19 1.686758e-17
3739.480000 -1.870272e-18 1.626620e-17
3742.480000 8.295079e-18 1.487062e-17
3745.480000 8.046562e-18 1.577899e-17
3748.480000 1.905493e-17 1.681447e-17
3751.480000 1.430869e-17 1.562403e-17
3754.480000 1.457683e-17 1.455828e-17
3757.480000 1.365960e-17 1.560619e-17
3760.480000 -5.975616e-18 1.604955e-17
3763.480000 -2.169999e-17 1.459808e-17
3766.480000 -5.677716e-18 1.409180e-17
3769.480000 3.567744e-18 1.573027e-17
3772.480000 7.026419e-18 1.612477e-17
3775.480000 -1.709341e-17 1.419797e-17
3778.480000 -9.752694e-18 1.391863e-17
3781.480000 1.379505e-17 1.589181e-17
3784.480000 3.858065e-18 1.575287e-17
3787.480000 2.285348e-18 1.384645e-17
3790.480000 9.826337e-18 1.397321e-17
3793.480000 2.231615e-18 1.553273e-17
3796.480000 -1.025432e-17 1.520345e-17
3799.480000 -6.833565e-18 1.333177e-17
3802.480000 8.081787e-19 1.364356e-17
3805.480000 5.986392e-18 1.503680e-17
3808.480000 9.804955e-18 1.446287e-17
3811.480000 8.581543e-18 1.309431e-17
3814.480000 2.233821e-17 1.400596e-17
3817.480000 1.486675e-17 1.474653e-17
3820.480000 -7.635900e-18 1.385051e-17
3823.480000 2.599042e-18 1.278583e-17
3826.480000 6.996568e-18 1.370195e-17
3829.480000 1.204977e-17 1.451270e-17
3832.480000 -3.081905e-18 1.345276e-17
3835.480000 2.178042e-17 1.287249e-17
3838.480000 1.467223e-17 1.413508e-17
3841.480000 1.153417e-17 1.440872e-17
3844.480000 1.973955e-17 1.296473e-17
3847.480000 2.374038e-17 1.263127e-17
3850.480000 7.293445e-18 1.406969e-17
3853.480000 3.907455e-18 1.423089e-17
3856.480000 1.062162e-17 1.255852e-17
3859.480000 2.380952e-17 1.261061e-17
3862.480000 1.873889e-17 1.395610e-17
3865.480000 1.803729e-17 1.402188e-17
3868.480000 6.528802e-18 1.215589e-17
3871.480000 2.937937e-18 1.239115e-17
3874.480000 1.218933e-17 1.392942e-17
3877.480000 2.234976e-17 1.363333e-17
3880.480000 3.473074e-17 1.242821e-17
3883.480000 3.945720e-17 1.305567e-17
3886.480000 2.796971e-17 1.392631e-17
3889.480000 1.441041e-17 1.314475e-17
3892.480000 1.712128e-17 1.220714e-17
3895.480000 3.364350e-17 1.324930e-17
3898.480000 2.205325e-17 1.381586e-17
3901.480000 1.667878e-17 1.275427e-17
3904.480000 2.932183e-17 1.208185e-17
3907.480000 3.975215e-17 1.337907e-17
3910.480000 2.398405e-17 1.373926e-17
3913.480000 2.186958e-17 1.237401e-17
3916.480000 3.309040e-17 1.201376e-17
3919.480000 2.898327e-17 1.341891e-17
3922.480000 3.455439e-17 1.339356e-17
3925.480000 4.916463e-17 1.190285e-17
3928.480000 4.239440e-17 1.166307e-17
3931.480000 3.444459e-17 1.316476e-17
3934.480000 2.548231e-17 1.298067e-17
3937.480000 3.095113e-17 1.138814e-17
3940.480000 2.789109e-17 1.168189e-17
3943.480000 3.710804e-17 1.321031e-17
3946.480000 2.718046e-17 1.285114e-17
3949.480000 1.759019e-17 1.155103e-17
3952.480000 2.133804e-17 1.208372e-17
3955.480000 2.684822e-17 1.305092e-17
3958.480000 3.144602e-17 1.248641e-17
3961.480000 3.692245e-17 1.145152e-17
3964.480000 3.241202e-17 1.211356e-17
3967.480000 1.915640e-17 1.278668e-17
3970.480000 1.515570e-17 1.179806e-17
3973.480000 1.038501e-17 1.098404e-17
3976.480000 1.480996e-17 1.198227e-17
3979.480000 2.056728e-17 1.260147e-17
3982.480000 1.803528e-17 1.164975e-17
3985.480000 2.293228e-17 1.156392e-17
3988.480000 3.940647e-17 1.311528e-17
3991.480000 3.190376e-17 1.313986e-17
3994.480000 2.539787e-17 1.183599e-17
3997.480000 1.489437e-17 1.187640e-17
4000.480000 3.023884e-17 1.381271e-17
4003.480000 1.942743e-17 1.373116e-17
4006.480000 1.949052e-17 1.224075e-17
4009.480000 2.399385e-17 1.252415e-17
4012.480000 2.475760e-17 1.402284e-17
4015.480000 4.458389e-17 1.367994e-17
