# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2025dov
# CHANNEL = B+R
# EXPNUM = 25_067_029_003
# MJD-OBS = 60742.393009
# DATE-OBS = 2025-03-08T09:25:41
# EXPTIME = 1800.0s
# AIRMASS = 1.05
# FLUXCAL_RMS_B = 0.105 mag
# FLUXCAL_RMS_R = 0.074 mag
# RA = 11:16:00.03
# DEC = 29:21:48.72
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 8.849679e-17 8.861841e-17
3403.480000 5.491111e-17 9.084952e-17
3406.480000 1.031290e-16 8.118184e-17
3409.480000 1.284006e-16 7.570745e-17
3412.480000 2.126047e-18 8.159343e-17
3415.480000 1.655489e-16 8.439402e-17
3418.480000 2.717454e-16 7.495530e-17
3421.480000 1.493016e-16 7.119796e-17
3424.480000 2.118138e-16 8.107147e-17
3427.480000 1.615508e-16 8.063413e-17
3430.480000 1.052324e-16 7.007443e-17
3433.480000 2.824533e-16 7.026405e-17
3436.480000 2.238632e-16 7.752272e-17
3439.480000 2.491515e-16 7.526941e-17
3442.480000 2.611781e-16 6.466005e-17
3445.480000 2.842130e-16 6.475022e-17
3448.480000 1.936976e-16 7.063897e-17
3451.480000 1.318356e-16 6.793886e-17
3454.480000 1.511113e-16 6.004892e-17
3457.480000 2.025544e-16 6.219048e-17
3460.480000 1.581059e-16 6.525424e-17
3463.480000 6.509300e-17 6.021188e-17
3466.480000 5.188645e-17 5.488045e-17
3469.480000 2.420306e-17 5.878657e-17
3472.480000 8.210475e-17 6.175159e-17
3475.480000 1.316588e-16 5.571234e-17
3478.480000 1.393093e-16 5.232088e-17
3481.480000 1.086435e-16 5.795162e-17
3484.480000 1.254197e-16 5.910087e-17
3487.480000 2.028836e-16 5.328656e-17
3490.480000 1.828999e-16 5.053873e-17
3493.480000 1.916590e-16 5.601154e-17
3496.480000 1.356454e-16 5.595326e-17
3499.480000 1.177488e-16 4.934488e-17
3502.480000 4.201095e-17 5.298825e-17
3505.480000 8.805560e-17 6.154166e-17
3508.480000 6.076365e-17 5.583098e-17
3511.480000 1.785404e-16 4.711658e-17
3514.480000 2.384870e-16 4.801915e-17
3517.480000 2.543826e-16 5.303259e-17
3520.480000 1.934103e-16 5.110595e-17
3523.480000 2.539027e-16 4.512039e-17
3526.480000 1.973269e-16 4.607533e-17
3529.480000 2.059639e-16 4.952075e-17
3532.480000 1.741976e-16 4.690775e-17
3535.480000 1.519978e-16 4.264227e-17
3538.480000 1.424875e-16 4.563445e-17
