# TELESCOPE = UH88
# INSTRUMENT = SNIFS
# OBJECT = 2025hzz
# CHANNEL = B+R
# EXPNUM = 25_113_021_003
# MJD-OBS = 60788.526539
# DATE-OBS = 2025-04-23T12:37:57
# EXPTIME = 1800.0s
# AIRMASS = 1.02
# FLUXCAL_RMS_B = 0.105 mag
# FLUXCAL_RMS_R = 0.074 mag
# RA = 15:41:55.60
# DEC = 27:07:55.08
# wl fl err
# [A] [erg/s/cm2/A]
3400.480000 4.084258e-16 7.383492e-17
3403.480000 4.726864e-16 7.661771e-17
3406.480000 3.606176e-16 6.756631e-17
3409.480000 4.129449e-16 6.353613e-17
3412.480000 4.521101e-16 6.986795e-17
3415.480000 4.227529e-16 7.087024e-17
3418.480000 4.205173e-16 6.168434e-17
3421.480000 3.939734e-16 6.034353e-17
3424.480000 3.081310e-16 6.677995e-17
3427.480000 3.800917e-16 6.743846e-17
3430.480000 3.963179e-16 5.850593e-17
3433.480000 3.500819e-16 5.753444e-17
3436.480000 3.738208e-16 6.374667e-17
3439.480000 3.354396e-16 6.247398e-17
3442.480000 4.291403e-16 5.556056e-17
3445.480000 4.372699e-16 5.670302e-17
3448.480000 3.814051e-16 6.107067e-17
3451.480000 3.326443e-16 5.829418e-17
3454.480000 2.741373e-16 5.145604e-17
3457.480000 2.791008e-16 5.377547e-17
3460.480000 2.916746e-16 5.669410e-17
3463.480000 2.445108e-16 5.253556e-17
3466.480000 3.090282e-16 4.771733e-17
3469.480000 3.143547e-16 5.047887e-17
3472.480000 2.867665e-16 5.209414e-17
3475.480000 2.650351e-16 4.720438e-17
3478.480000 3.282865e-16 4.526706e-17
3481.480000 2.757078e-16 5.029471e-17
3484.480000 3.130159e-16 5.137774e-17
3487.480000 3.715491e-16 4.643213e-17
3490.480000 3.236296e-16 4.456433e-17
3493.480000 3.024647e-16 4.880881e-17
3496.480000 2.777530e-16 4.819681e-17
3499.480000 3.431778e-16 4.257295e-17
3502.480000 3.346920e-16 4.175846e-17
3505.480000 2.875473e-16 4.610572e-17
3508.480000 2.231956e-16 4.550183e-17
3511.480000 2.901190e-16 4.120842e-17
3514.480000 3.546428e-16 4.371223e-17
3517.480000 3.218231e-16 4.485576e-17
3520.480000 3.054661e-16 4.274008e-17
3523.480000 2.470074e-16 3.816198e-17
3526.480000 1.952702e-16 3.916504e-17
3529.480000 2.759247e-16 4.200324e-17
3532.480000 3.979409e-16 4.021735e-17
3535.480000 3.221555e-16 3.629231e-17
3538.480000 2.664096e-16 3.898539e-17
3541.480000 3.087728e-16 4.160961e-17
3544.480000 2.689157e-16 3.882291e-17
3547.480000 2.604726e-16 3.664895e-17
3550.480000 3.059313e-16 4.010553e-17
3553.480000 3.624962e-16 4.135667e-17
3556.480000 2.720186e-16 3.677758e-17
3559.480000 3.288133e-16 3.571985e-17
3562.480000 3.775197e-16 4.001900e-17
3565.480000 3.185953e-16 3.985299e-17
3568.480000 3.252297e-16 3.475551e-17
3571.480000 3.278151e-16 3.455651e-17
3574.480000 3.379604e-16 4.004587e-17
3577.480000 2.577274e-16 3.758349e-17
3580.480000 2.781345e-16 3.264095e-17
3583.480000 3.081674e-16 3.283524e-17
3586.480000 2.910811e-16 3.636769e-17
3589.480000 3.166684e-16 3.507718e-17
3592.480000 2.562228e-16 3.092054e-17
3595.480000 2.562977e-16 3.218744e-17
3598.480000 2.650562e-16 3.526777e-17
3601.480000 2.998995e-16 3.360576e-17
3604.480000 2.930125e-16 3.048158e-17
3607.480000 2.712467e-16 3.246656e-17
3610.480000 2.798154e-16 3.475403e-17
3613.480000 3.279930e-16 3.251433e-17
3616.480000 2.744576e-16 3.032514e-17
3619.480000 2.984755e-16 3.373995e-17
3622.480000 2.614028e-16 3.484302e-17
3625.480000 3.041211e-16 3.196505e-17
3628.480000 3.538190e-16 3.076919e-17
3631.480000 2.970409e-16 3.383867e-17
3634.480000 3.095633e-16 3.464792e-17
3637.480000 3.561063e-16 3.070392e-17
3640.480000 3.454752e-16 3.017205e-17
3643.480000 3.058230e-16 3.401522e-17
3646.480000 3.520230e-16 3.362847e-17
3649.480000 3.640844e-16 2.917913e-17
3652.480000 3.377351e-16 2.936030e-17
3655.480000 3.317630e-16 3.257711e-17
3658.480000 3.419019e-16 3.174191e-17
3661.480000 2.996987e-16 2.806415e-17
3664.480000 2.274360e-16 2.897028e-17
3667.480000 2.871332e-16 3.203678e-17
3670.480000 3.308726e-16 3.232805e-17
3673.480000 3.440688e-16 2.997174e-17
3676.480000 3.350005e-16 3.096805e-17
3679.480000 3.751474e-16 3.200396e-17
3682.480000 3.572592e-16 2.979762e-17
3685.480000 3.081690e-16 2.768388e-17
3688.480000 3.327299e-16 3.048822e-17
3691.480000 3.726362e-16 3.196597e-17
3694.480000 3.628463e-16 2.913152e-17
3697.480000 3.771667e-16 2.769537e-17
3700.480000 3.502483e-16 3.074434e-17
3703.480000 3.625172e-16 3.124484e-17
3706.480000 3.222840e-16 2.776923e-17
3709.480000 3.118846e-16 2.713115e-17
3712.480000 3.436922e-16 3.090440e-17
3715.480000 3.181097e-16 3.026942e-17
3718.480000 3.642385e-16 2.651670e-17
3721.480000 3.765317e-16 2.639517e-17
3724.480000 3.427801e-16 2.930354e-17
3727.480000 3.322200e-16 2.867958e-17
3730.480000 3.252256e-16 2.545641e-17
3733.480000 2.516344e-16 2.627829e-17
3736.480000 2.970981e-16 2.903893e-17
3739.480000 3.212339e-16 2.814333e-17
3742.480000 3.760094e-16 2.595629e-17
3745.480000 3.859088e-16 2.757548e-17
3748.480000 3.769074e-16 2.924282e-17
3751.480000 4.151147e-16 2.764488e-17
3754.480000 3.772949e-16 2.523183e-17
3757.480000 4.027020e-16 2.733338e-17
3760.480000 3.812188e-16 2.848452e-17
3763.480000 3.846245e-16 2.600853e-17
3766.480000 3.855434e-16 2.486946e-17
3769.480000 3.880976e-16 2.743548e-17
3772.480000 3.627185e-16 2.765088e-17
3775.480000 4.221635e-16 2.520215e-17
3778.480000 4.600524e-16 2.477992e-17
3781.480000 4.437616e-16 2.785526e-17
3784.480000 4.300669e-16 2.765631e-17
3787.480000 4.139158e-16 2.398816e-17
3790.480000 4.192801e-16 2.392019e-17
3793.480000 3.877441e-16 2.664602e-17
3796.480000 4.261699e-16 2.656361e-17
3799.480000 4.317746e-16 2.336706e-17
3802.480000 4.147269e-16 2.394126e-17
3805.480000 4.126129e-16 2.642772e-17
3808.480000 4.225859e-16 2.553104e-17
3811.480000 4.049581e-16 2.298995e-17
3814.480000 4.250922e-16 2.438544e-17
3817.480000 4.358889e-16 2.644778e-17
3820.480000 4.447564e-16 2.504796e-17
3823.480000 4.492411e-16 2.304570e-17
