# SIMPLE  =                    T / conforms to FITS standard                      
# BITPIX  =                    8 / array data type                                
# NAXIS   =                    0 / number of array dimensions                     
# EXTEND  =                    T                                                  
# VERSPYT = '3.11.7  '           / Python version                                 
# VERSNPY = '1.26.4  '           / Numpy version                                  
# VERSSCI = '1.12.0  '           / Scipy version                                  
# VERSAST = '6.0.0   '           / Astropy version                                
# VERSSKL = '1.4.1.post1'        / Scikit-learn version                           
# VERSPYP = '1.17.0  '           / PypeIt version                                 
# DATE    = '2025-01-28'         / UTC date created                               
# RA      =           172.672125                                                  
# DEC     =    32.95276944444445                                                  
# TARGET  = 'GOTO25rw'                                                            
# DISPNAME= 'blue    '                                                            
# DECKER  = 'slit    '                                                            
# BINNING = '1,1     '                                                            
# MJD     =         60703.151776                                                  
# DATETIME= '2025-01-28T03:38:33.446' / Date and time of the observation in ISOT f
# AIRMASS =             1.010921                                                  
# EXPTIME =               1200.0                                                  
# FILENAME= 'v_e_20250127_78_1_0_9.fits.gz'                                       
# INSTRUME= 'SPRAT   '                                                            
# DETECTOR= 'E2V CCD30-11 10333-02-26'                                            
# DATE-OBS= '2025-01-28T03:38:33.425'                                             
# CONFNAME= 'user_def_config'                                                     
# FOVTYPE = 'slit    '                                                            
# CCDXBIN =                    1                                                  
# CCDYBIN =                    1                                                  
# PYPELINE= 'MultiSlit'                                                           
# PYP_SPEC= 'lt_sprat'                                                            
# TELESCOP= 'LT      '                                                            
# LON-OBS =  -17.879999999999995                                                  
# LAT-OBS =   28.758333333333336                                                  
# ALT-OBS =    2326.999999998442                                                  
# CLBS_DIR= '/home/mpursiai/onedrive-work/work/GOTO_classifications/GOTO-FAST/py&'
# CONTINUE  'peit/20250127/reduced/Calibrations'                                  
# CLBS_ARC= 'Arc_A_0_DET01.fits'                                                  
# HIERARCH CLBS_WAVECALIB = 'WaveCalib_A_0_DET01.fits'                            
# HIERARCH CLBS_BIAS = 'Bias_A_0_DET01.fits'                                      
# HIERARCH CLBS_FLAT = 'Flat_A_0_DET01.fits'                                      
# HIERARCH CLBS_EDGES = 'Edges_A_0_DET01.fits.gz'                                 
# HIERARCH CLBS_SLITS = 'Slits_A_0_DET01.fits.gz'                                 
# HIERARCH CLBS_TILTIMG = 'Tiltimg_A_0_DET01.fits'                                
# HIERARCH CLBS_TILTS = 'Tilts_A_0_DET01.fits'                                    
# DMODCLS = 'SpecObjs'           / Datamodel class                                
# DMODVER = '1.0.0   '           / Datamodel version                              
# EXT0000 = 'SPAT0126-SLIT0113-DET01'                                             
# NSPEC   =                    1                                                  
# 
#      Lam       Flux        STD
  4002.418  4.980e-16  1.615e-16
  4006.757  1.508e-15  1.646e-16
  4011.104  8.230e-16  1.442e-16
  4015.448  1.080e-15  1.460e-16
  4019.791 -3.105e-15  1.256e-16
  4024.134  9.781e-16  1.472e-16
  4028.484  1.952e-15  1.760e-16
  4032.831  9.180e-16  1.553e-16
  4037.176  8.807e-16  1.583e-16
  4041.524  1.186e-15  1.700e-16
  4045.877  1.331e-15  1.768e-16
  4050.226  1.834e-15  1.862e-16
  4054.581  1.760e-15  1.889e-16
  4058.935  1.330e-15  1.710e-16
  4063.289  1.390e-15  1.699e-16
  4067.644  2.004e-15  1.747e-16
  4072.000  1.721e-15  1.568e-16
  4076.360  1.484e-15  1.479e-16
  4080.717  1.904e-15  1.525e-16
  4085.077  1.824e-15  1.454e-16
  4089.437  1.441e-15  1.237e-16
  4093.800  1.266e-15  1.277e-16
  4098.166  1.384e-15  1.296e-16
  4102.527  1.484e-15  1.279e-16
  4106.891  1.578e-15  1.265e-16
  4111.259  1.250e-15  1.201e-16
  4115.626  1.827e-15  1.236e-16
  4119.996  1.606e-15  1.252e-16
  4124.364  1.865e-15  1.239e-16
  4128.735  1.617e-15  1.196e-16
  4133.108  1.926e-15  1.191e-16
  4137.481  1.559e-15  1.119e-16
  4141.858  1.451e-15  1.105e-16
  4146.230  1.544e-15  1.097e-16
  4150.605  1.312e-15  1.033e-16
  4154.982  1.419e-15  1.030e-16
  4159.331  1.537e-15  1.236e-16
  4163.711  1.941e-15  1.284e-16
  4168.083  1.292e-15  1.109e-16
  4172.474  1.574e-15  1.046e-16
  4176.875  1.081e-15  8.834e-17
  4181.268  1.592e-15  9.342e-17
  4185.653  1.367e-15  9.303e-17
  4190.041  1.421e-15  9.016e-17
  4194.425  1.449e-15  8.969e-17
  4198.815  1.798e-15  9.399e-17
  4203.203  1.833e-15  9.283e-17
  4207.590  1.665e-15  8.886e-17
  4211.984  1.520e-15  8.636e-17
  4216.375  1.537e-15  8.701e-17
  4220.769  1.511e-15  8.440e-17
  4225.165  1.842e-15  8.792e-17
  4229.559  1.738e-15  8.553e-17
  4233.956  1.725e-15  8.556e-17
  4238.352  1.605e-15  8.342e-17
  4242.752  1.707e-15  8.457e-17
  4247.151  1.831e-15  8.448e-17
  4251.550  1.689e-15  8.428e-17
  4255.955  1.747e-15  8.389e-17
  4260.356  1.609e-15  8.087e-17
  4264.776  1.615e-15  8.002e-17
  4269.182  1.896e-15  8.463e-17
  4273.589  1.797e-15  8.016e-17
  4277.987  1.786e-15  7.945e-17
  4282.387  1.692e-15  7.919e-17
  4286.798  1.434e-15  7.662e-17
  4291.206  1.752e-15  7.899e-17
  4295.617  1.743e-15  7.934e-17
  4300.029  1.562e-15  7.526e-17
  4304.442  1.532e-15  7.531e-17
  4308.857  1.311e-15  7.188e-17
  4313.274  1.327e-15  7.193e-17
  4317.689  1.539e-15  7.401e-17
  4322.110  1.374e-15  7.212e-17
  4326.527  1.558e-15  7.337e-17
  4330.947  1.253e-15  6.868e-17
  4335.369  1.108e-15  6.702e-17
  4339.790  1.498e-15  7.196e-17
  4344.214  1.446e-15  7.081e-17
  4348.637  1.424e-15  7.026e-17
  4353.061  1.389e-15  6.933e-17
  4357.489  1.517e-15  7.072e-17
  4361.918  1.463e-15  6.961e-17
  4366.345  1.426e-15  6.877e-17
  4370.776  1.482e-15  6.936e-17
  4375.204  1.442e-15  6.804e-17
  4379.637  1.327e-15  6.748e-17
  4384.070  1.248e-15  6.554e-17
  4388.503  1.127e-15  6.250e-17
  4392.937  1.349e-15  6.560e-17
  4397.375  1.209e-15  6.380e-17
  4401.810  1.364e-15  6.514e-17
  4406.249  1.329e-15  6.638e-17
  4410.687  1.132e-15  6.305e-17
  4415.128  1.155e-15  6.362e-17
  4419.569  1.181e-15  6.307e-17
  4424.011  1.159e-15  6.178e-17
  4428.457  1.265e-15  6.361e-17
  4432.899  9.934e-16  5.939e-17
  4437.345  1.151e-15  6.114e-17
  4441.790  1.091e-15  5.938e-17
  4446.238  1.057e-15  5.841e-17
  4450.685  1.016e-15  5.720e-17
  4455.139  1.010e-15  5.613e-17
  4459.589  1.192e-15  5.810e-17
  4464.041  1.102e-15  5.729e-17
  4468.494  8.874e-16  5.394e-17
  4472.948  9.027e-16  5.377e-17
  4477.403  9.368e-16  5.348e-17
  4481.862  9.535e-16  5.382e-17
  4486.316  8.284e-16  5.156e-17
  4490.774  8.811e-16  5.143e-17
  4495.233  8.045e-16  5.090e-17
  4499.695  8.557e-16  5.058e-17
  4504.155  7.315e-16  4.869e-17
  4508.620  9.036e-16  5.168e-17
  4513.082  9.466e-16  5.095e-17
  4517.548  8.134e-16  4.901e-17
  4522.013  9.164e-16  5.058e-17
  4526.481  9.263e-16  5.089e-17
  4530.947  8.515e-16  4.953e-17
  4535.417  9.400e-16  5.061e-17
  4539.887  8.640e-16  4.999e-17
  4544.360  8.920e-16  4.884e-17
  4548.830  1.015e-15  5.137e-17
  4553.302  9.853e-16  5.062e-17
  4557.778  1.057e-15  5.122e-17
  4562.252  9.595e-16  4.949e-17
  4566.730  1.054e-15  4.984e-17
  4571.205  8.516e-16  4.711e-17
  4575.684  1.051e-15  4.906e-17
  4580.165  9.538e-16  4.810e-17
  4584.646  1.171e-15  5.106e-17
  4589.126  9.066e-16  4.753e-17
  4593.610  1.122e-15  4.830e-17
  4598.092  9.486e-16  4.664e-17
  4602.580  1.105e-15  4.802e-17
  4607.063  1.022e-15  4.688e-17
  4611.552  1.064e-15  4.618e-17
  4616.039  1.023e-15  4.753e-17
  4620.527  1.048e-15  4.615e-17
  4625.016  1.121e-15  4.722e-17
  4629.509  9.421e-16  4.418e-17
  4633.999  1.006e-15  4.444e-17
  4638.493  1.012e-15  4.429e-17
  4642.988  1.107e-15  4.496e-17
  4647.484  1.079e-15  4.458e-17
  4651.980  1.055e-15  4.533e-17
  4656.478  1.056e-15  4.467e-17
  4660.975  9.806e-16  4.356e-17
  4665.475  1.038e-15  4.463e-17
  4669.975  1.247e-15  4.684e-17
  4674.476  1.103e-15  4.501e-17
  4678.980  1.166e-15  4.554e-17
  4683.482  1.163e-15  4.484e-17
  4687.987  1.285e-15  4.591e-17
  4692.493  1.168e-15  4.387e-17
  4697.000  1.233e-15  4.520e-17
  4701.506  1.105e-15  4.349e-17
  4706.017  1.227e-15  4.407e-17
  4710.526  1.257e-15  4.442e-17
  4715.038  1.169e-15  4.319e-17
  4719.550  1.215e-15  4.327e-17
  4724.062  1.117e-15  4.309e-17
  4728.575  1.296e-15  4.450e-17
  4733.090  1.246e-15  4.440e-17
  4737.608  1.167e-15  4.297e-17
  4742.125  1.241e-15  4.365e-17
  4746.643  1.146e-15  4.202e-17
  4751.161  1.117e-15  4.235e-17
  4755.682  1.257e-15  4.292e-17
  4760.201  1.076e-15  4.103e-17
  4764.724  1.129e-15  4.159e-17
  4769.248  1.153e-15  4.144e-17
  4773.773  1.068e-15  4.096e-17
  4778.298  1.119e-15  4.183e-17
  4782.825  1.187e-15  4.174e-17
  4787.351  1.080e-15  4.102e-17
  4791.880  1.124e-15  4.157e-17
  4796.408  1.278e-15  4.256e-17
  4800.940  1.206e-15  4.162e-17
  4805.469  1.139e-15  4.112e-17
  4810.002  1.248e-15  4.183e-17
  4814.536  1.181e-15  4.163e-17
  4819.073  1.171e-15  4.168e-17
  4823.606  1.168e-15  4.148e-17
  4828.142  1.197e-15  4.190e-17
  4832.679  1.125e-15  4.100e-17
  4837.219  1.206e-15  4.142e-17
  4841.759  9.783e-16  3.956e-17
  4846.299  1.144e-15  4.129e-17
  4850.842  1.089e-15  3.968e-17
  4855.383  1.079e-15  3.941e-17
  4859.925  1.044e-15  3.886e-17
  4864.470  9.567e-16  3.766e-17
  4869.018  9.929e-16  3.823e-17
  4873.564  1.036e-15  3.858e-17
  4878.111  1.034e-15  3.870e-17
  4882.659  1.041e-15  3.860e-17
  4887.209  1.026e-15  3.845e-17
  4891.761  9.444e-16  3.784e-17
  4896.312  9.901e-16  3.792e-17
  4900.864  9.622e-16  3.704e-17
  4905.419  1.001e-15  3.766e-17
  4909.972  9.487e-16  3.659e-17
  4914.528  8.851e-16  3.566e-17
  4919.085  9.674e-16  3.668e-17
  4923.643  9.614e-16  3.652e-17
  4928.201  8.431e-16  3.505e-17
  4932.762  9.295e-16  3.558e-17
  4937.322  8.754e-16  3.525e-17
  4941.884  9.019e-16  3.543e-17
  4946.446  9.094e-16  3.517e-17
  4951.010  8.901e-16  3.504e-17
  4955.574  7.822e-16  3.401e-17
  4960.139  8.851e-16  3.524e-17
  4964.706  7.650e-16  3.363e-17
  4969.273  8.944e-16  3.499e-17
  4973.841  8.241e-16  3.400e-17
  4978.411  8.541e-16  3.478e-17
  4982.981  8.203e-16  3.410e-17
  4987.554  7.809e-16  3.363e-17
  4992.128  7.636e-16  3.327e-17
  4996.700  9.535e-16  3.493e-17
  5001.274  8.363e-16  3.356e-17
  5005.852  9.321e-16  3.454e-17
  5010.426  8.177e-16  3.299e-17
  5015.005  9.487e-16  3.430e-17
  5019.582  8.449e-16  3.301e-17
  5024.163  8.318e-16  3.338e-17
  5028.742  7.942e-16  3.235e-17
  5033.322  6.809e-16  3.116e-17
  5037.904  7.876e-16  3.211e-17
  5042.489  7.537e-16  3.169e-17
  5047.074  7.320e-16  3.125e-17
  5051.658  6.516e-16  3.068e-17
  5056.245  7.323e-16  3.132e-17
  5060.832  7.144e-16  3.103e-17
  5065.419  6.853e-16  3.063e-17
  5070.008  6.841e-16  3.062e-17
  5074.600  7.518e-16  3.149e-17
  5079.189  6.776e-16  3.084e-17
  5083.781  6.549e-16  3.026e-17
  5088.373  6.934e-16  3.077e-17
  5092.968  7.031e-16  3.051e-17
  5097.563  6.683e-16  2.988e-17
  5102.160  7.277e-16  3.042e-17
  5106.756  8.073e-16  3.154e-17
  5111.353  7.841e-16  3.077e-17
  5115.951  8.437e-16  3.172e-17
  5120.551  7.896e-16  3.078e-17
  5125.152  7.608e-16  3.064e-17
  5129.754  7.988e-16  3.077e-17
  5134.355  7.431e-16  3.068e-17
  5138.959  6.808e-16  2.957e-17
  5143.564  7.147e-16  3.005e-17
  5148.168  6.807e-16  2.999e-17
  5152.776  7.001e-16  3.011e-17
  5157.381  6.937e-16  3.000e-17
  5161.990  7.245e-16  3.002e-17
  5166.598  6.726e-16  2.885e-17
  5171.210  6.376e-16  2.844e-17
  5175.821  7.528e-16  2.923e-17
  5180.430  6.648e-16  2.816e-17
  5185.045  6.868e-16  2.901e-17
  5189.657  6.586e-16  2.877e-17
  5194.272  6.606e-16  2.947e-17
  5198.888  6.891e-16  2.963e-17
  5203.504  6.320e-16  2.886e-17
  5208.121  7.044e-16  2.943e-17
  5212.740  6.562e-16  2.878e-17
  5217.356  6.399e-16  2.820e-17
  5221.978  6.257e-16  2.820e-17
  5226.600  6.981e-16  2.874e-17
  5231.221  5.957e-16  2.767e-17
  5235.845  6.711e-16  2.842e-17
  5240.468  6.932e-16  2.847e-17
  5245.093  5.817e-16  2.756e-17
  5249.718  7.198e-16  2.863e-17
  5254.347  6.835e-16  2.836e-17
  5258.974  6.991e-16  2.852e-17
  5263.600  7.952e-16  2.891e-17
  5268.230  7.106e-16  2.807e-17
  5272.861  7.554e-16  2.865e-17
  5277.491  7.521e-16  2.865e-17
  5282.124  7.555e-16  2.882e-17
  5286.757  7.412e-16  2.878e-17
  5291.390  7.765e-16  2.889e-17
  5296.026  8.228e-16  2.961e-17
  5300.660  7.830e-16  2.902e-17
  5305.297  8.464e-16  2.985e-17
  5309.935  8.089e-16  2.947e-17
  5314.572  8.993e-16  3.035e-17
  5319.213  8.283e-16  2.973e-17
  5323.852  8.935e-16  3.026e-17
  5328.492  9.203e-16  3.047e-17
  5333.135  8.630e-16  2.977e-17
  5337.777  8.874e-16  3.003e-17
  5342.421  8.454e-16  3.000e-17
  5347.067  9.413e-16  3.059e-17
  5351.711  9.329e-16  3.056e-17
  5356.356  9.033e-16  3.053e-17
  5361.003  8.087e-16  2.913e-17
  5365.652  9.075e-16  3.015e-17
  5370.300  8.651e-16  2.949e-17
  5374.950  8.821e-16  2.986e-17
  5379.601  9.337e-16  3.004e-17
  5384.253  8.353e-16  2.941e-17
  5388.905  8.029e-16  2.881e-17
  5393.558  8.827e-16  2.964e-17
  5398.211  8.018e-16  2.876e-17
  5402.866  9.129e-16  2.988e-17
  5407.522  8.859e-16  2.960e-17
  5412.180  8.774e-16  2.962e-17
  5416.834  8.157e-16  2.901e-17
  5421.495  8.413e-16  2.910e-17
  5426.154  8.731e-16  2.908e-17
  5430.814  8.343e-16  2.869e-17
  5435.475  9.237e-16  2.961e-17
  5440.137  8.444e-16  2.872e-17
  5444.801  7.931e-16  2.854e-17
  5449.463  8.210e-16  2.856e-17
  5454.126  7.678e-16  2.771e-17
  5458.792  7.213e-16  2.728e-17
  5463.458  7.561e-16  2.762e-17
  5468.125  7.049e-16  2.694e-17
  5472.790  6.586e-16  2.602e-17
  5477.461  6.273e-16  2.584e-17
  5482.130  6.085e-16  2.564e-17
  5486.800  6.158e-16  2.548e-17
  5491.472  5.901e-16  2.553e-17
  5496.143  6.087e-16  2.560e-17
  5500.815  5.738e-16  2.559e-17
  5505.489  5.901e-16  2.592e-17
  5510.163  5.376e-16  2.499e-17
