BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 3141  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel                              
IRAF-MIN=                   0.  /  Min image pixel                              
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = '07D4FL            '  /                                              
FILENAME= '07D4FLFC_RECAL2_ATM[*,1,1]'  /
FORMAT  = '5G14.7            '  /  Text line format                            
EXTEND  =                    F / File may contain extensions                    
ORIGIN  = 'NOAO-IRAF FITS Image Kernel July 2003' / FITS file originator        
OBJECT  = '07D4fl  '           / Name of the object observed                    
DATE    = '2008-02-21T11:09:28' / Date FITS file was generated                  
IRAF-TLM= '11:09:32 (21/02/2008)' / Time of last modification                   
CTYPE1  = 'LINEAR  '           / R.A. in tangent plane projection               
CTYPE2  = 'LINEAR  '           / DEC. in tangent plane projection               
CRPIX1  =                   1. / Ref pix of axis 1                              
CRVAL1  =     5053.76698338991 / RA at Ref pix in decimal degrees               
CD1_1   =      1.3674274682999 / WCS matrix element 1 1                         
CD2_2   =                   1. / WCS matrix element 2 2                         
CCDSUM  = '2 2     '           / CCD sum                                        
GAIN    =                   1. / Amplifier gain                                 
GAINMULT=                2.337 / Gain multiplication                            
RDNOISE =                  3.3 / Readout noise                                  
WCSDIM  =                    3                                                  
LTM1_1  =                   1.                                                  
LTM2_2  =                   1.                                                  
WAT0_001= 'system=equispec'                                                     
MDFROW  =                    1 / Corresponding row in MDF                       
DETSEC  = '[1:6216,1529:3088]'                                                  
DATASEC = '[1:3108,1:780]'                                                      
REFPIX1 =             1552.999 / Pixel of central wavelength                    
DCLOG1  = 'Transform'                                                           
DC-FLAG =                    0                                                  
WAT1_001= 'wtype=linear label=Wavelength units=angstroms'                       
WAT2_001= 'wtype=linear'                                                        
WAVTRAN = 'gsN20071113S0097_001' / Name of wavelength transformation            
IMCMB001= 'tcmnfgsN20071113S0009_sef'                                           
IMCMB002= 'tcfmnfgsN20071113S0009_sef'                                          
IMCMB003= 'tcmnfgsN20071113S0010_sef'                                           
IMCMB004= 'tcfmnfgsN20071113S0010_sef'                                          
IMCMB005= 'tcmnfgsN20071113S0011_sef'                                           
IMCMB006= 'tcfmnfgsN20071113S0011_sef'                                          
NCOMBINE=                    6                                                  
APNUM1  = '1 1 424.71 429.71'                                                   
APNUM2  = '2 2 436.12 446.12'                                                   
CTYPE3  = 'LINEAR  '                                                            
CD3_3   =                   1.                                                  
LTM3_3  =                   1.                                                  
WAT3_001= 'wtype=linear'                                                        
REFSPEC = 'gsN20071113S0098_001'                                                
AIRMASS =                1.288                                                  
EXPTIME =             1799.961                                                  
OBSERVAT= 'Gemini-North'                                                        
EX-FLAG =                    0                                                  
CA-FLAG =                    0                                                  
BUNIT   = 'erg/cm2/s/A'                                                         
BANDID1 = 'spectrum - background none, weights variance, clean yes'             
BANDID2 = 'raw - background none, weights none, clean no'                       
BANDID3 = 'sigma - background none, weights variance, clean yes'                
ABSCOR  = 'O2+H2O correction: /Users/emma/2007B/Calib/halpha.fits, scale=1., sh'
END                                                                             
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
5053.76698338992  0.
5055.13441085822  2.363568E-17
5056.50183832652  -4.126742E-17
5057.86926579482  -3.834260E-17
5059.23669326312  6.035187E-17
5060.60412073142  6.438923E-17
5061.97154819972  -1.689192E-17
5063.33897566802  -3.787059E-17
5064.70640313632  9.573592E-18
5066.07383060461  4.089796E-17
5067.44125807291  -1.987628E-17
5068.80868554121  -1.246671E-18
5070.17611300951  -2.204918E-17
5071.54354047781  1.283557E-17
5072.91096794611  3.388414E-17
5074.27839541441  2.815790E-17
5075.64582288272  2.699104E-17
5077.01325035101  -1.022263E-17
5078.38067781931  -8.806902E-21
5079.74810528761  -1.963668E-18
5081.11553275591  2.984334E-17
5082.48296022421  -3.754526E-18
5083.85038769251  -3.970522E-18
5085.21781516081  2.635567E-18
5086.58524262911  7.304809E-19
5087.95267009741  2.646802E-18
5089.32009756571  7.357322E-18
5090.68752503401  -1.075295E-17
5092.05495250231  -6.226988E-18
5093.42237997061  -1.459099E-17
5094.78980743891  1.929809E-18
5096.15723490721  1.031674E-17
5097.52466237551  -4.103045E-18
5098.89208984381  2.569114E-18
5100.25951731211  1.243917E-17
