BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 3147  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel                              
IRAF-MIN=                   0.  /  Min image pixel                              
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = '08D2HW            '  /                                              
FILENAME= '08D2HWFC_RECAL_ATM[*,1,1]'  /
FORMAT  = '5G14.7            '  /  Text line format                            
EXTEND  =                    F / File may contain extensions                    
ORIGIN  = 'NOAO-IRAF FITS Image Kernel July 2003' / FITS file originator        
OBJECT  = '08D2hw  '           / Name of the object observed                    
DATE    = '2008-03-27T16:53:56' / Date FITS file was generated                  
IRAF-TLM= '16:54:00 (27/03/2008)' / Time of last modification                   
CTYPE1  = 'LINEAR  '           / R.A. in tangent plane projection               
CTYPE2  = 'LINEAR  '           / DEC. in tangent plane projection               
CRPIX1  =                   1. / Ref pix of axis 1                              
CRVAL1  =     5045.87343037131 / RA at Ref pix in decimal degrees               
CD1_1   =      1.3674155473709 / WCS matrix element 1 1                         
CD2_2   =                   1. / WCS matrix element 2 2                         
CCDSUM  = '2 2     '           / CCD sum                                        
GAIN    =                   1. / Amplifier gain                                 
GAINMULT=                2.337 / Gain multiplication                            
RDNOISE =                  3.3 / Readout noise                                  
WCSDIM  =                    3                                                  
LTM1_1  =                   1.                                                  
LTM2_2  =                   1.                                                  
WAT0_001= 'system=equispec'                                                     
MDFROW  =                    1 / Corresponding row in MDF                       
DETSEC  = '[1:6216,1529:3088]'                                                  
DATASEC = '[1:3108,1:780]'                                                      
REFPIX1 =             1552.999 / Pixel of central wavelength                    
DCLOG1  = 'Transform'                                                           
DC-FLAG =                    0                                                  
WAT1_001= 'wtype=linear label=Wavelength units=angstroms'                       
WAT2_001= 'wtype=linear'                                                        
WAVTRAN = 'gsN20080311S0349_001' / Name of wavelength transformation            
IMCMB001= 'tcmnfgsN20080311S0171_sef'                                           
IMCMB002= 'tcfmnfgsN20080311S0171_sef'                                          
IMCMB003= 'tcmnfgsN20080311S0172_sef'                                           
IMCMB004= 'tcfmnfgsN20080311S0172_sef'                                          
IMCMB005= 'tcmnfgsN20080311S0173_sef'                                           
IMCMB006= 'tcfmnfgsN20080311S0173_sef'                                          
NCOMBINE=                    6                                                  
APNUM1  = '1 1 411.43 417.43'                                                   
APNUM2  = '2 2 419.68 425.68'                                                   
CTYPE3  = 'LINEAR  '                                                            
CD3_3   =                   1.                                                  
LTM3_3  =                   1.                                                  
WAT3_001= 'wtype=linear'                                                        
REFSPEC = 'gsN20080311S0350_001'                                                
AIRMASS =                1.165                                                  
EXPTIME =             1799.961                                                  
OBSERVAT= 'Gemini-North'                                                        
EX-FLAG =                    0                                                  
CA-FLAG =                    0                                                  
BUNIT   = 'erg/cm2/s/A'                                                         
BANDID1 = 'spectrum - background none, weights variance, clean yes'             
BANDID2 = 'raw - background none, weights none, clean no'                       
BANDID3 = 'sigma - background none, weights variance, clean yes'                
ABSCOR  = 'O2+H2O correction: /Users/emma/2008A/Calib/atm_corr.fits, scale=1., '
END                                                                             
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
                                                                                
5045.87343037132  0.
5047.24084591869  0.
5048.60826146606  -1.261998E-17
5049.97567701343  -6.076359E-18
5051.3430925608  1.595593E-17
5052.71050810817  1.717721E-17
5054.07792365554  8.413036E-18
5055.44533920291  9.355359E-18
5056.81275475028  2.316477E-17
5058.18017029765  4.625902E-18
5059.54758584502  1.749786E-17
5060.9150013924  1.532044E-17
5062.28241693977  -1.451788E-17
5063.64983248714  1.337943E-17
5065.01724803451  -2.089593E-18
5066.38466358188  -3.339782E-18
5067.75207912925  1.832340E-17
5069.11949467662  -4.474687E-18
5070.48691022399  -1.496269E-17
5071.85432577136  2.753111E-18
5073.22174131873  2.594162E-19
5074.58915686611  2.707789E-17
5075.95657241348  -2.141424E-18
5077.32398796085  -1.333980E-17
5078.69140350822  1.697643E-17
5080.05881905559  1.507666E-18
5081.42623460296  8.327529E-18
5082.79365015033  2.890836E-17
5084.1610656977  1.655191E-17
5085.52848124507  4.238302E-18
5086.89589679244  1.784262E-17
5088.26331233981  1.970981E-18
5089.63072788719  3.185621E-17
5090.99814343456  -3.348125E-18
5092.36555898193  7.286927E-18
5093.7329745293  3.691663E-17
